z_rel,positive_mass,negative_mass,signed_mass,positive_point_fraction
-1.205,0.006611927843448021,0.0,0.006611927843448021,1.0
-1.175,0.0065651756339832725,0.0,0.0065651756339832725,1.0
-1.145,0.006508785674008628,0.0,0.006508785674008628,1.0
-1.115,0.00644292449412528,0.0,0.00644292449412528,1.0
-1.085,0.006367772697298146,0.0,0.006367772697298146,1.0
-1.055,0.006283524556306188,0.0,0.006283524556306188,1.0
-1.025,0.006190387590108574,0.0,0.006190387590108574,1.0
-0.995,0.006088582119857685,0.0,0.006088582119857685,1.0
-0.965,0.0059783408053026114,0.0,0.0059783408053026114,1.0
-0.935,0.005859908162335412,0.0,0.005859908162335412,1.0
-0.905,0.00573354006243594,0.0,0.00573354006243594,1.0
-0.875,0.005599503214769402,0.0,0.005599503214769402,1.0
-0.845,0.0054580746316832286,0.0,0.0054580746316832286,1.0
-0.815,0.005309541078335725,0.0,0.005309541078335725,1.0
-0.785,0.00515419850716764,0.0,0.00515419850716764,1.0
-0.755,0.0049923514778984854,0.0,0.0049923514778984854,1.0
-0.725,0.004824312563691425,0.0,0.004824312563691425,1.0
-0.695,0.004650401744082751,0.0,0.004650401744082751,1.0
-0.665,0.004470945785213619,0.0,0.004470945785213619,1.0
-0.635,0.004286277607831624,0.0,0.004286277607831624,1.0
-0.605,0.004096735643446504,0.0,0.004096735643446504,1.0
-0.575,0.003902663178926372,0.0,0.003902663178926372,1.0
-0.545,0.0037044076897059753,0.0,0.0037044076897059753,1.0
-0.515,0.003502320161643608,0.0,0.003502320161643608,1.0
-0.485,0.003296754401404133,0.0,0.003296754401404133,1.0
-0.455,0.0030880663350558142,0.0,0.0030880663350558142,1.0
-0.425,0.0028766132943403846,0.0,0.0028766132943403846,1.0
-0.395,0.0026627532897992964,0.0,0.0026627532897992964,1.0
-0.365,0.0024468442696085344,0.0,0.0024468442696085344,1.0
-0.335,0.002229243362601434,0.0,0.002229243362601434,1.0
-0.305,0.0020103061036154785,0.0,0.0020103061036154785,1.0
-0.275,0.0017903856392331857,0.0,0.0017903856392331857,1.0
-0.245,0.001569831912934865,0.0,0.001569831912934865,1.0
-0.215,0.0013489908327076836,0.0,0.0013489908327076836,1.0
-0.185,0.0011282034369231172,0.0,0.0011282034369231172,1.0
-0.155,0.0009078051111096842,0.0,0.0009078051111096842,1.0
-0.125,0.0006881250092976702,0.0,0.0006881250092976702,1.0
-0.095,0.00046948609482268846,0.0,0.00046948609482268846,1.0
-0.065,0.0002522067962355491,0.0,0.0002522067962355491,1.0
-0.035,3.6605996125648777e-05,0.0,3.6605996125648777e-05,1.0
-0.005,0.0,0.00017698880497326518,-0.00017698880497326518,0.0
0.025,0.0,0.0003882410115264073,-0.0003882410115264073,0.0
0.055,0.0,0.0005968255455311999,-0.0005968255455311999,0.0
0.085,0.0,0.0008024464657297254,-0.0008024464657297254,0.0
0.115,0.0,0.0010048298731433938,-0.0010048298731433938,0.0
0.145,0.0,0.0012037116134816733,-0.0012037116134816733,0.0
0.175,0.0,0.0013988318057024263,-0.0013988318057024263,0.0
0.205,0.0,0.0015899340304132666,-0.0015899340304132666,0.0
0.235,0.0,0.0017767661332335235,-0.0017767661332335235,0.0
0.265,0.0,0.0019590813487803784,-0.0019590813487803784,0.0
0.295,0.0,0.0021366393610659806,-0.0021366393610659806,0.0
0.325,0.0,0.002309207224209759,-0.002309207224209759,0.0
0.355,0.0,0.002476560150959813,-0.002476560150959813,0.0
0.385,0.0,0.00263848219190503,-0.00263848219190503,0.0
0.415,0.0,0.0027947668261159857,-0.0027947668261159857,0.0
0.445,0.0,0.0029452174788739903,-0.0029452174788739903,0.0
0.475,0.0,0.0030896479777444497,-0.0030896479777444497,0.0
0.505,0.0,0.0032278829550556627,-0.0032278829550556627,0.0
0.535,0.0,0.0033597582026525454,-0.0033597582026525454,0.0
0.565,0.0,0.003485120983311425,-0.003485120983311425,0.0
0.595,0.0,0.003603830302190682,-0.003603830302190682,0.0
0.625,0.0,0.003715757140989187,-0.003715757140989187,0.0
0.655,0.0,0.0038207846569835967,-0.0038207846569835967,0.0
0.685,0.0,0.0039188083487488624,-0.0039188083487488624,0.0
0.715,0.0,0.004009736190090471,-0.004009736190090471,0.0
0.745,0.0,0.0040934887335051726,-0.0040934887335051726,0.0
0.775,0.0,0.00416999918432163,-0.00416999918432163,0.0
0.805,0.0,0.004239213446541944,-0.004239213446541944,0.0
0.835,0.0,0.0043010901413020955,-0.0043010901413020955,0.0
0.865,0.0,0.004355600598788107,-0.004355600598788107,0.0
0.895,0.0,0.004402728824381486,-0.004402728824381486,0.0
0.925,0.0,0.004442471439759129,-0.004442471439759129,0.0
0.955,0.0,0.004474837599636857,-0.004474837599636857,0.0
0.985,0.0,0.004499848884820305,-0.004499848884820305,0.0
1.015,0.0,0.004517539172209992,-0.004517539172209992,0.0
1.045,0.0,0.00452795448239809,-0.00452795448239809,0.0
1.075,0.0,0.004531152805490861,-0.004531152805490861,0.0
1.105,0.0,0.004527203905792525,-0.004527203905792525,0.0
1.135,0.0,0.0045161891059919265,-0.0045161891059919265,0.0
1.165,0.0,0.00449820105150241,-0.00449820105150241,0.0
1.195,0.0,0.004473343455616844,-0.004473343455616844,0.0
