edge,edge_label,exact_boundary_defect_sum,certified_boundary_defect_floor,boundary_defect_slack,boundary_defect_over_floor,exact_average_poisson_weight,certified_average_poisson_weight_floor,average_weight_slack,average_weight_over_floor,exact_product,certified_product_floor,product_slack,exact_product_over_certified,cumulative_exact_product,cumulative_certified_product,cumulative_certified_over_global_after_source,cumulative_certified_over_local_after_source,scalar_certificate_valid
outer_rho,out,283.4095824794304,283.4,0.009582479430434887,1.0000338125597403,0.0002894670154035049,0.0002894,6.701540350493966e-08,1.0002315667018138,0.08203772597707418,0.08201595999999998,2.1765977074192366e-05,1.0002653870914173,0.08203772597707418,0.08201595999999998,0.6116198684093351,0.6316106419327625,True
bottom,bot,273.8536425117011,273.8,0.053642511701070816,1.0001959185964246,0.00017483619938653126,0.0001748,3.619938653126316e-08,1.0002070903119638,0.047879530044903626,0.04786024,1.9290044903627623e-05,1.0004030494812317,0.1299172560219778,0.1298762,0.9685293490865011,1.0001856962204412,True
corner_rb,rb,63.2852356533649,63.2,0.08523565336489725,1.0013486654013433,6.499656736428783e-05,6.49e-05,9.65673642878284e-08,1.0014879408981174,0.004113323082308762,0.004101680000000001,1.1643082308760919e-05,1.0028386130338693,0.13403057910428656,0.13397788,0.9991169198697633,1.0317730206607425,True
corner_lb,lb,2.360027752163762,2.36,2.7752163762162496e-05,1.0000117593914246,0.0002410558731796996,0.000241,5.587317969960514e-08,1.0002318389199154,0.0005688985505261594,0.00056876,1.3855052615938633e-07,1.0002436010376246,0.13459947765481273,0.13454664,1.0033583494202616,1.0361530811843978,True
