sweep,direct_flux_product,outer_bottom_product,direct_flux_product_over_global_after_source,outer_bottom_over_local_after_source,total_with_source_over_required_global,min_point_over_4sig_p_floor,min_point_over_exact_poisson,min_increment,min_subsolution_residual,max_subsolution_residual,residual_identity_abs_max
0,0.0,0.0,0.0,0.0,0.07724436657342386,0.0,0.0,0.0,0.0,0.0,0.0
1,0.007545537520087217,0.0069565808925731755,0.05626954394136758,0.053573115808378445,0.12916740523566506,0.03378841559379561,0.03378058393970093,8.143008158104742e-06,-3.469446951953614e-18,0.014250002575738479,6.938893903907228e-18
2,0.013451649891608089,0.012478110769482888,0.1003133577488307,0.09609480341656923,0.16980908254409285,0.05991812365299757,0.059904235519736324,5.842865721091398e-06,0.0,0.013734662459439557,1.9081958235744878e-17
3,0.01836274589905093,0.01710784527363285,0.13693700872868636,0.13174871251114567,0.20360376280240342,0.0820761160872008,0.08205709205960632,3.891458758715661e-06,-6.938893903907228e-18,0.01303329411238805,3.122502256758253e-17
5,0.026329781605813767,0.024677587040611897,0.1963498026602914,0.1900438230811723,0.2584272531004043,0.11951816818158832,0.11949046564109392,2.2314528384534785e-06,0.0,0.012406532296480921,3.469446951953614e-17
10,0.0405977206267043,0.03836765314662749,0.30275049572575685,0.29547197927567964,0.35660909202705454,0.19242229998903085,0.19237769935099752,1.0711533285424324e-06,6.938893903907228e-18,0.010946721381262762,9.020562075079397e-17
20,0.05902740174171356,0.056207827937623925,0.4401866622766083,0.432860412599315,0.4834290889484059,0.2995913314465278,0.29952189061491663,5.130668928777319e-07,0.0,0.009269594649410687,1.5699247457590104e-16
50,0.08876848424948176,0.08517794776283494,0.6619756527334947,0.6559613307580561,0.6880861293244909,0.5163005508441466,0.5161808800264405,1.838708064349576e-07,-1.734723475976807e-18,0.005991872457720601,2.671474153004283e-16
100,0.11194453671008041,0.10780490115023333,0.8348070645245558,0.8302130807101069,0.847567288187761,0.7402683622545037,0.7400967790166237,7.30077687165689e-08,-6.938893903907228e-18,0.003007422415262399,3.365363543395006e-16
200,0.12872155700213736,0.12418141067762822,0.959918798183817,0.9563297255096787,0.9630148452296096,0.9308330699537795,0.9306173166402352,1.7618800518824683e-08,-1.5612511283791264e-17,0.0007725398846438764,4.0310636773011055e-16
300,0.13306551102604067,0.12842056595321688,0.9923130856917111,0.988975756658582,0.992906856518359,0.9821906082845536,0.9819629510545843,4.533369396807771e-09,-1.5612511283791264e-17,0.00020009974979928562,5.178149575790769e-16
384,0.13409726833223726,0.12942738844139037,1.0000072377548745,0.9967293670298756,1.0000066786790838,0.9944290513491171,0.9941985574293813,1.456212293517124e-09,-2.0816681711721685e-17,6.43327442517369e-05,5.817151231199413e-16
400,0.1341923199004476,0.12952014232174813,1.00071606842199,0.9974436711472024,1.00066075617031,0.9955569016538829,0.9953261463151577,1.1730759775835289e-09,-6.938893903907228e-18,5.18273774303326e-05,4.819685232512749e-16
500,0.1344842403867198,0.12980500577934606,1.002893015072371,0.9996374245497917,1.0026695459556183,0.9989474920732182,0.9987894320074255,3.037728036101679e-10,6.938893903907228e-18,1.3422845215913665e-05,4.836981645295682e-16
548,0.1345329256808323,0.12985251408265905,1.0032560772517147,1.0000032893150477,1.0030045636268918,0.9994986028678287,0.9993670536967411,1.588241739053321e-10,-5.204170427930421e-18,7.0180936507791e-06,4.0968442559848744e-16
600,0.13455984807527702,0.12987878561100968,1.0034568463623552,1.0002056081915944,1.0031898244547535,0.9997636410961548,0.9996864740383054,7.867177296715013e-11,-1.3877787807814457e-17,3.4763577355101383e-06,6.265244365791147e-16
700,0.1345794296844182,0.12989789382086236,1.003602872833376,1.0003527618515802,1.0033245712035173,0.9999525770218783,0.9999188005344267,2.0374940422991303e-11,6.938893903907228e-18,9.0033353029699e-07,4.876741371839799e-16
800,0.13458450108297268,0.1299028426146263,1.0036406919129373,1.0003908728583406,1.0033594689722336,0.9999928160197581,0.9999789703474493,5.2768520483097506e-12,-1.734723475976807e-18,2.3317513705815862e-07,5.38631612821019e-16
859,0.13458547480326316,0.1299037927945086,1.003647953263971,1.0003981902600438,1.0033661694248062,1.0000000332160497,0.999990523093417,2.377986452499134e-12,-1.3877787807814457e-17,1.0507919321819936e-07,4.797956058088818e-16
