D,eta,g_proxy_canonical,g_grad_box,s_part,s_schur
4.0,0.2,1.4952036403077311,0.41234663023471235,0.3367254490648569,0.6071967226055646
4.8,0.2,1.4693196809263718,0.38469380564095934,0.326744308558147,0.5723646859993047
5.6,0.2,1.560887695720297,0.510552969415163,0.3177309811215154,0.7238528107951022
6.4,0.2,1.509029631257036,0.4270335282387782,0.34270724939373237,0.6250900179727945
7.2,0.2,1.3600855115862664,0.2653370803398781,0.3821262199183088,0.3252925208861549
8.0,0.2,1.3537138088886351,0.26406934000814936,0.3929717274540861,0.3009668649745629
8.8,0.2,1.45949190441174,0.34715128216936586,0.39831748733366634,0.4951838211027493
9.6,0.2,1.5153351353143159,0.40758247800865655,0.40305298826718194,0.5877057682103156
10.4,0.2,1.5067351192300968,0.39658387872314066,0.4055918323823524,0.571013795188661
11.2,0.2,1.4928987143798353,0.38052982010655945,0.4067245660953016,0.5463025265838907
12.0,0.2,1.4712895227991056,0.3571035137170622,0.4071755942090428,0.5080968651925044
12.8,0.2,1.4961397563164287,0.3787785516107285,0.423933948878602,0.5367702348128585
13.6,0.2,1.4639564831306138,0.3467331160658608,0.4263553372040366,0.47716768632109197
14.4,0.2,1.4528068560645235,0.336988524502108,0.424527418159913,0.45855081242228113
15.2,0.2,1.4745054882452777,0.3570238697975442,0.4231031686891619,0.49924359439738114
16.0,0.2,1.4552054556266103,0.3394905020172683,0.4202660340866548,0.4670344850413626
16.8,0.2,1.4550276637764707,0.34023399361229106,0.41262699711030554,0.4739484054738828
17.6,0.2,1.438279476101113,0.32473657353727653,0.42745169286002216,0.42872758961253354
4.0,0.39,1.4952797744765347,0.41265331676210776,0.3362958472004176,0.6076484012191536
4.8,0.39,1.46931365808774,0.3846805604962065,0.3267569050232783,0.5723448469989182
5.6,0.39,1.560887069132545,0.510549880891015,0.3177346988340467,0.7238493854785658
6.4,0.39,1.509029600060291,0.4270332816755756,0.3427076612579426,0.6250896570409504
7.2,0.39,1.360085517418021,0.2653370884551402,0.38212625161457975,0.32529249879465916
8.0,0.39,1.3537138097999242,0.2640693411338484,0.3929717299596685,0.30096686405353396
8.8,0.39,1.4594919043109302,0.3471512820192378,0.3983174875140616,0.49518382075966755
9.6,0.39,1.515335135546612,0.4075824783742748,0.4030529880353437,0.5877057687942142
10.4,0.39,1.5067351185268423,0.3965838786472488,0.40559183038152596,0.5710137956871659
11.2,0.39,1.492898692653357,0.3805297859427083,0.4067245966886865,0.5463024624101751
12.0,0.39,1.4712893890217085,0.3571033626762668,0.4071756376269177,0.5080965891068088
12.8,0.39,1.4961380445841328,0.3787757876593926,0.42393719695018284,0.536764338818598
13.6,0.39,1.4639616737792946,0.3467388868185085,0.42634581650474207,0.4771861659387097
14.4,0.39,1.4528153026725403,0.336998097137374,0.424498193255552,0.45859457419445243
15.2,0.39,1.4745571223254363,0.35711649173542254,0.42284018324323375,0.4995796384391296
16.0,0.39,1.4552654071237476,0.33954555511008416,0.42025383183854315,0.4671555010627374
