D,N_mass_band,P_mass_inner,canonical_N_mass_corner,canonical_N_mass_cap,canonical_corner_over_band_share,canonical_cap_over_P_mass_inner,canonical_corner_over_P_mass_inner
4.0,0.0018333900790008153,0.0031783215471709197,0.001689178497835589,0.00014421158116522618,0.9213415721962341,0.04537350265695787,0.5314687242199131
5.0,0.001554694990215312,0.0038519779319045972,0.0014504164033168855,0.00010427858689842653,0.9329266592130815,0.02707143933373116,0.37653808743388417
6.0,0.0020322204441319976,0.002623494608756425,0.0018732634201884318,0.00015895702394356582,0.9217816037612693,0.06058980392527422,0.7140336457853009
7.0,0.0014660833831229847,0.00354929003251435,0.0013708529704217368,9.523041270124793e-05,0.9350443407261104,0.02683083428766339,0.38623300938036104
8.0,0.0015741737573348436,0.002728345303839368,0.0014609576223520296,0.00011321613498281396,0.9280790100487416,0.04149626325652202,0.5354738713960248
9.0,0.0016380231557762775,0.0024504172415168116,0.0015218882713256775,0.00011613488445059994,0.9291005844202719,0.04739392234226702,0.6210731158517423
10.0,0.001292507371676467,0.002608056956997472,0.0012043330325482533,8.817433912821368e-05,0.9317803974968083,0.03380844075956243,0.46177405340669514
11.0,0.0015288810217468426,0.001878367855250543,0.0014095773764219491,0.00011930364532489342,0.9219666909145215,0.06351452671605706,0.750426692238052
12.0,0.001101855298288735,0.002414291784590538,0.0010292740106633013,7.258128762543362e-05,0.9341281130669717,0.030063179640791984,0.4263254413707353
13.0,0.001240116772375993,0.0018397910383619598,0.0011479548515053095,9.216192087068342e-05,0.9256828688042769,0.050093689418521624,0.6239593668895028
14.0,0.0009697036660191728,0.0021899202296235126,0.0009071906704074604,6.251299561171235e-05,0.9355339184512516,0.028545786630072584,0.41425740450985427
15.0,0.001003750335946475,0.0017671844639030095,0.0009329754886689455,7.07748472775294e-05,0.9294895904460215,0.04004949609007757,0.5279445964618615
16.0,0.0008774940060182406,0.0019576194017206527,0.0008215900993197853,5.59039066984553e-05,0.936291409040926,0.028557086555904825,0.41968837180385904
17.0,0.0008418575375915578,0.001666730720250354,0.0007847869757546485,5.707056183690924e-05,0.9322087653925621,0.03424102114607743,0.4708540895176926
18.0,0.0009600073623529855,0.0013015907244602457,0.000887244910668295,7.27624516846905e-05,0.9242063607654537,0.05590271220998769,0.681661980217495
19.0,0.0007374471126037282,0.0015390864765640823,0.0006886683059301134,4.8778806673614814e-05,0.9338545017806227,0.031693350189464696,0.4474526392224067
20.0,0.0007962826176135601,0.0012552030327483696,0.000738423605971112,5.785901164244802e-05,0.9273385976754709,0.04609534085952691,0.5882901703593507
