window,D_range,eta_max,lambda_min,core_floor_abs,induced_floor,over_required_global,over_required_local
left,"[4,11]",0.5202154586941914,0.4797845413058086,0.000134704338969,6.462905948414383e-05,1.0763970115705148,1.11028105990957
right,"[12,20]",0.5732912860349988,0.4267087139650012,0.0003259189500029,0.0001390724560125,2.3162518105397116,2.3891654172016623
