threshold_choice,required_parity_floor,eta_left_actual,eta_left_required_if_core_fixed,eta_left_slack,eta_left_required_over_actual,core_left_actual,core_left_required_if_eta_fixed,core_left_actual_over_required,induced_left_actual,induced_left_over_required
global,6.0042027977992e-05,0.5202154586941914,0.5542680478034958,0.03405258910930442,1.065458625921615,0.000134704338969,0.0001251437318396675,1.0763970115705148,6.462905948414383e-05,1.0763970115705148
local,5.820963881830761e-05,0.5202154586941914,0.5678710926178584,0.04765563392366701,1.0916074928709132,0.000134704338969,0.00012132454009435356,1.11028105990957,6.462905948414383e-05,1.11028105990957
