t,rho_LL,rho_RR,abs_rho_LR
147.07353676838417,0.49999701288967663,0.500002987110324,1.622011100949726e-05
147.17358679339668,0.4999964437988878,0.5000035562011128,1.590996675055478e-05
147.2736368184092,0.49999588724886984,0.5000041127511308,1.558348178727984e-05
147.3736868434217,0.49999534378593635,0.5000046562140642,1.5241304339335055e-05
147.4737368684342,0.49999481393067874,0.5000051860693219,1.4884094195950226e-05
147.5737868934467,0.4999942981779663,0.5000057018220343,1.451252271592234e-05
147.67383691845922,0.4999937969969465,0.5000062030030541,1.4127272827615585e-05
147.77388694347172,0.49999331083209986,0.5000066891679008,1.3729035268699784e-05
147.87393696848423,0.49999284010947204,0.5000071598905286,1.3318501541894855e-05
147.97398699349674,0.4999923852297291,0.5000076147702716,1.289638369466345e-05
148.07403701850924,0.49999194656603524,0.5000080534339655,1.2463396356661455e-05
148.17408704352175,0.4999915244642551,0.5000084755357456,1.2020254840529183e-05
148.27413706853426,0.49999111924295425,0.5000088807570464,1.156767514189137e-05
148.37418709354677,0.4999907311933986,0.5000092688066021,1.1106373939357194e-05
148.47423711855927,0.4999903605795548,0.5000096394204459,1.0637068594520251e-05
148.57428714357178,0.49999000763809015,0.5000099923619106,1.0160477151958576e-05
148.6743371685843,0.49998967257837246,0.5000103274216282,9.677318339234624e-06
148.7743871935968,0.4999893555831632,0.5000106444168375,9.188310423686806e-06
148.8744372186093,0.4999890568158831,0.5000109431841175,8.694164644373429e-06
148.9744872436218,0.4999887764125227,0.500011223587478,8.19560068842751e-06
149.07453726863432,0.49998851448247567,0.500011485517525,7.693333201978045e-06
149.17458729364682,0.4999882711098638,0.5000117288901369,7.188068400052479e-06
149.27463731865933,0.49998804635353683,0.5000119536464639,6.680504066576708e-06
149.37468734367184,0.49998784024707243,0.5000121597529282,6.171329554375075e-06
149.47473736868434,0.49998765279877655,0.5000123472012241,5.661225785170369e-06
149.57478739369685,0.4999874839916828,0.5000125160083179,5.150865249583831e-06
149.67483741870936,0.4999873337835531,0.5000126662164476,4.640912007135147e-06
149.77488744372184,0.49998720210773046,0.5000127978922703,4.13202099271891e-06
149.87493746873434,0.4999870888816068,0.500012911118394,3.6248343864282052e-06
149.97498749374685,0.4999869939948619,0.5000130060051388,3.1199929968782086e-06
150.07503751875936,0.499986917314288,0.5000130826857127,2.6181250795799397e-06
150.17508754377187,0.499986858686228,0.5000131413137727,2.119843566376863e-06
150.27513756878437,0.4999868179365753,0.5000131820634254,1.6257460654448847e-06
150.37518759379688,0.4999867948707739,0.5000132051292268,1.1364148612923567e-06
150.4752376188094,0.4999867892738185,0.5000132107261822,6.524169147600736e-07
150.5752876438219,0.49998680091025427,0.5000131990897465,1.7430386302127355e-07
150.6753376688344,0.499986829524177,0.5000131704758237,2.973879804183639e-07
150.7753876938469,0.49998687483959814,0.5000131251604025,7.621377581339695e-07
150.87543771885942,0.4999869365704643,0.5000130634295363,1.219441648310991e-06
150.97548774387192,0.4999870144069327,0.500012985593068,1.6688051665110365e-06
151.07553776888443,0.49998710802012736,0.5000128919798733,2.1097504251072206e-06
151.17558779389694,0.4999872170676225,0.5000127829323782,2.541819082108816e-06
151.27563781890944,0.4999873411934429,0.5000126588065578,2.964572341161252e-06
151.37568784392195,0.4999874800280638,0.5000125199719369,3.377590951546118e-06
151.47573786893446,0.4999876331884108,0.5000123668115899,3.780475208181158e-06
151.57578789394697,0.4999878002778599,0.5000121997221407,4.172844951620277e-06
151.67583791895947,0.4999879808862376,0.500012019113763,4.554339568053537e-06
151.77588794397198,0.4999881745898208,0.5000118254101799,4.9246179893071555e-06
151.8759379689845,0.49998838095551096,0.5000116190444897,5.2833584686521855e-06
151.975987993997,0.49998859954595687,0.5000114004540438,5.630254720620467e-06
152.0760380190095,0.4999888299002797,0.5000111700997208,5.9650172746491655e-06
152.176088044022,0.49998907155086936,0.5000109284491313,6.2873772596031865e-06
152.27613806903452,0.4999893240247969,0.5000106759752037,6.597086512395471e-06
152.37618809404702,0.4999895868438149,0.5000104131561858,6.893917577986987e-06
152.47623811905953,0.499989859524357,0.5000101404756436,7.177663709386739e-06
152.57628814407204,0.4999901415775383,0.5000098584224623,7.4481388676517575e-06
152.67633816908454,0.4999904325091552,0.5000095674908455,7.705177721887111e-06
152.77638819409705,0.49999073181968534,0.5000092681803153,7.948635649245895e-06
152.87643821910956,0.49999103900428765,0.500008960995713,8.178388734929238e-06
152.97648824412204,0.49999135355379976,0.5000086464462009,8.39433347860882e-06
153.07653826913455,0.49999167497059493,0.5000083250294057,8.596379626409088e-06
153.17658829414705,0.49999200273653394,0.5000079972634667,8.784456137616997e-06
153.27663831915956,0.49999233632753054,0.5000076636724701,8.958512283806943e-06
153.37668834417207,0.499992675223034,0.5000073247769666,9.118515736296207e-06
153.47673836918457,0.4999930189060288,0.5000069810939718,9.264452566144961e-06
153.57678839419708,0.4999933668630349,0.5000066331369657,9.396327244156263e-06
153.6768384192096,0.4999937185841076,0.500006281415893,9.514162640876059e-06
153.7768884442221,0.49999407356283754,0.5000059264371631,9.61800002659318e-06
153.8769384692346,0.4999944312963506,0.50000556870365,9.707899071339347e-06
153.9769884942471,0.4999947912853082,0.5000052087146923,9.783937844889172e-06
154.07703851925962,0.49999515303390707,0.5000048469660935,9.846212816760146e-06
154.17708854427212,0.49999551604987924,0.5000044839501214,9.894838856212653e-06
154.27713856928463,0.4999958798445079,0.5000041201554928,9.929949211558717e-06
154.37718859429714,0.4999962439417742,0.5000037560582263,9.9516803150239e-06
154.47723861930965,0.49999660786316286,0.5000033921368378,9.960184273037143e-06
154.57728864432215,0.49999697112916563,0.500003028870835,9.955637943365746e-06
154.67733866933466,0.4999973332709183,0.5000026667290823,9.938230658401766e-06
154.77738869434717,0.49999769383020026,0.5000023061698003,9.90816422516201e-06
154.87743871935967,0.499998052359435,0.5000019476405656,9.865652925288051e-06
154.97748874437218,0.4999984084216896,0.500001591578311,9.810923515046204e-06
155.0775387693847,0.49999876159067486,0.5000012384093258,9.744215225327552e-06
155.1775887943972,0.49999911145074566,0.500000888549255,9.665779761647924e-06
155.2776388194097,0.4999994575969005,0.5000005424031001,9.575881304147909e-06
155.3776888444222,0.4999997996347817,0.5000002003652189,9.47479650759285e-06
155.47773886943472,0.5000001371806755,0.4999998628193252,9.36281450137285e-06
155.57778889444722,0.5000004698615401,0.49999953013846044,9.240236760163986e-06
