term,value,role
strict_slab_signed_mass,0.15303059580183004,strict_slab_target
strict_slab_boundary_lift_mass,0.14180532314422278,Dirichlet_harmonic_lift
strict_slab_source_potential_mass,0.011225272657607257,zero_boundary_source_potential
required_global,0.14532157043371163,global_signed_mass_threshold
required_local,0.1410773596158427,local_signed_mass_threshold
global_deficit_after_boundary,0.0035162472894888497,remaining_gap_after_boundary_only
crude_barrier_mass,0.0002799220396757725,naive_constant_source_barrier
