case,mode,phi_scale,mix_scale,chi_mode_active,f_R3_gt_0p90,f_R3_gt_0p95,f_hmumu_chi2_le_4,best_chi2,f_winner_gt_3,ratio_min,ratio_max,ratio_mean,ratio_std,ratio_p10,ratio_p90
baseline_localized,localized,1.0,1.0,localized_grid,0.9269444444444445,0.21666666666666667,0.15,2.2079807637329057e-05,0.0002777777777777778,1.0,1.0,1.0,0.0,1.0,1.0
open_system_base,open_system,1.0,1.0,open_system,0.9269444444444445,0.21666666666666667,0.15,2.207982875250085e-05,0.0002777777777777778,0.08520135090894555,0.21266367137882244,0.1269252027712161,0.026178872280581522,0.09815146822589924,0.15873246800186452
open_phi_x0p5,open_system,0.5,1.0,open_system,0.9269444444444445,0.21666666666666667,0.15,2.2079828294247816e-05,0.0002777777777777778,0.12605267537762369,0.29344763960432724,0.18289929793057155,0.03376218215638455,0.1468997522773509,0.21753940414136483
open_phi_x2,open_system,2.0,1.0,open_system,0.9269444444444445,0.21666666666666667,0.15,2.2079829019749475e-05,0.0002777777777777778,0.05359096544724895,0.15209978882589328,0.08381295993172633,0.020811880303141288,0.06027475091318838,0.11127580508637082
open_mix_x0p5,open_system,1.0,0.5,open_system,0.9269444444444445,0.21666666666666667,0.15,2.2079829049177707e-05,0.0002777777777777778,0.0525026332162786,0.14390122870170063,0.08118382049896017,0.0193025985435784,0.05932538037212969,0.10705754620039658
open_mix_x2,open_system,1.0,2.0,open_system,0.9269444444444445,0.21666666666666667,0.15,2.207982817371257e-05,0.0002777777777777778,0.12880511423046306,0.30347513629979544,0.1889036144067763,0.036434557952260534,0.1491905552155683,0.2266928243289385
open_phi_x0p5_mix_x2,open_system,0.5,2.0,open_system,0.9269444444444445,0.21666666666666667,0.15,2.207982766321804e-05,0.0002777777777777778,0.1659788920186052,0.3731791280670233,0.2380111050206887,0.04009319139764503,0.2023761099507224,0.27787431432990567
open_phi_x2_mix_x0p5,open_system,2.0,0.5,open_system,0.9269444444444445,0.21666666666666667,0.15,2.2079829205250114e-05,0.0002777777777777778,0.029747048756173046,0.09003237576959398,0.047612205553503234,0.012813545357366573,0.03361358257576355,0.06434569918888376
