R,safe_window,induced_self_floor,lambda_min,core_floor_abs,tail_over_core_max
1.2,0,,,,
1.21,0,,,,
1.22,0,,,,
1.23,1,2.8270734823158937e-05,0.4060332260989257,6.962665369722986e-05,0.5939667739010742
1.24,1,2.8192116807597544e-05,0.4014172393971941,7.023145505642329e-05,0.5985827606028058
1.25,1,2.9563076951870638e-05,0.40495824956924215,7.300277740561443e-05,0.5950417504307578
1.26,1,3.1792378063463006e-05,0.4070380780993299,7.810664351580561e-05,0.5929619219006701
1.27,1,3.763060849828451e-05,0.41379797865970863,9.093956577596157e-05,0.5862020213402914
1.28,1,3.89568434883771e-05,0.41826651175952595,9.313880598400515e-05,0.5817334882404743
1.29,1,3.963050081056591e-05,0.4225314557897185,9.379301888067914e-05,0.5774685442102815
1.3,1,4.093699263094696e-05,0.41933144891476004,9.762442749498728e-05,0.5806685510852401
1.31,1,4.4412177813615666e-05,0.421361869234146,0.000105401511281355,0.5786381307658538
1.32,1,4.715680276523213e-05,0.42441450158545774,0.00011111025327615225,0.5755854984145421
1.33,1,4.91800184533962e-05,0.4257116510281999,0.00011552424824318099,0.5742883489718
1.34,1,5.035448921173112e-05,0.4287129266066428,0.00011745502896378235,0.571287073393357
1.35,1,5.704001095649638e-05,0.4262685412881964,0.00013381238686795827,0.5737314587118035
1.36,1,5.449706690245163e-05,0.42512037890924353,0.00012819208301017695,0.5748796210907566
1.37,0,,,,
1.3800000000000001,0,,,,
1.3900000000000001,0,,,,
1.4000000000000001,0,,,,
