D,kappa_env,tau_scale,tau_floor,delta,delta_micro,omega1,gamma_ref,Gamma_ref,gamma_ref_micro,V11_deltaV,V22_deltaV,V12_deltaV,VLL_deltaV,VRR_deltaV,VLR_deltaV,g_z_micro,g_x_micro,tau_env,Szz_0,Sxx_delta,gamma_phi_micro,gamma_mix_micro,Cmax_micro,Pmax_micro,chi_eff_micro,chi_LR_baseline,ratio_micro_to_baseline,gamma_phi_recon,gamma_mix_recon,chi_eff_formula_recon,gamma_phi_recon_residual_abs,gamma_mix_recon_residual_abs,chi_eff_formula_residual_abs,chi_eff_loader_recon,chi_eff_loader_residual_abs,M_LR_abs_from_baseline,gamma_ref_from_omega11,A_chi_from_observable,A_chi_from_rates,A_chi_from_constituents,A_chi_obs_vs_rates_residual_abs,A_chi_obs_vs_constituents_residual_abs,gamma_ref_omega11_residual_abs,ratio_from_mlr_recon,ratio_from_mlr_residual_abs,chi_eff_from_product_recon,chi_eff_from_product_residual_abs
4.0,430546.4345656163,1.0,1e-06,0.5002558656877873,0.5002558656877873,1.7512011374518028,475.0029831292905,475.0029831292905,475.0029831292905,0.0071422853528944,0.0079712325951787,-2.3873472845301926e-06,0.007554371626752,0.0075591463213211,-0.0004144736211421,2.387347284530522e-06,0.0004144736211421,0.5710366322940573,1.1420732645881146,1.0559068677898105,2.8024970358454056e-06,0.0780979083476504,0.3211732607166098,0.6966971188299287,0.0001056117993782,0.0005265818146994,0.2005610456535504,2.8024970358454056e-06,0.07809790834762,0.0001056117993782,0.0,3.0309088572266774e-14,5.576864924722312e-17,0.0001056117993782,5.582285935584741e-17,0.25012793284385026,475.00298312929175,0.00032883123315607384,0.0003288312331562475,0.00032883123315611987,1.7363497792355354e-16,4.6024382222009663e-17,1.2505552149377763e-12,0.20056104565355037,2.7755575615628914e-17,0.00010561179937825578,5.57822017743792e-17
5.0,430546.4345656163,1.0,1e-06,0.508359971180862,0.508359971180862,1.829303494766778,767.6149152622555,767.6149152622555,767.6149152622555,0.0105575286352678,0.0093896635219317,1.3329446380920788e-05,0.0099869255249807,0.0099602666322188,0.000583932556668,1.3329446380921234e-05,0.000583932556668,0.5466561469219149,1.0933122938438298,1.0149317950893333,8.363507538710663e-05,0.1489986159999165,0.2342547771193519,0.593262692521251,9.09404882270364e-05,0.0003311295553755,0.2746371827906154,8.363507538710663e-05,0.1489986159998957,9.09404882270364e-05,0.0,2.0733414984874798e-14,1.3552527156068804e-20,9.09404882270364e-05,1.3552527156068804e-20,0.2541799855903928,767.6149152622606,0.0003882118834259785,0.0003882118834259784,0.0003882118834259244,1.0842021724855044e-19,5.410168840702667e-17,5.115907697472721e-12,0.2746371827906154,0.0,9.094048822703639e-05,1.3552527156068805e-20
6.0,430546.4345656163,1.0,1e-06,0.4549479950675579,0.4549479950675579,1.779356502978426,566.0993661540692,566.0993661540692,566.0993661540692,0.0120430762467807,0.0118942323107796,5.022947728865364e-17,0.0119686542787802,0.0119686542787801,7.442196800057124e-05,4.9439619065338996e-17,7.442196800057124e-05,0.5620009246748034,1.124001849349607,1.055031414749071,1.1828706461312668e-27,0.0025158670602084,0.4911360916697626,0.98286647064795,4.365428364656341e-06,0.0004018269779723,0.0108639504163836,1.1828706461312664e-27,0.0025158670602084,4.3654283646562495e-06,3.5873240686715325e-43,5.2909066017292616e-17,9.147955830346445e-20,4.365428364656341e-06,0.0,0.2274739975337242,566.0993661540537,8.88842917207484e-06,8.888429172074654e-06,8.888429172074842e-06,1.8634724839594607e-19,1.6940658945086007e-21,1.5575096767861396e-11,0.010863950416383394,2.0643209364124004e-16,4.3654283646563325e-06,8.470329472543003e-21
7.0,430546.4345656163,1.0,1e-06,0.4625088125338248,0.4625088125338248,1.8500632169333413,869.0649886602495,869.0649886602495,869.0649886602495,0.0137995194972004,0.0127334936248772,1.4333432886330124e-05,0.0132808399939251,0.0132521731281525,0.0005330129361615,1.4333432886330134e-05,0.0005330129361615,0.5405220701904428,1.0810441403808857,1.0174551180547875,9.56233289409531e-05,0.1244545436582149,0.2465458851764336,0.605779696812876,7.061325914819278e-05,0.0002660956421951,0.2653679653138381,9.56233289409531e-05,0.1244545436581709,7.061325914819274e-05,0.0,4.39648317751562e-14,4.0657581468206416e-20,7.061325914819278e-05,0.0,0.23125440626682636,869.0649886602483,0.000286410211623124,0.0002864102116231239,0.00028641021162302267,1.0842021724855044e-19,1.0131869301877039e-16,1.1368683772161603e-12,0.26536796531383805,5.551115123125783e-17,7.061325914819277e-05,1.3552527156068805e-20
8.0,430546.4345656163,1.0,1e-06,0.4170096953791304,0.4170096953791304,1.802159760664197,651.2176638510591,651.2176638510591,651.2176638510591,0.0148389178142744,0.0142751335302908,9.186073160686342e-06,0.0145662117454433,0.0145478395991219,0.0002818921419918,9.186073160687149e-06,0.0002818921419918,0.5548897616221571,1.1097795232443142,1.0533781061906398,4.0319626864906166e-05,0.0360387918993099,0.3867576253927975,0.7946960854197365,4.280681667808738e-05,0.0003201768920955,0.1336973958299254,4.0319626864906187e-05,0.0360387918993034,4.28068166780873e-05,2.0328790734103208e-20,6.446232436729815e-15,8.131516293641283e-20,4.280681667808738e-05,0.0,0.20850484768952413,651.2176638510565,0.00011068124806747394,0.00011068124806747373,0.00011068124806745394,2.168404344971009e-19,2.0003530082357557e-17,2.6147972675971687e-12,0.13369739582992518,2.220446049250313e-16,4.2806816678087376e-05,6.776263578034403e-21
9.0,430546.4345656163,1.0,1e-06,0.3796056602450468,0.3796056602450468,1.7609964189800305,505.0602635745723,505.0602635745723,505.0602635745723,0.0151563074243039,0.015527138690375,-1.0139005554457656e-15,0.0153417230573385,0.0153417230573405,-0.0001854156330355,1.0139458717084435e-15,0.0001854156330355,0.5678603256781182,1.1357206513562363,1.085290040251233,5.027140956184014e-25,0.0160641781235333,0.4391256092842641,0.884573083536553,2.793406060584292e-05,0.0003758023424357,0.0743317894848472,5.027140956184012e-25,0.0160641781235243,2.7934060605842743e-05,1.8367099231598238e-40,8.909539772616881e-15,1.727947212398773e-19,2.793406060584292e-05,0.0,0.18980283012251634,505.0602635745695,6.361291624820736e-05,6.361291624820696e-05,6.361291624817168e-05,4.0657581468206416e-19,3.5683804001929165e-17,2.7853275241795927e-12,0.07433178948484676,4.440892098500626e-16,2.7934060605842912e-05,6.776263578034403e-21
10.0,430546.4345656163,1.0,1e-06,0.3858958225357671,0.3858958225357671,1.8222365511053151,735.6179024334008,735.6179024334008,735.6179024334008,0.0162513174588891,0.0155686355764926,-1.026813902545258e-05,0.0158997083786654,0.0159202446567163,0.0003413409411982,1.026813902545165e-05,0.0003413409411982,0.5487761725520374,1.0975523451040747,1.0504434078356857,4.982286752539539e-05,0.0526950013988973,0.3376941359791474,0.7198201906669056,4.838053263509767e-05,0.0002622936590172,0.1844517813216563,4.982286752539539e-05,0.0526950013988776,4.838053263509758e-05,0.0,1.9644008641961364e-14,8.809142651444725e-20,4.838053263509767e-05,0.0,0.19294791126781433,735.6179024333978,0.00014326731642768346,0.0001432673164276832,0.00014326731642762977,2.710505431213761e-19,5.369511259234461e-17,2.9558577807620168e-12,0.18445178132165602,2.7755575615628914e-16,4.8380532635097656e-05,1.3552527156068805e-20
11.0,430546.4345656163,1.0,1e-06,0.3530642967646091,0.3530642967646091,1.782188752750411,576.0904607435714,576.0904607435714,576.0904607435714,0.0164309133799043,0.0163638338783307,4.059772602216229e-06,0.0164014334017197,0.0163933138565153,3.3539750786780116e-05,4.0597726022155445e-06,3.3539750786780116e-05,0.5611077942539604,1.1222155885079208,1.0798358803832029,7.963421639866888e-06,0.0005229948516151,0.4975393982597831,0.9952609358114316,9.033669588268652e-07,0.0003064312992692,0.0029480244380429,7.963421639866888e-06,0.0005229948516151,9.033669588268568e-07,0.0,4.87890977618477e-18,8.364450354136216e-21,9.033669588268652e-07,1.0587911840678754e-22,0.17653214838224462,576.0904607435635,1.8156691952165465e-06,1.8156691952165296e-06,1.8156691952165465e-06,1.6940658945086007e-20,0.0,7.844391802791506e-12,0.0029480244380429583,5.811323644522304e-17,9.03366958826839e-07,2.6152142246476523e-20
12.0,430546.4345656163,1.0,1e-06,0.3581076515471522,0.3581076515471522,1.8379915777816809,808.6836951913015,808.6836951913015,808.6836951913015,0.0168742478724541,0.0161820319821173,5.2398305150098273e-17,0.0165281399272858,0.0165281399272857,0.0003461079451684,5.204170427930421e-17,0.0003461079451684,0.5440721340012481,1.0881442680024962,1.048347709446824,1.268847700260342e-27,0.0540690184569051,0.3253511708266732,0.7024855948514864,4.350630182111359e-05,0.0002214139184928,0.1964930755811015,1.2688477002603414e-27,0.0540690184568971,4.350630182111355e-05,5.3809861030072976e-43,7.91033905045424e-15,4.0657581468206416e-20,4.350630182111359e-05,0.0,0.17905382577354315,808.6836951912993,0.0001337210550389906,0.00013372105503899046,0.0001337210550389709,1.3552527156068805e-19,1.9705374484924043e-17,2.1600499167107046e-12,0.1964930755811013,1.942890293094024e-16,4.350630182111359e-05,0.0
13.0,430546.4345656163,1.0,1e-06,0.3306951731891154,0.3306951731891154,1.8012226995486147,647.5026136368251,647.5026136368251,647.5026136368251,0.0169996108239467,0.0167153070551234,5.445680133296628e-06,0.0168629046196683,0.0168520132594017,0.0001421518844116,5.445680133294925e-06,0.0001421518844116,0.5551784353209624,1.110356870641925,1.0741504168366909,1.417708156293526e-05,0.0093452374533175,0.4580819607851625,0.9192649843934332,1.322275650000615e-05,0.0002553620373296,0.0517804315718993,1.417708156293526e-05,0.0093452374533096,1.3222756500006052e-05,1.694065894508601e-21,7.877379304410681e-15,9.825582188149884e-20,1.322275650000615e-05,0.0,0.1653475865945405,647.5026136368199,2.886548179575126e-05,2.8865481795751046e-05,2.8865481795726713e-05,2.1345230270808369e-19,2.4547014811429624e-17,5.229594535194337e-12,0.051780431571898926,3.7470027081099033e-16,1.3222756500006147e-05,3.3881317890172014e-21
