D,M_band_abs,factorized_abs,factor_resid_abs,S_self,S_mir,mir_avg_w_self,self_avg_w_mir,product_self_miravg,product_mir_selfavg
4.0,0.021817588426720408,0.021817588426720408,0.0,0.20955295887024922,0.14847022343669042,0.05205745732330461,0.07347462649985068,0.021817588426720408,0.021817588426720408
5.0,0.018081650647274464,0.018081650647274464,0.0,0.20579591898460914,0.14137343977519842,0.04393102335675261,0.06394995649828768,0.018081650647274464,0.018081650647274464
6.0,0.018292808140984745,0.018292808140984745,0.0,0.20509514769213583,0.13147435302701388,0.044595906697031444,0.06956797169873179,0.018292808140984745,0.018292808140984745
7.0,0.015307067784268866,0.015307067784268866,0.0,0.20391223070842612,0.12031694215470931,0.037533471462426464,0.06361143954517354,0.015307067784268866,0.015307067784268866
8.0,0.01453969372768834,0.01453969372768834,0.0,0.19553559222091071,0.1137825671699318,0.03717914872311787,0.06389244894595154,0.01453969372768834,0.01453969372768834
9.0,0.014109364457169659,0.014109364457169659,0.0,0.2012054367179243,0.10063410602109042,0.03506208551648131,0.07010229938452817,0.014109364457169659,0.014109364457169659
10.0,0.012057703697828989,0.012057703697828989,0.0,0.18989725976966876,0.09975248787323324,0.0317479665384695,0.0604381101409324,0.012057703697828989,0.012057703697828989
11.0,0.01227764317113841,0.01227764317113841,0.0,0.1916370052944671,0.0917132497672557,0.03203359171750971,0.06693494779814185,0.012277643171138412,0.012277643171138412
12.0,0.010290373665599793,0.010290373665599793,0.0,0.1874749990448657,0.08799322958387078,0.027444655868853064,0.05847253086552255,0.010290373665599793,0.010290373665599793
13.0,0.01027826816360857,0.01027826816360857,0.0,0.1834821086592804,0.08296487949657708,0.028008911164997943,0.06194348877486543,0.01027826816360857,0.01027826816360857
14.0,0.008822115532108174,0.008822115532108174,0.0,0.181982763171309,0.07759980283563328,0.02423887674406696,0.0568436723402158,0.008822115532108174,0.008822115532108174
15.0,0.008629158507925522,0.008629158507925522,0.0,0.17900069958119763,0.07445687056418757,0.024103700510989333,0.05794736229537422,0.008629158507925522,0.008629158507925522
16.0,0.007779813909595804,0.007779813909595804,0.0,0.17860605931838772,0.06950725064692506,0.021779255248354452,0.05596404574477279,0.007779813909595805,0.007779813909595804
17.0,0.007348623753773344,0.007348623753773344,0.0,0.1720475483267613,0.06687293260122118,0.021356374517515563,0.05494467991702184,0.007348623753773345,0.007348623753773344
18.0,0.0075583192852814625,0.0075583192852814625,0.0,0.17490169746528034,0.0632694074080532,0.021607335419891682,0.059731231845862105,0.0075583192852814625,0.0075583192852814625
19.0,0.0064529893772364375,0.0064529893772364375,0.0,0.16781985081075373,0.0608082139392431,0.019225941824109093,0.0530601785449905,0.0064529893772364375,0.0064529893772364375
20.0,0.006462906992801028,0.006462906992801028,0.0,0.16659943223004708,0.057922612822176124,0.019396545673327357,0.055789152784270234,0.006462906992801028,0.006462906992801028
