edge,edge_label,point_id,rho,z_rel,missing_component_count,exact_boundary_defect,flux_reconstruction_exact,flux_reconstruction_resid_abs,certified_boundary_defect_floor,certified_flux_floor,flux_floor_minus_boundary_floor,exact_poisson_weight,certified_poisson_weight_floor,exact_product,certified_product_floor,flux_certified_product_with_p_floor,point_flux_certificate_valid
outer_rho,out,1,0.69,-1.1750000000000007,1,12.801958118641053,12.801958118641013,4.085620730620576e-14,12.8,12.8018,0.0017999999999993577,0.00011641532697777701,0.0001164,0.0014903441403374053,0.00148992,0.00149012952,True
outer_rho,out,2,0.69,-1.1450000000000014,1,12.692319810663173,12.692319810663305,1.3145040611561853e-13,12.69,12.692200000000001,0.002200000000001978,0.0001582509817484032,0.0001582,0.002008572070702154,0.002007558,0.00200790604,True
outer_rho,out,3,0.69,-1.1150000000000002,1,12.564219746385717,12.56421974638566,5.684341886080802e-14,12.56,12.5642,0.004199999999999093,0.00019297922380516393,0.0001929,0.0024246333743750295,0.002422824,0.0024236341799999997,True
outer_rho,out,4,0.69,-1.0850000000000009,1,12.41800824580627,12.418008245806245,2.4868995751603507e-14,12.41,12.418,0.007999999999999119,0.00022221138313902492,0.00022219999999999998,0.002759422788132428,0.0027575019999999998,0.0027592795999999997,True
outer_rho,out,5,0.69,-1.0549999999999997,1,12.25406215464304,12.254062154643078,3.730349362740526e-14,12.25,12.254,0.0039999999999995595,0.0002470446729565082,0.000247,0.0030273007773825144,0.00302575,0.0030267379999999997,True
outer_rho,out,6,0.69,-1.0250000000000004,1,12.072784011952022,12.072784011951997,2.4868995751603507e-14,12.07,12.0726,0.0025999999999992696,0.00026825650930519863,0.0002682,0.0032386028966418607,0.003237174,0.0032378713200000003,True
outer_rho,out,7,0.69,-0.995000000000001,1,11.874601177741553,11.874601177741546,7.105427357601002e-15,11.870000000000001,11.8746,0.004599999999998161,0.0002864164575290081,0.00028639999999999997,0.0034010812038985233,0.003399568,0.0034008854399999993,True
outer_rho,out,8,0.69,-0.9649999999999999,1,11.659964922101876,11.659964922101896,1.9539925233402755e-14,11.65,11.659799999999999,0.009799999999998477,0.0003019532053489448,0.00030189999999999997,0.003520763782484921,0.003517135,0.0035200936199999994,True
outer_rho,out,9,0.69,-0.9350000000000023,1,11.42934947741619,11.429349477416128,6.217248937900877e-14,11.42,11.4292,0.009199999999999875,0.00031519612223076686,0.00031509999999999996,0.003602486634901825,0.0035984419999999994,0.0036013409199999995,True
outer_rho,out,10,0.69,-0.9050000000000011,1,11.183251055275063,11.183251055275143,7.993605777301127e-14,11.18,11.1832,0.0031999999999996476,0.0003264019432550577,0.00032639999999999996,0.0036502348763509554,0.0036491519999999997,0.0036501964799999995,True
outer_rho,out,11,0.69,-0.875,1,10.92218682977205,10.922186829772047,3.552713678800501e-15,10.92,10.922,0.002000000000000668,0.0003357724320899454,0.0003357,0.0036673692355733314,0.0036658439999999997,0.0036665154,True
outer_rho,out,12,0.69,-0.8449999999999989,1,10.646693888911111,10.646693888911104,7.105427357601002e-15,10.64,10.6466,0.006599999999998829,0.0003434663772725086,0.0003434,0.0036567813799536554,0.003653776,0.00365604244,True
outer_rho,out,13,0.69,-0.8150000000000013,1,10.357328155932004,10.357328155932038,3.375077994860476e-14,10.35,10.357199999999999,0.007199999999999207,0.0003496079015337638,0.0003496,0.0036210037620919558,0.0036183599999999997,0.0036208771199999993,True
outer_rho,out,14,0.69,-0.7850000000000001,1,10.054663282425384,10.054663282425356,2.842170943040401e-14,10.05,10.054599999999999,0.004599999999998161,0.0003542922850030291,0.0003542,0.0035622896292665466,0.0035597100000000002,0.0035613393199999993,True
outer_rho,out,15,0.69,-0.754999999999999,1,9.739289515200948,9.739289515200971,2.3092638912203256e-14,9.739,9.739199999999999,0.00019999999999775753,0.00035759004741882616,0.00035749999999999996,0.0034826729995663832,0.0034816925,0.003481763999999999,True
outer_rho,out,16,0.69,-0.7250000000000014,1,9.411812538975363,9.411812538975402,3.907985046680551e-14,9.411,9.4118,0.0007999999999999119,0.00035954975846159336,0.0003595,0.0033840149250743876,0.0033832544999999998,0.0033835421,True
outer_rho,out,17,0.69,-0.6950000000000003,1,9.072852297064593,9.072852297064578,1.4210854715202004e-14,9.072000000000001,9.072799999999999,0.0007999999999981355,0.0003601998712608986,0.00036009999999999997,0.0032680402293718143,0.0032668272,0.0032671152799999994,True
outer_rho,out,18,0.69,-0.6649999999999991,1,8.723041792414778,8.723041792414701,7.638334409421077e-14,8.723,8.723,0.0,0.0003595497584615932,0.0003595,0.003136367569513116,0.0031359185000000003,0.0031359185000000003,True
outer_rho,out,19,0.69,-0.6350000000000016,1,8.363025871475514,8.36302587147556,4.618527782440651e-14,8.363,8.363,0.0,0.00035759004741882594,0.00035749999999999996,0.0029905348179457975,0.0029897724999999997,0.0029897724999999997,True
outer_rho,out,20,0.69,-0.6050000000000004,1,7.993459993623267,7.993459993623279,1.2434497875801753e-14,7.993,7.993399999999999,0.00039999999999906777,0.0003542922850030289,0.0003542,0.002832021206221084,0.0028311206,0.0028312622799999995,True
