alpha,beta,lambda,j_parent_statement,u_overlap_max,u_overlap_p95,u_overlap_p50,xi_overlap_max,xi_overlap_p95
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.13324070812303054,0.1332406802748157
1.0,1.0,-0.0050000000000000044,7.483491378344686e-13,3.3310177030757695e-06,3.331017006870399e-06,3.20134441316532e-06,0.13324070812303054,0.1332406802748157
1.0,1.0,0.0050000000000000044,7.483491378344686e-13,3.3310177030757695e-06,3.331017006870399e-06,3.20134441316532e-06,0.13324070812303054,0.1332406802748157
1.0,1.0,0.009999999999999981,1.1973752558334424e-11,1.3324070812303004e-05,1.332406802748152e-05,1.2805377652661208e-05,0.13324070812303054,0.1332406802748157
1.0,1.0,-0.010000000000000009,1.1973752558334424e-11,1.3324070812303078e-05,1.3324068027481595e-05,1.280537765266128e-05,0.13324070812303054,0.1332406802748157
1.0,1.0,0.014999999999999986,6.061852596996032e-11,2.9979159327681815e-05,2.9979153061833474e-05,2.881209971848777e-05,0.13324070812303054,0.1332406802748157
1.0,1.0,-0.015000000000000013,6.061852596996032e-11,2.9979159327681926e-05,2.9979153061833585e-05,2.881209971848788e-05,0.13324070812303054,0.1332406802748157
1.0,1.0,0.01999999999999999,1.9159068811283068e-10,5.3296283249212164e-05,5.3296272109926225e-05,5.1221510610644976e-05,0.13324070812303054,0.1332406802748157
1.0,1.0,-0.020000000000000018,1.9159068811283068e-10,5.329628324921231e-05,5.329627210992638e-05,5.122151061064512e-05,0.13324070812303054,0.1332406802748157
1.0,1.0,-0.024999999999999994,4.677702005235152e-10,8.327544257689404e-05,8.327542517175977e-05,8.003361032913281e-05,0.13324070812303054,0.1332406802748157
1.0,1.0,0.024999999999999994,4.677702005235152e-10,8.327544257689404e-05,8.327542517175977e-05,8.003361032913281e-05,0.13324070812303054,0.1332406802748157
1.0,1.0,-0.03,9.70017705067601e-10,0.00011991663731072749,0.00011991661224733412,0.0001152483988739513,0.13324070812303054,0.1332406802748157
