D,bath_shape_phi,bath_shape_mix,parent_log_bath_anisotropy,parent_log_rate_anisotropy,parent_log_sys_anisotropy,delta_micro,omega1,tau_env,Szz_0,Sxx_delta,q_parent_log,q_parent_shape,q_micro,q_gap_locked,tau_gap_locked,delta_q_parent_log_vs_gap,delta_q_parent_shape_vs_gap,delta_q_micro_vs_gap,delta_q_parent_log_vs_micro,delta_q_parent_shape_vs_micro,tau_gap_lock_residual_abs,q_parent_log_vs_shape_residual_abs,q_parent_log_vs_gap_residual_abs,q_micro_vs_gap_residual_abs
4.0,1.1420732645881146,1.0559068677898105,-0.0784452757926278,10.23520773546758,10.313653011259818,0.5002558656877873,1.7512011374518028,0.5710366322940573,1.1420732645881146,1.0559068677898105,0.9245526539583433,0.9245526539583432,0.9245526539583432,0.9245526539583432,0.5710366322940573,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0
5.0,1.0933122938438298,1.0149317950893333,-0.0743904768276517,7.485229302147451,7.559619778974964,0.508359971180862,1.829303494766778,0.5466561469219149,1.0933122938438298,1.0149317950893333,0.9283091398534182,0.9283091398534182,0.9283091398534182,0.9283091398534183,0.5466561469219149,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16
6.0,1.124001849349607,1.055031414749071,-0.0633248533009367,56.016715496456165,50.06603400805416,0.4549479950675579,1.779356502978426,0.5620009246748034,1.124001849349607,1.055031414749071,0.9386385043401442,0.9386385043401441,0.9386385043401441,0.938638504340144,0.5620009246748034,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16
7.0,1.0810441403808857,1.0174551180547875,-0.0606228433963457,7.171279000171867,7.231901843567861,0.4625088125338248,1.8500632169333413,0.5405220701904428,1.0810441403808857,1.0174551180547875,0.9411781443968664,0.9411781443968663,0.9411781443968663,0.9411781443968666,0.5405220701904428,-2.220446049250313e-16,-3.3306690738754696e-16,-3.3306690738754696e-16,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,2.220446049250313e-16,3.3306690738754696e-16
8.0,1.1097795232443142,1.0533781061906398,-0.0521591239827704,6.795512820675914,6.847671944658505,0.4170096953791304,1.802159760664197,0.5548897616221571,1.1097795232443142,1.0533781061906398,0.9491778178707144,0.9491778178707143,0.9491778178707143,0.9491778178707142,0.5548897616221571,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16
9.0,1.1357206513562363,1.085290040251233,-0.0454201150897952,51.818612453545114,51.86403256863436,0.3796056602450468,1.7609964189800305,0.5678603256781182,1.1357206513562363,1.085290040251233,0.9555959372185574,0.9555959372185574,0.9555959372185574,0.9555959372185573,0.5678603256781182,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16
10.0,1.0975523451040747,1.0504434078356857,-0.0438701914798681,6.9638018140217595,7.007672005501255,0.3858958225357671,1.8222365511053151,0.5487761725520374,1.0975523451040747,1.0504434078356857,0.9570781863129071,0.9570781863129071,0.9570781863129071,0.9570781863129071,0.5487761725520375,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0
11.0,1.1222155885079208,1.0798358803832029,-0.0384958682824614,4.184712858318235,4.2232087266007055,0.3530642967646091,1.782188752750411,0.5611077942539604,1.1222155885079208,1.0798358803832029,0.9622356804176414,0.9622356804176413,0.9622356804176413,0.962235680417641,0.5611077942539604,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,4.440892098500626e-16,3.3306690738754696e-16
12.0,1.0881442680024962,1.048347709446824,-0.0372584242161708,59.014194415919654,53.14003308720781,0.3581076515471522,1.8379915777816809,0.5440721340012481,1.0881442680024962,1.048347709446824,0.9634271302749897,0.9634271302749896,0.9634271302749896,0.9634271302749895,0.5440721340012481,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16
13.0,1.110356870641925,1.0741504168366909,-0.0331514295346266,6.4909954429254695,6.524146872459253,0.3306951731891154,1.8012226995486147,0.5551784353209624,1.110356870641925,1.0741504168366909,0.9673920567679272,0.967392056767927,0.967392056767927,0.9673920567679269,0.5551784353209624,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16
14.0,1.0802576125634118,1.0462064133240911,-0.0320288607951811,6.952888570561961,6.984917431357037,0.3340105442690282,1.85141023468844,0.5401288062817059,1.0802576125634118,1.0462064133240911,0.9684786306124533,0.9684786306124533,0.9684786306124533,0.9684786306124532,0.5401288062817059,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16
15.0,1.1009465245232932,1.0697547026876522,-0.0287409142782885,61.94496992253508,52.03248504280016,0.3102001756913668,1.8166186598990304,0.5504732622616466,1.1009465245232932,1.0697547026876522,0.9716681772085642,0.9716681772085642,0.9716681772085642,0.9716681772085642,0.5504732622616466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,1.0729494074352812,1.0434170977946018,-0.0279103138766552,6.89730194434352,6.92521225821966,0.3135959776662465,1.8640207880637063,0.5364747037176406,1.0729494074352812,1.0434170977946018,0.9724755804551197,0.9724755804551196,0.9724755804551196,0.9724755804551197,0.5364747037176407,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,1.1102230246251565e-16,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,1.1102230246251565e-16
17.0,1.0929066842557793,1.0657616697330898,-0.0251511033664423,7.0102408680292845,7.035391971395695,0.2920531564341799,1.8299824027171272,0.5464533421278897,1.0929066842557793,1.0657616697330898,0.9751625505509887,0.9751625505509887,0.9751625505509887,0.9751625505509888,0.5464533421278898,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,0.0,1.1102230246251565e-16,1.1102230246251565e-16
