D,gap_ratio,r_on_shell,q_on_shell,q_single_pole,delta_q_abs,q_tail_floor,gap_separator,eps_delta_factor,actual_tail_mass_upper,actual_eps0_upper,actual_eps_delta_upper
4.0,1.25,0.2856644248277023,0.9245526539583432,0.9245526539583432,0.0,0.9503655757231005,0.025812921764757357,0.6578683927396838,0.0,0.0,0.0
4.0,1.5,0.2856644248277023,0.9245526539583432,0.9245526539583432,0.0,0.9650008501075413,0.040448196149198146,0.4638884166069215,0.0,0.0,0.0
4.0,2.0,0.2856644248277023,0.9245526539583432,0.9245526539583432,0.0,0.9800068403644698,0.05545418640612665,0.2649948697266476,0.0,0.0,0.0
4.0,3.0,0.2856644248277023,0.9245526539583432,0.9245526539583432,0.0,0.991014344807153,0.06646169084880982,0.11909836017141953,0.0,0.0,0.0
5.0,1.25,0.2778981030950657,0.9283091398534182,0.9283091398534183,1.1102230246251565e-16,0.9529023191354353,0.024593179282016986,0.6569551651112433,4.514353398126827e-15,4.514353398126847e-15,2.965727782036925e-15
5.0,1.5,0.2778981030950657,0.9283091398534182,0.9283091398534183,1.1102230246251565e-16,0.9668157236487624,0.03850658379534411,0.46288015352846523,2.883203118006525e-15,2.8832031180065333e-15,1.3345775019166138e-15
5.0,2.0,0.2778981030950657,0.9283091398534182,0.9283091398534183,1.1102230246251565e-16,0.9810588547151292,0.05274971486171087,0.264205858963653,2.1046995752218326e-15,2.104699575221837e-15,5.5607395913192105e-16
5.0,3.0,0.2778981030950657,0.9283091398534182,0.9283091398534183,1.1102230246251565e-16,0.9914921866912026,0.0631830468377843,0.11867361183004202,1.757153350764383e-15,1.7571533507643863e-15,2.0852773467447043e-16
6.0,1.25,0.25568119390691546,0.9386385043401441,0.938638504340144,1.1102230246251565e-16,0.9598415367654007,0.021203032425256785,0.6544570467644558,5.236152085975555e-15,5.236152085975583e-15,3.426836630597125e-15
6.0,1.5,0.25568119390691546,0.9386385043401441,0.938638504340144,1.1102230246251565e-16,0.9717657256494987,0.03312722130935475,0.46013015241694516,3.3513919391471635e-15,3.351391939147175e-15,1.542076483768711e-15
6.0,2.0,0.25568119390691546,0.9386385043401441,0.938638504340144,1.1102230246251565e-16,0.9839195874619124,0.045281083121768484,0.26206030940356556,2.451847323615425e-15,2.451847323615431e-15,6.42531868236964e-16
6.0,3.0,0.25568119390691546,0.9386385043401441,0.938638504340144,1.1102230246251565e-16,0.9927887276305022,0.054150223290358235,0.11752113099510912,2.0502649059673192e-15,2.050264905967323e-15,2.4094945058886085e-16
7.0,1.25,0.24999622083210643,0.9411781443968663,0.9411781443968666,3.3306690738754696e-16,0.9615395796283206,0.02036143523145395,0.6538457513338045,1.635773233082468e-14,1.6357732330824945e-14,1.0695433785965501e-14
