term,value,role
W_pos_11,0.02029204084082765,total_positive_oriented_carrier
W_pos_plus_11,0.010172341839509923,plus_lobe_positive_carrier
W_pos_minus_11,0.01011969900131773,minus_lobe_positive_carrier
half_total_W_pos_11,0.010146020420413826,exact_symmetric_single_lobe_value
required_half_global,0.009507526650812578,global_single_lobe_threshold
required_half_local,0.009229853161996529,local_single_lobe_threshold
plus_half_residual_abs,2.6321419096097393e-05,plus_vs_half_total_residual
minus_half_residual_abs,2.6321419096095658e-05,minus_vs_half_total_residual
plus_minus_abs_gap,5.264283819219305e-05,lobe_gap
