edge,edge_label,point_id,rho,z_rel,exact_boundary_defect,certified_boundary_defect_floor,boundary_defect_slack,exact_poisson_weight,certified_poisson_weight_floor,poisson_weight_slack,exact_product,certified_product_floor,product_slack,exact_product_over_certified,cumulative_exact_product,cumulative_certified_product,cumulative_certified_over_global_after_source,point_certificate_valid
outer_rho,out,1,0.69,-1.1750000000000007,12.801958118641053,12.8,0.001958118641052664,0.00011641532697777701,0.0001164,1.5326977777013404e-08,0.0014903441403374053,0.00148992,4.24140337405279e-07,1.000284673229036,0.0014903441403374053,0.00148992,0.01111082128820338,True
outer_rho,out,2,0.69,-1.1450000000000014,12.692319810663173,12.69,0.0023198106631738824,0.0001582509817484032,0.0001582,5.098174840319561e-08,0.002008572070702154,0.002007558,1.0140707021539033e-06,1.0005051264781162,0.0034989162110395594,0.003497478,0.026081838633901806,True
outer_rho,out,3,0.69,-1.1150000000000002,12.564219746385717,12.56,0.0042197463857167605,0.00019297922380516393,0.0001929,7.922380516393293e-08,0.0024246333743750295,0.002422824,1.8093743750294267e-06,1.0007468038846525,0.0059235495854145885,0.0059203020000000006,0.04414963051317725,True
outer_rho,out,4,0.69,-1.0850000000000009,12.41800824580627,12.41,0.008008245806269798,0.00022221138313902492,0.00022219999999999998,1.1383139024938706e-08,0.002759422788132428,0.0027575019999999998,1.9207881324281167e-06,1.0006965681738138,0.008682972373547017,0.008677804,0.06471322582290086,True
outer_rho,out,5,0.69,-1.0549999999999997,12.25406215464304,12.25,0.004062154643040827,0.0002470446729565082,0.000247,4.467295650821502e-08,0.0030273007773825144,0.00302575,1.5507773825145996e-06,1.0005125266074575,0.011710273150929531,0.011703554000000001,0.08727723430173287,True
outer_rho,out,6,0.69,-1.0250000000000004,12.072784011952022,12.07,0.0027840119520217144,0.00026825650930519863,0.0002682,5.650930519861524e-08,0.0032386028966418607,0.003237174,1.4288966418605185e-06,1.0004414024831105,0.014948876047571391,0.014940728000000002,0.11141790077564992,True
outer_rho,out,7,0.69,-0.995000000000001,11.874601177741553,11.870000000000001,0.00460117774155222,0.0002864164575290081,0.00028639999999999997,1.6457529008150323e-08,0.0034010812038985233,0.003399568,1.513203898523361e-06,1.000445116526136,0.018349957251469914,0.018340296000000002,0.13676959248063741,True
outer_rho,out,8,0.69,-0.9649999999999999,11.659964922101876,11.65,0.009964922101875828,0.0003019532053489448,0.00030189999999999997,5.320534894484672e-08,0.003520763782484921,0.003517135,3.6287824849213536e-06,1.001031743872476,0.021870721033954835,0.021857431000000004,0.16299801979987955,True
outer_rho,out,9,0.69,-0.9350000000000023,11.42934947741619,11.42,0.00934947741619041,0.00031519612223076686,0.00031509999999999996,9.612223076689705e-08,0.003602486634901825,0.0035984419999999994,4.044634901825481e-06,1.0011239961355012,0.02547320766885666,0.025455873000000004,0.18983278004067444,True
outer_rho,out,10,0.69,-0.9050000000000011,11.183251055275063,11.18,0.003251055275063308,0.0003264019432550577,0.00032639999999999996,1.9432550577361263e-09,0.0036502348763509554,0.0036491519999999997,1.0828763509556846e-06,1.000296747395273,0.029123442545207615,0.029105025000000003,0.2170457013555705,True
outer_rho,out,11,0.69,-0.875,10.92218682977205,10.92,0.002186829772050203,0.0003357724320899454,0.0003357,7.243208994541601e-08,0.0036673692355733314,0.0036658439999999997,1.5252355733317256e-06,1.0004160666884165,0.03279081178078094,0.032770869,0.24438310037996952,True
outer_rho,out,12,0.69,-0.8449999999999989,10.646693888911111,10.64,0.006693888911110335,0.0003434663772725086,0.0003434,6.637727250859886e-08,0.0036567813799536554,0.003653776,3.0053799536552787e-06,1.0008225408327318,0.0364475931607346,0.036424645,0.2716305043769134,True
outer_rho,out,13,0.69,-0.8150000000000013,10.357328155932004,10.35,0.007328155932004421,0.0003496079015337638,0.0003496,7.901533763822032e-09,0.0036210037620919558,0.0036183599999999997,2.6437620919560374e-06,1.0007306520335058,0.040068596922826556,0.040043005,0.29861379966550844,True
outer_rho,out,14,0.69,-0.7850000000000001,10.054663282425384,10.05,0.004663282425383386,0.0003542922850030291,0.0003542,9.228500302913695e-08,0.0035622896292665466,0.0035597100000000002,2.5796292665463717e-06,1.0007246739949451,0.0436308865520931,0.043602715,0.3251597227001885,True
outer_rho,out,15,0.69,-0.754999999999999,9.739289515200948,9.739,0.0002895152009472213,0.00035759004741882616,0.00035749999999999996,9.004741882619747e-08,0.0034826729995663832,0.0034816925,9.80499566383304e-07,1.0002816157849619,0.04711355955165948,0.0470844075,0.35112384369190486,True
outer_rho,out,16,0.69,-0.7250000000000014,9.411812538975363,9.411,0.000812538975363708,0.00035954975846159336,0.0003595,4.975846159334819e-08,0.0033840149250743876,0.0033832544999999998,7.604250743878382e-07,1.0002247614166737,0.05049757447673387,0.050467662,0.37635388028582256,True
outer_rho,out,17,0.69,-0.6950000000000003,9.072852297064593,9.072000000000001,0.0008522970645916672,0.0003601998712608986,0.00036009999999999997,9.987126089864608e-08,0.0032680402293718143,0.0032668272,1.213029371814351e-06,1.0003713172743922,0.053765614706105684,0.053734489200000006,0.4007156803815605,True
outer_rho,out,18,0.69,-0.6649999999999991,8.723041792414778,8.723,4.179241477686446e-05,0.0003595497584615932,0.0003595,4.9758461593185557e-08,0.003136367569513116,0.0031359185000000003,4.4906951311577195e-07,1.000143201908186,0.0569019822756188,0.05687040770000001,0.4241012514376379,True
outer_rho,out,19,0.69,-0.6350000000000016,8.363025871475514,8.363,2.5871475514804843e-05,0.00035759004741882594,0.00035749999999999996,9.004741882598062e-08,0.0029905348179457975,0.0029897724999999997,7.623179457977997e-07,1.0002549752350045,0.0598925170935646,0.05986018020000001,0.4463969639187678,True
outer_rho,out,20,0.69,-0.6050000000000004,7.993459993623267,7.993,0.00045999362326654136,0.0003542922850030289,0.0003542,9.228500302892011e-08,0.002832021206221084,0.0028311206,9.006062210840417e-07,1.0003181094514604,0.06272453829978568,0.0626913008,0.46750955723381227,True
outer_rho,out,21,0.69,-0.5749999999999993,7.615008989073255,7.615,8.98907325463938e-06,0.0003496079015337638,0.0003496,7.901533763822032e-09,0.002662267312830649,0.002662204,6.331283064877138e-08,1.0000237821108557,0.06538680561261632,0.0653535048,0.48736248415387523,True
outer_rho,out,22,0.69,-0.5450000000000017,7.228345808490463,7.228,0.0003458084904632841,0.0003434663772725087,0.0003434,6.637727250870728e-08,0.0024826937485151425,0.0024820951999999998,5.985485151426863e-07,1.0002411464778396,0.06786949936113147,0.06783560000000001,0.5058722807788668,True
outer_rho,out,23,0.69,-0.5150000000000006,6.834150267798501,6.8340000000000005,0.00015026779850035865,0.00033577243208994555,0.0003357,7.243208994557864e-08,0.0022947192566868556,0.0022941738,5.454566868556658e-07,1.000237757351625,0.07016421861781832,0.0701297738,0.5229806859924879,True
outer_rho,out,24,0.69,-0.48499999999999943,6.433107792007611,6.433,0.00010779200761135144,0.0003264019432550579,0.00032639999999999996,1.9432550579529667e-09,0.0020997788844805392,0.0020997311999999997,4.768448053950325e-08,1.0000227098023498,0.07226399750229887,0.072229505,0.5386390690710859,True
outer_rho,out,25,0.69,-0.45500000000000185,6.025908162207185,6.025,0.0009081622071844819,0.00031519612223076713,0.00031509999999999996,9.61222307671681e-08,0.0018993428856464332,0.0018984775,8.653856464332574e-07,1.0004558313945955,0.0741633403879453,0.0741279825,0.5527966374117855,True
outer_rho,out,26,0.69,-0.4250000000000007,5.613244270190241,5.613,0.0002442701902403144,0.00030195320534894503,0.00030189999999999997,5.320534894506356e-08,0.001694937099790543,0.0016945647,3.723997905429044e-07,1.0002197613289967,0.07585827748773584,0.07582254719999999,0.5654335612352109,True
outer_rho,out,27,0.69,-0.3949999999999996,5.195810885465079,5.195,0.0008108854650785702,0.0002864164575290083,0.00028639999999999997,1.6457529008312953e-08,0.0014881657478055677,0.001487848,3.177478055677984e-07,1.0002135620073878,0.0773464432355414,0.07731039519999999,0.5765289309409742,True
outer_rho,out,28,0.69,-0.365000000000002,4.774303439637313,4.774,0.0003034396373129411,0.0002682565093051988,0.0002682,5.650930519877787e-08,0.0012807379750809094,0.0012803868000000002,3.5117508090918605e-07,1.0002742726501939,0.07862718121062232,0.078590782,0.5860771945488019,True
outer_rho,out,29,0.69,-0.33500000000000085,4.349416833272415,4.349,0.0004168332724150403,0.00024704467295650836,0.000247,4.467295650837765e-08,0.0010745002591273161,0.001074203,2.9725912731618995e-07,1.00027672528127,0.07970168146974964,0.079664985,0.5940878780487562,True
outer_rho,out,30,0.69,-0.3049999999999997,3.9218442703458964,3.9210000000000003,0.0008442703458961809,0.00022221138313902508,0.00022219999999999998,1.1383139025101336e-08,0.0008714784397694222,0.0008712462,2.322397694222737e-07,1.0002665604388545,0.08057315990951906,0.08053623119999999,0.6005850462364617,True
outer_rho,out,31,0.69,-0.27500000000000213,3.4922761252068475,3.492,0.0002761252068474995,0.00019297922380516404,0.0001929,7.922380516404135e-08,0.0006739367359557233,0.0006736068,3.299359557232739e-07,1.0004898049659285,0.08124709664547479,0.08120983799999999,0.6056083527048081,True
outer_rho,out,32,0.69,-0.245000000000001,3.0613988466031117,3.061,0.0003988466031117355,0.00015825098174840327,0.0001582,5.0981748403276924e-08,0.00048446937299837184,0.0004842502,2.1917299837184582e-07,1.0004526028040295,0.08173156601847316,0.08169408819999999,0.6092195650054528,True
outer_rho,out,33,0.69,-0.21499999999999986,2.6298939027115273,2.629,0.000893902711527339,0.00011641532697777706,0.0001164,1.5326977777067614e-08,0.0003061599586010247,0.0003060156,1.4435860102467906e-07,1.000471736084777,0.08203772597707418,0.08200010379999999,0.6115016235341003,True
bottom,bot,1,0.09,-1.205,7.072294261499018,7.072,0.0002942614990182335,0.00023926183745211872,0.0002392,6.183745211873104e-08,0.0016921301200083301,0.0016916224,5.077200083301522e-07,1.0003001379080403,0.08372985609708251,0.08369172619999998,0.6241166056630211,True
bottom,bot,2,0.15,-1.205,11.761209144571211,11.76,0.0012091445712112403,0.00023562414872796682,0.00023559999999999998,2.41487279668438e-08,0.0027712248927011704,0.002770656,5.688927011706334e-07,1.0002053278000482,0.08650108098978368,0.08646238219999998,0.6447782946577915,True
bottom,bot,3,0.21,-1.205,16.41125614880673,16.41,0.0012561488067284188,0.00023004010148615204,0.00022999999999999998,4.010148615206225e-08,0.0037752470299867364,0.0037742999999999995,9.470299867368921e-07,1.0002509153980172,0.09027632801977041,0.09023668219999997,0.6729244855862078,True
bottom,bot,4,0.27,-1.205,21.00699729375426,21.0,0.00699729375426017,0.00022234615576069907,0.00022229999999999998,4.615576069909029e-08,0.004670825092341669,0.004668299999999999,2.5250923416696505e-06,1.000540901900407,0.09494715311211208,0.09490498219999997,0.7077375272392629,True
bottom,bot,5,0.32999999999999996,-1.205,25.53310611168556,25.53,0.003106111685557522,0.00021230395116237613,0.00021229999999999998,3.951162376149503e-09,0.0054207793129590585,0.005420019,7.603129590586649e-07,1.000140278651986,0.10036793242507114,0.10032500119999997,0.7481563836125358,True
bottom,bot,6,0.39,-1.205,29.974402564293012,29.97,0.0044025642930130005,0.00019957597915330343,0.0001995,7.597915330342909e-08,0.005982170741304067,0.005979015,3.1557413040670876e-06,1.000527802874565,0.1063501031663752,0.10630401619999998,0.7927438561912563,True
bottom,bot,7,0.44999999999999996,-1.205,34.31588979337519,34.31,0.005889793375189356,0.00018368222640462856,0.0001836,8.222640462856906e-08,0.0063032190383030245,0.006299316,3.90303830302436e-06,1.0006195971599177,0.11265332220467823,0.11260333219999998,0.8397199182039282,True
bottom,bot,8,0.51,-1.205,38.54279268915589,38.54,0.00279268915588915,0.00016391791856111885,0.0001639,1.7918561118847364e-08,0.0063178543531391415,0.006316706,1.1483531391414878e-06,1.0001817961987056,0.11897117655781737,0.11892003819999998,0.886825663140651,True
bottom,bot,9,0.57,-1.205,42.64059810259304,42.64,0.0005981025930381634,0.0001391809456819092,0.0001391,8.094568190920469e-08,0.005934758768361122,0.005931224,3.534768361122473e-06,1.0005959593434883,0.1249059353261785,0.12485126219999998,0.9310567425840459,True
bottom,bot,10,0.63,-1.205,46.595096401967176,46.59,0.005096401967172426,0.00010755038797575562,0.0001075,5.0387975755622504e-08,0.005011320695799304,0.005008425,2.895695799303745e-06,1.0005781649519168,0.1299172560219778,0.1298596872,0.9684062077300739,True
corner_rb,rb,1,0.69,-1.205,63.2852356533649,63.28,0.005235653364898951,6.499656736428783e-05,6.499e-05,6.5673642878343475e-09,0.004113323082308762,0.0041125672,7.558823087614949e-07,1.0001837981659634,0.13403057910428656,0.1339722544,0.9990749679285591,True
