objective_tol,rho_tol,analytic_valid_in_box,admissible_scan_points,analytic_g_floor_min,analytic_g_floor_p10,analytic_g_floor_p50,exact_family_g_min,exact_rowmin_g_min,exact_rowmin_g_p10,exact_rowmin_g_p50,separator_min_from_analytic_floor,eps_delta_factor_max_from_analytic_floor,delta_q_ref,tail_mass_upper_at_delta_q_ref,eps0_upper_at_delta_q_ref,eps_delta_upper_at_delta_q_ref
1.500329e-07,0.023781086948235122,1,2,1.3474339529535382,1.353775616228305,1.4601000945336793,1.3537138088886351,1.3537138088886351,1.360085624130886,1.4692445588192249,0.012174489269613509,0.5701107872046649,0.001,0.08213896927043297,0.08948954854869953,0.051018956969689166
5e-07,0.04341336514045597,1,2,1.342249670208462,1.348566441777691,1.4525509582320693,1.3537138088886351,1.3537138088886351,1.360085624130886,1.4692445588192249,0.012057523173063855,0.5743320641827093,0.001,0.08293577259996232,0.09043616588893992,0.05194038983176479
1e-06,0.06139576976988818,1,2,1.3375010684862085,1.3437950402195487,1.44563624246403,1.3537138088886351,1.3537138088886351,1.360085624130886,1.4692445588192249,0.011949215907840816,0.5782392351396036,0.001,0.08368749947382086,0.09133074079614163,0.05281101770269433
2e-06,0.08682673028091194,1,2,1.330785531528289,1.3370472594244958,1.435857357644914,1.3537138088886351,1.3537138088886351,1.360085624130886,1.4692445588192249,0.011794104078330814,0.5838321789079867,0.001,0.08478812747102087,0.09264316822806093,0.05408806276752797
2.5e-06,0.09707523558607926,1,4,1.3280792154962835,1.3343279493439257,1.4319165331171149,1.3537138088886351,1.3537138088886351,1.360085624130886,1.4692445588192249,0.01173094286449805,0.5861087048597668,0.001,0.08524463988537109,0.09318845628266012,0.05461856541971093
