D,M_band_neg,M_band_pos,M_band_abs,M_band_signed,neg_fraction,pos_fraction,signed_ratio,theta_neg,identity_rhs,identity_resid_abs,localized_abs,localized_abs_resid_abs
4.0,0.011881568211724293,0.009936020214996118,0.021817588426720408,-0.001945547996728174,0.5445866875540064,0.45541331244599376,-0.08917337510801263,0.5445866875540063,0.011881568211724291,1.734723475976807e-18,0.021817588426720408,0.0
5.0,0.010362078751701392,0.0077195718955730755,0.018081650647274468,-0.002642506856128316,0.5730715051318236,0.42692849486817636,-0.14614301026364723,0.5730715051318236,0.010362078751701392,0.0,0.018081650647274464,3.469446951953614e-18
6.0,0.00852514949862495,0.0097676586423598,0.01829280814098475,0.0012425091437348508,0.46603831587368405,0.533961684126316,0.06792336825263195,0.46603831587368405,0.00852514949862495,0.0,0.018292808140984745,3.469446951953614e-18
7.0,0.009213235232207854,0.006093832552061012,0.015307067784268867,-0.0031194026801468428,0.6018941943718529,0.39810580562814696,-0.20378838874370603,0.601894194371853,0.009213235232207856,1.734723475976807e-18,0.015307067784268866,1.734723475976807e-18
8.0,0.00711435249826777,0.007425341229420572,0.014539693727688343,0.00031098873115280323,0.48930552675395844,0.5106944732460416,0.02138894649208317,0.48930552675395844,0.00711435249826777,0.0,0.01453969372768834,3.469446951953614e-18
9.0,0.007790472065045365,0.006318892392124298,0.014109364457169662,-0.0014715796729210654,0.5521490417725118,0.44785095822748827,-0.10429808354502342,0.5521490417725117,0.007790472065045364,8.673617379884035e-19,0.014109364457169659,3.469446951953614e-18
10.0,0.006239653642237887,0.005818050055591102,0.012057703697828989,-0.0004216035866467848,0.5174827478437166,0.4825172521562835,-0.03496549568743303,0.5174827478437165,0.0062396536422378865,8.673617379884035e-19,0.012057703697828989,0.0
11.0,0.005549286660280327,0.006728356510858085,0.01227764317113841,0.001179069850577758,0.4519830543149581,0.548016945685042,0.09603389137008386,0.45198305431495805,0.005549286660280326,8.673617379884035e-19,0.01227764317113841,0.0
12.0,0.00558046524681573,0.0047099084187840635,0.010290373665599794,-0.0008705568280316656,0.5422995731895477,0.4577004268104522,-0.08459914637909541,0.5422995731895477,0.00558046524681573,0.0,0.010290373665599793,1.734723475976807e-18
13.0,0.004765704324579047,0.005512563839029523,0.01027826816360857,0.000746859514450476,0.46366802740685337,0.5363319725931466,0.07266394518629325,0.46366802740685337,0.004765704324579047,0.0,0.01027826816360857,0.0
14.0,0.005044206103749954,0.0037779094283582216,0.008822115532108175,-0.0012662966753917318,0.5717683117378725,0.42823168826212754,-0.14353662347574486,0.5717683117378725,0.005044206103749954,0.0,0.008822115532108174,1.734723475976807e-18
15.0,0.004162658551706439,0.004466499956219084,0.008629158507925522,0.0003038414045126452,0.48239449395711187,0.5176055060428881,0.03521101208577632,0.4823944939571118,0.004162658551706439,0.0,0.008629158507925522,0.0
16.0,0.004607702648354228,0.003172111261241578,0.007779813909595805,-0.00143559138711265,0.5922638641357448,0.4077361358642552,-0.18452772827148964,0.5922638641357448,0.004607702648354228,0.0,0.007779813909595804,8.673617379884035e-19
17.0,0.0037303939477487365,0.003618229806024608,0.007348623753773346,-0.00011216414172412844,0.5076316427049713,0.4923683572950284,-0.015263285409942887,0.5076316427049714,0.0037303939477487374,8.673617379884035e-19,0.007348623753773344,1.734723475976807e-18
18.0,0.0034174600274094113,0.004140859257872051,0.007558319285281463,0.0007233992304626399,0.4521454966932042,0.5478545033067957,0.09570900661359151,0.45214549669320425,0.0034174600274094117,4.336808689942018e-19,0.0075583192852814625,8.673617379884035e-19
19.0,0.003416410278140315,0.003036579099096123,0.0064529893772364375,-0.00037983117904419236,0.5294306372472954,0.47056936275270467,-0.058861274494590776,0.5294306372472954,0.003416410278140315,0.0,0.0064529893772364375,0.0
20.0,0.0030127025320934257,0.0034502044607076033,0.006462906992801028,0.0004375019286141776,0.4661528528028095,0.5338471471971906,0.06769429439438118,0.4661528528028094,0.0030127025320934252,4.336808689942018e-19,0.006462906992801028,0.0
