gap_ratio,D_min,D_max,r_min,r_max,gap_separator_min,gap_separator_max,eps_delta_factor_min,eps_delta_factor_max,max_delta_q_abs,actual_tail_mass_upper_max,actual_eps0_upper_max,actual_eps_delta_upper_max
1.25,4.0,20.0,0.14303559214936803,0.2856644248277023,0.007124352675311418,0.025812921764757357,0.6446528710998445,0.6578683927396838,3.3306690738754696e-16,3.116698667859327e-14,3.1166986678594245e-14,2.0091887445886386e-14
1.5,4.0,20.0,0.14303559214936803,0.2856644248277023,0.011037962491487807,0.040448196149198146,0.4494505734043533,0.4638884166069215,3.3306690738754696e-16,2.011644858335643e-14,2.0116448583356836e-14,9.04134935064892e-15
2.0,4.0,20.0,0.14303559214936803,0.2856644248277023,0.01496022746552883,0.05545418640612665,0.2538165753653463,0.2649948697266476,3.3306690738754696e-16,1.4842328128811125e-14,1.4842328128811343e-14,3.767228896103644e-15
3.0,4.0,20.0,0.14303559214936803,0.2856644248277023,0.017780908237926107,0.06646169084880982,0.11312718789457563,0.11909836017141953,3.3306690738754696e-16,1.2487810068746504e-14,1.248781006874666e-14,1.4127108360388768e-15
