D,R_star,rho_box,zeta_box,self_core_exact,self_anchor,self_shell,anchor_same_sign_as_core,shell_same_sign_as_core,anchor_abs_share_of_core,shell_abs_share_of_core
4.0,1.35,0.7,1.21,-0.0015441147286452818,-0.0006633386492995244,-0.0008807760793457571,1,1,0.4295915562449818,0.570408443755018
5.0,1.35,0.7,1.21,0.0017123455471324922,0.0007222532605259877,0.0009900922866065047,1,1,0.42179177078801583,0.5782082292119843
6.0,1.35,0.7,1.21,0.000149395828937142,0.00013614696982325897,1.3248859113883047e-05,1,1,0.9113170748598513,0.08868292514014885
7.0,1.35,0.7,1.21,0.0018895243200874453,0.0006665995585972853,0.0012229247614901598,1,1,0.3527869694561199,0.64721303054388
8.0,1.35,0.7,1.21,0.0010622319298086722,0.00047158955498341845,0.0005906423748252538,1,1,0.44396100488935647,0.5560389951106436
9.0,1.35,0.7,1.21,-0.0007677151787357684,-0.00023402673398786696,-0.0005336884447479013,1,1,0.30483536143345435,0.6951646385665455
10.0,1.35,0.7,1.21,0.0013755082995273449,0.0005446457121114503,0.0008308625874158943,1,1,0.39595959711664597,0.6040404028833538
11.0,1.35,0.7,1.21,0.00013381238686795827,0.0001323211313169622,1.491255550996078e-06,1,1,0.9888556240128383,0.011144375987161793
12.0,1.35,0.7,1.21,0.0014385843910604706,0.0005224249136231416,0.0009161594774373289,1,1,0.3631520798289974,0.6368479201710026
13.0,1.35,0.7,1.21,0.0006075491763831145,0.00029861687500661304,0.0003089323013765014,1,1,0.49151062434871645,0.5084893756512835
14.0,1.35,0.7,1.21,0.001367357840482061,0.0004485163848264558,0.0009188414556556051,1,1,0.32801683037728563,0.6719831696227143
15.0,1.35,0.7,1.21,0.000874240934959087,0.00036943771419294574,0.0005048032207661411,1,1,0.4225811208556996,0.5774188791443002
16.0,1.35,0.7,1.21,0.0012171417532638312,0.00037076829274452545,0.0008463734605193056,1,1,0.304622113036785,0.6953778869632149
17.0,1.35,0.7,1.21,0.0009803904517253167,0.0003734327783039466,0.00060695767342137,1,1,0.380902096350255,0.6190979036497449
18.0,1.35,0.7,1.21,0.00032490951115612336,0.0001839717298778013,0.00014093778127832206,1,1,0.5662245134750777,0.43377548652492226
19.0,1.35,0.7,1.21,0.0009606036212399975,0.0003451163127692436,0.0006154873084707538,1,1,0.359270260009794,0.6407297399902059
20.0,1.35,0.7,1.21,0.0005416008890117385,0.00024418262741762324,0.0002974182615941152,1,1,0.4508534464616266,0.5491465535383733
