D,rho_anchor,zeta_anchor,rho_box,zeta_box,diag_anchor,diag_box,diag_shell,box_same_sign_as_diag,shell_same_sign_as_diag,box_abs_share_of_diag,shell_abs_share_of_diag
4.0,0.7,1.21,0.6900000000000003,1.2100000000000004,-0.0005556053549042061,-0.0005556053549042061,0.0,1,1,1.0,0.0
5.0,0.7,1.21,0.6900000000000003,1.2100000000000004,0.0007863294828877666,0.0007863294828877666,0.0,1,1,1.0,0.0
6.0,0.7,1.21,0.6900000000000003,1.2100000000000004,0.00023227406389879587,0.00023227406389879587,0.0,1,1,1.0,0.0
7.0,0.7,1.21,0.6900000000000003,1.2100000000000004,0.0006605835488527464,0.0006605835488527464,0.0,1,1,1.0,0.0
8.0,0.7,1.21,0.6900000000000003,1.2100000000000004,0.0005230522629162447,0.0005230522629162447,0.0,1,1,1.0,0.0
9.0,0.7,1.21,0.6900000000000003,1.2100000000000004,-0.000200245039483431,-0.000200245039483431,0.0,1,1,1.0,0.0
10.0,0.7,1.21,0.6900000000000003,1.2100000000000004,0.0005656185388685362,0.0005656185388685362,0.0,1,1,1.0,0.0
11.0,0.7,1.21,0.6900000000000003,1.2100000000000004,0.00016555573881248136,0.00016555573881248136,0.0,1,1,1.0,0.0
12.0,0.7,1.21,0.6900000000000003,1.2100000000000004,0.0005311738999916108,0.0005311738999916108,0.0,1,1,1.0,0.0
13.0,0.7,1.21,0.6900000000000003,1.2100000000000004,0.00032087208545264684,0.00032087208545264684,0.0,1,1,1.0,0.0
14.0,0.7,1.21,0.6900000000000003,1.2100000000000004,0.0004393849483503079,0.0004393849483503079,0.0,1,1,1.0,0.0
15.0,0.7,1.21,0.6900000000000003,1.2100000000000004,0.0003836413835798117,0.0003836413835798117,0.0,1,1,1.0,0.0
16.0,0.7,1.21,0.6900000000000003,1.2100000000000004,0.0003573020129145287,0.0003573020129145287,0.0,1,1,1.0,0.0
17.0,0.7,1.21,0.6900000000000003,1.2100000000000004,0.00037625980085889796,0.00037625980085889796,0.0,1,1,1.0,0.0
18.0,0.7,1.21,0.6900000000000003,1.2100000000000004,0.00019620849129946293,0.00019620849129946293,0.0,1,1,1.0,0.0
19.0,0.7,1.21,0.6900000000000003,1.2100000000000004,0.00034323172609531787,0.00034323172609531787,0.0,1,1,1.0,0.0
20.0,0.7,1.21,0.6900000000000003,1.2100000000000004,0.0002511682997238171,0.0002511682997238171,0.0,1,1,1.0,0.0
