D,R_star,exact_total,self_pair_exact,self_core,self_tail,cross_exact,self_core_same_sign_as_self,self_tail_opposite_sign_to_self,cross_same_sign_as_total,lambda_exact_over_core,eta_tail_over_core,self_core_abs_share_of_self,self_tail_abs_share_of_self,cross_abs_share_of_total
4.0,1.35,-0.000828947242284358,-0.0008132145805452825,-0.0015441147286452818,0.000730900148099999,-1.573266173907551e-05,1,1,1,0.5266542475498246,0.4733457524501752,1.898778951565171,0.8987789515651706,0.018979086890645154
5.0,1.35,0.0011678651133360815,0.0011415086823504355,0.0017123455471324922,-0.0005708368647820567,2.635643098564609e-05,1,1,1,0.6666345377905851,0.33336546220941493,1.5000722934552446,0.5000722934552447,0.02256804376179819
6.0,1.35,0.0001488439360011407,0.00014623380773100736,0.000149395828937142,-3.1620212061346647e-06,2.6101282701333925e-06,1,1,1,0.9788346085119616,0.02116539148803866,1.021623051845515,0.021623051845515138,0.01753600677499814
7.0,1.35,0.001066025872323186,0.001048348912190171,0.0018895243200874453,-0.0008411754078972742,1.7676960133015084e-05,1,1,1,0.5548216030062288,0.44517839699377115,1.8023811520345097,0.8023811520345094,0.01658211174039496
8.0,1.35,0.0005637842839836491,0.000556857413663402,0.0010622319298086722,-0.0005053745161452701,6.926870320247107e-06,1,1,1,0.5242333600004874,0.47576663999951263,1.9075474326911785,0.9075474326911785,0.01228638420230955
9.0,1.35,-0.00037083126607110673,-0.00036654686004580577,-0.0007677151787357684,0.0004011683186899625,-4.2844060253010314e-06,1,1,1,0.47745162554870313,0.5225483744512968,2.094453022022424,1.0944530220224238,0.011553518856955007
10.0,1.35,0.0006826818823965212,0.0006756921183989808,0.0013755082995273449,-0.0006998161811283641,6.989763997540277e-06,1,1,1,0.49123085526358773,0.5087691447364123,2.0357027440049826,1.0357027440049826,0.010238683899158205
11.0,1.35,6.707950157355751e-05,6.696747956221355e-05,0.00013381238686795827,-6.684490730574473e-05,1.1202201134397446e-07,1,1,1,0.5004580004113885,0.4995419995886115,1.9981696749337123,0.9981696749337126,0.0016699887255592419
12.0,1.35,0.0006922158903368517,0.0006860608598106754,0.0014385843910604706,-0.0007525235312497951,6.155030526176432e-06,1,1,1,0.47689997477654894,0.523100025223451,2.0968757661783255,1.096875766178325,0.008891778724093176
13.0,1.35,0.0002843037688233182,0.0002825159381663329,0.0006075491763831145,-0.0003250332382167814,1.7878306569851507e-06,1,1,1,0.46500916987200586,0.5349908301279939,2.1504952263097326,1.1504952263097317,0.006288452187548052
14.0,1.35,0.0006463929305398294,0.0006412788540218299,0.001367357840482061,-0.0007260789864602313,5.114076517999604e-06,1,1,1,0.4689912435765517,0.5310087564234486,2.1322359717719843,1.1322359717719848,0.007911714804381645
15.0,1.35,0.0003978694215975661,0.00039543450289871633,0.000874240934959087,-0.00047880643206037063,2.4349186988497282e-06,1,1,1,0.4523175329432749,0.547682467056725,2.2108362536665362,1.210836253666536,0.00611989403225006
16.0,1.35,0.0005749770500641464,0.0005708609479919528,0.0012171417532638312,-0.0006462808052718781,4.1161020721934625e-06,1,1,1,0.4690176361637076,0.530982363836292,2.1321159864678445,1.1321159864678438,0.007158724112091529
17.0,1.35,0.0004397502773556076,0.0004372254895807063,0.0009803904517253167,-0.0005431649621446102,2.5247877749013035e-06,1,1,1,0.44597077502261007,0.5540292249773897,2.242299397195481,1.2422993971954805,0.005741412580985397
18.0,1.35,0.00013968830081322766,0.00013921898068976462,0.00032490951115612336,-0.00018569053046635868,4.693201234629834e-07,1,1,1,0.4284853964243233,0.5715146035756765,2.333801824624411,1.333801824624411,0.003359766857573097
19.0,1.35,0.000431977551556747,0.0004296629005296548,0.0009606036212399975,-0.0005309407207103426,2.3146510270922177e-06,1,1,1,0.44728428149690236,0.5527157185030975,2.2357146033689212,1.235714603368921,0.005358266925563034
20.0,1.35,0.00023180871657126512,0.00023086742091942415,0.0005416008890117385,-0.00031073346809231436,9.412956518410109e-07,1,1,1,0.4262685412881964,0.5737314587118035,2.3459390106010867,1.3459390106010867,0.004060656845712821
