case,mode,phi_scale,mix_scale,chi_mode_active,f_R3_gt_0p90,f_R3_gt_0p95,f_hmumu_chi2_le_4,best_chi2,f_winner_gt_3,ratio_min,ratio_max,ratio_mean,ratio_std,ratio_p10,ratio_p90
baseline_localized,localized,1.0,1.0,localized_grid,0.9269444444444445,0.21666666666666667,0.15,2.2079807637329057e-05,0.0002777777777777778,1.0,1.0,1.0,0.0,1.0,1.0
open_micro_base,open_system_micro,1.0,1.0,open_system_micro,0.9269444444444445,0.21666666666666667,0.15,2.2079828554704105e-05,0.0002777777777777778,0.015435407638415536,0.30645404719096286,0.126989950484034,0.06041208995078747,0.05967748282289219,0.199709816087255
open_micro_phi_x0p5,open_system_micro,0.5,1.0,open_system_micro,0.9269444444444445,0.21666666666666667,0.15,2.2079828554552814e-05,0.0002777777777777778,0.015435649977355439,0.3064710136243297,0.12699590062120464,0.06041682851752634,0.05967832195667009,0.19972527643271504
open_micro_phi_x2,open_system_micro,2.0,1.0,open_system_micro,0.9269444444444445,0.21666666666666667,0.15,2.20798285546728e-05,0.0002777777777777778,0.015434922976698058,0.3064201182196279,0.12697805176455693,0.06040261505346587,0.05967580460999822,0.19967890033006758
open_micro_mix_x0p5,open_system_micro,1.0,0.5,open_system_micro,0.9269444444444445,0.21666666666666667,0.15,2.207982903315677e-05,0.0002777777777777778,0.00782247080112488,0.20206804932064432,0.07437069797986659,0.04124878516411573,0.03141098156811927,0.1239489307950861
open_micro_mix_x2,open_system_micro,1.0,2.0,open_system_micro,0.9269444444444445,0.21666666666666667,0.15,2.2079827748727373e-05,0.0002777777777777778,0.030049442080391685,0.40403665935457034,0.19572096526240107,0.07353915463689488,0.10770596624812119,0.27701279691517666
