D,family,R,exact,max_overlap_identity_residual_abs,right_signed,left_signed,mid_signed,outer_signed,union_abs_share,mid_abs_share,outer_abs_share,union_exact,union_jet,rel_jet_err_vs_union,rel_jet_err_vs_exact,a0,ar,az,z_peak,I_z_peak
5.0,zslab,0.5,0.0011678651133358313,6.938893903907228e-18,0.0019001376161737148,0.0018535834990779205,-0.000595628505413186,-0.001990227496502618,0.4283991707243242,0.04634950260828785,0.525251326667388,,,,,,,,,
5.0,zslab,1.0,0.0011678651133358313,6.938893903907228e-18,0.001020828309497417,0.0010153675609336581,-0.00043590222890285647,-0.000432428528192387,0.6377113442245345,0.0735891626968615,0.288699493078604,,,,,,,,,
5.0,zslab,1.5,0.0011678651133358313,6.938893903907228e-18,0.00038305443069691923,0.0003681050000630105,-0.0006732467301025963,0.0008526079114787577,0.7832322531569271,0.1381904430718118,0.14317858414621148,,,,,,,,,
5.0,zslab,2.0,0.0011678651133358313,6.938893903907228e-18,0.0007437537569983958,0.0007587939850274364,-0.00034338387732315775,0.00026094587672318505,0.8561695752450907,0.18937036577658287,0.09748092214662155,,,,,,,,,
5.0,core_ball,0.5,0.0011678651133358313,6.938893903907228e-18,0.00025882632611936695,0.0002484912723372801,-0.000595628505413186,0.0006605475148791841,0.1491044891647068,0.04634950260828785,0.8508955108352931,,,,,,,,,
5.0,core_ball,0.75,0.0011678651133358313,6.938893903907228e-18,0.0008428653006931311,0.000830116835938861,-0.0005556549117382309,-0.0005051170232961611,0.27053750901130447,0.05218432718002175,0.7294624909886955,,,,,,,,,
5.0,core_ball,1.0,0.0011678651133358313,6.938893903907228e-18,0.0011272086861984494,0.0011034429349805184,-0.00043590222890285647,-0.0010627865078431367,0.4022157447638231,0.0735891626968615,0.597784255236177,,,,,,,,,
5.0,core_ball,1.25,0.0011678651133358313,6.938893903907228e-18,0.0010078177227116482,0.0009829259691745017,-0.0004582139349833028,-0.0008228785785503187,0.5292402090912622,0.10451354947278377,0.47075979090873776,,,,,,,,,
5.0,core_ball,1.5,0.0011678651133358313,6.938893903907228e-18,0.0007042301156394807,0.0006819793764141393,-0.0006732467301025963,-0.0002183443787177888,0.6382761750266555,0.1381904430718118,0.3617238249733446,,,,,,,,,
5.0,core_ball,2.0,0.0011678651133358313,6.938893903907228e-18,0.000432599070558012,0.00041946098457347936,-0.00034338387732315775,0.0003158050582043399,0.7583322347474664,0.18937036577658287,0.24166776525253358,,,,,,,,,
5.0,quad_jet_ball,0.75,0.0011678651133358313,6.938893903907228e-18,0.0008428653006931311,0.0008428653006931311,,-0.000517865488050431,,,,0.0016857306013862623,2.6882397019120045e-05,0.9840529696755738,0.9769815908428547,-0.3487260398201008,1.2060850774052163,1.1614832698931847,,
5.0,quad_jet_ball,1.0,0.0011678651133358313,6.938893903907228e-18,0.0011272086861984494,0.0011272086861984494,,-0.0010865522590610675,,,,0.002254417372396899,-0.00014264040832044286,1.0632715175401561,1.1221377423570877,-0.13934835735011977,0.2999866560540093,0.30696415876760486,,
5.0,quad_jet_ball,1.25,0.0011678651133358313,6.938893903907228e-18,0.0010078177227116482,0.0010078177227116482,,-0.000847770332087465,,,,0.0020156354454232963,-0.0007801069986102062,1.3870278231023958,1.6679769690028223,-0.05534890173070588,0.09382999611589987,0.0983328080779534,,
5.0,quad_jet_ball,1.5,0.0011678651133358313,6.938893903907228e-18,0.0007042301156394807,0.0007042301156394807,,-0.00024059511794313,,,,0.0014084602312789613,-0.0013687198560566514,1.971784524447507,2.1719845386485677,-0.016374653794705422,0.03094249369082885,0.033869548738539,,
5.0,z_profile_peak,1.0,0.0011678651133358313,6.938893903907228e-18,,,,,,,,,,,,,,,2.3149999999999995,0.00011775075039659301
5.0,z_profile_peak,2.0,0.0011678651133358313,6.938893903907228e-18,,,,,,,,,,,,,,,-2.3050000000000006,0.00011748198645332931
5.0,z_profile_peak,3.0,0.0011678651133358313,6.938893903907228e-18,,,,,,,,,,,,,,,2.285,0.00011689393644251208
5.0,z_profile_peak,4.0,0.0011678651133358313,6.938893903907228e-18,,,,,,,,,,,,,,,-2.2750000000000004,0.0001160483186075005
5.0,z_profile_peak,5.0,0.0011678651133358313,6.938893903907228e-18,,,,,,,,,,,,,,,-2.335,0.00011599781267295924
5.0,z_profile_peak,6.0,0.0011678651133358313,6.938893903907228e-18,,,,,,,,,,,,,,,2.344999999999999,0.00011526521587302902
5.0,z_profile_peak,7.0,0.0011678651133358313,6.938893903907228e-18,,,,,,,,,,,,,,,2.254999999999999,0.00011378466474014354
5.0,z_profile_peak,8.0,0.0011678651133358313,6.938893903907228e-18,,,,,,,,,,,,,,,-2.245,0.00011261852634708252
5.0,z_profile_peak,9.0,0.0011678651133358313,6.938893903907228e-18,,,,,,,,,,,,,,,-2.365,0.00011014941233702994
5.0,z_profile_peak,10.0,0.0011678651133358313,6.938893903907228e-18,,,,,,,,,,,,,,,2.2249999999999996,0.00010912259332050056
5.0,z_profile_peak,11.0,0.0011678651133358313,6.938893903907228e-18,,,,,,,,,,,,,,,-2.215,0.00010779212859979725
5.0,z_profile_peak,12.0,0.0011678651133358313,6.938893903907228e-18,,,,,,,,,,,,,,,2.375,0.00010773851810280841
11.0,zslab,0.5,6.707950157337475e-05,5.204170427930421e-18,-0.0001081444888097836,-0.00019739275884589447,-5.4717334973234316e-05,0.00042733408420228704,0.28014093410827307,0.003985576556981042,0.7158734893347459,,,,,,,,,
11.0,zslab,1.0,6.707950157337475e-05,5.204170427930421e-18,6.49778844958041e-05,2.911833793358582e-06,-4.7622272509687856e-05,4.681205579389987e-05,0.5972655666226102,0.005659270759837173,0.39707516261755255,,,,,,,,,
11.0,zslab,1.5,6.707950157337475e-05,5.204170427930421e-18,0.0001978933680191222,0.0001771892471816456,-8.124069557081246e-05,-0.00022676241805658068,0.6747264023576579,0.010673597174333423,0.31460000046800873,,,,,,,,,
