response_choice,Sxx_used,required_gx_floor,required_parity_floor,parity_source,parity_floor,ratio_over_required,tightening_factor_to_close,role
global,1.0149317950893333,3.0021013988996e-05,6.0042027977992e-05,anchor_theorem_floor,5.64043e-05,0.9394136390708624,1.0644938059330937,current_theorem
global,1.0149317950893333,3.0021013988996e-05,6.0042027977992e-05,core_theorem_floor,5.704e-05,0.9500012228252456,1.0526302240180925,current_theorem
global,1.0149317950893333,3.0021013988996e-05,6.0042027977992e-05,exact_bridge_floor,6.707950157359976e-05,1.1172091255509775,0.8950875687726118,exact_reference
local,1.0798358803832029,2.9104819409153805e-05,5.820963881830761e-05,anchor_theorem_floor,5.64043e-05,0.9689855691435795,1.0320071132574575,current_theorem
local,1.0798358803832029,2.9104819409153805e-05,5.820963881830761e-05,core_theorem_floor,5.704e-05,0.9799064408910274,1.0205055893812693,current_theorem
local,1.0798358803832029,2.9104819409153805e-05,5.820963881830761e-05,exact_bridge_floor,6.707950157359976e-05,1.1523779039924653,0.8677708905520098,exact_reference
