rho_shoulder,N_mass_shoulder_floor_abs,min_shoulder_over_ann_share,mean_shoulder_over_ann_share,max_rim_over_P_mass_inner,max_shoulder_over_P_mass_inner
0.16,0.0007374471126037282,0.94082423669008,0.949541956494723,0.05383186480250046,0.8558626079255988
0.17,0.0007374471126037282,0.94082423669008,0.949541956494723,0.05383186480250046,0.8558626079255988
0.18000000000000002,0.0007374471126037282,0.94082423669008,0.949541956494723,0.05383186480250046,0.8558626079255988
0.19000000000000003,0.0007374471126037282,0.94082423669008,0.949541956494723,0.05383186480250046,0.8558626079255988
0.20000000000000004,0.0007374471126037282,0.94082423669008,0.949541956494723,0.05383186480250046,0.8558626079255988
0.21000000000000005,0.0006886683059301134,0.8656434325770457,0.8823866013029001,0.12222342675938178,0.7874710459687174
0.22000000000000006,0.0006886683059301134,0.8656434325770457,0.8823866013029001,0.12222342675938178,0.7874710459687174
0.23000000000000007,0.0006886683059301134,0.8656434325770457,0.8823866013029001,0.12222342675938178,0.7874710459687174
0.24000000000000007,0.0006886683059301134,0.8656434325770457,0.8823866013029001,0.12222342675938178,0.7874710459687174
0.2500000000000001,0.0006886683059301134,0.8656434325770457,0.8823866013029001,0.12222342675938178,0.7874710459687174
0.2600000000000001,0.0006886683059301134,0.8656434325770457,0.8823866013029001,0.12222342675938178,0.7874710459687174
0.27000000000000013,0.0006283506857174496,0.7778795717628191,0.8008333385360751,0.20206172584736196,0.7076327468807373
0.28000000000000014,0.0006283506857174496,0.7778795717628191,0.8008333385360751,0.20206172584736196,0.7076327468807373
0.29000000000000015,0.0006283506857174496,0.7778795717628191,0.8008333385360751,0.20206172584736196,0.7076327468807373
0.30000000000000016,0.0006283506857174496,0.7778795717628191,0.8008333385360751,0.20206172584736196,0.7076327468807373
