edge,edge_label,point_id,direction,rho_q,z_rel_q,rho_out,z_rel_out,coefficient,phi_exact,phi_floor,component_exact,component_certified,component_slack
outer_rho,out,1,rho_plus,0.69,-1.1750000000000007,0.75,-1.1750000000000007,200.0,0.06400979059320507,0.064009,12.801958118641013,12.8018,0.0001581186410124502
outer_rho,out,2,rho_plus,0.69,-1.1450000000000014,0.75,-1.1450000000000014,200.0,0.06346159905331653,0.063461,12.692319810663305,12.692200000000001,0.00011981066330335466
outer_rho,out,3,rho_plus,0.69,-1.1150000000000002,0.75,-1.1150000000000002,200.0,0.0628210987319283,0.062821,12.56421974638566,12.5642,1.9746385660823762e-05
outer_rho,out,4,rho_plus,0.69,-1.0850000000000009,0.75,-1.0850000000000009,200.0,0.06209004122903122,0.06209,12.418008245806245,12.418,8.245806245810172e-06
outer_rho,out,5,rho_plus,0.69,-1.0549999999999997,0.75,-1.0549999999999997,200.0,0.06127031077321539,0.06127,12.254062154643078,12.254,6.215464307857133e-05
outer_rho,out,6,rho_plus,0.69,-1.0250000000000004,0.75,-1.0250000000000004,200.0,0.06036392005975998,0.060363,12.072784011951997,12.0726,0.0001840119519975758
outer_rho,out,7,rho_plus,0.69,-0.995000000000001,0.75,-0.995000000000001,200.0,0.05937300588870773,0.059372999999999995,11.874601177741546,11.8746,1.1777415469538255e-06
outer_rho,out,8,rho_plus,0.69,-0.9649999999999999,0.75,-0.9649999999999999,200.0,0.058299824610509476,0.058299,11.659964922101896,11.659799999999999,0.0001649221018968916
outer_rho,out,9,rho_plus,0.69,-0.9350000000000023,0.75,-0.9350000000000023,200.0,0.05714674738708064,0.057145999999999995,11.429349477416128,11.4292,0.00014947741612836296
outer_rho,out,10,rho_plus,0.69,-0.9050000000000011,0.75,-0.9050000000000011,200.0,0.05591625527637571,0.055916,11.183251055275143,11.1832,5.1055275143596646e-05
outer_rho,out,11,rho_plus,0.69,-0.875,0.75,-0.875,200.0,0.054610934148860237,0.05461,10.922186829772047,10.922,0.00018682977204598217
outer_rho,out,12,rho_plus,0.69,-0.8449999999999989,0.75,-0.8449999999999989,200.0,0.05323346944455552,0.053232999999999996,10.646693888911104,10.6466,9.388891110440056e-05
outer_rho,out,13,rho_plus,0.69,-0.8150000000000013,0.75,-0.8150000000000013,200.0,0.051786640779660185,0.051786,10.357328155932038,10.357199999999999,0.0001281559320389647
outer_rho,out,14,rho_plus,0.69,-0.7850000000000001,0.75,-0.7850000000000001,200.0,0.050273316412126776,0.050273,10.054663282425356,10.054599999999999,6.328242535680317e-05
outer_rho,out,15,rho_plus,0.69,-0.754999999999999,0.75,-0.754999999999999,200.0,0.04869644757600486,0.048695999999999996,9.739289515200971,9.739199999999999,8.951520097255639e-05
outer_rho,out,16,rho_plus,0.69,-0.7250000000000014,0.75,-0.7250000000000014,200.0,0.04705906269487701,0.047059,9.411812538975402,9.4118,1.2538975402875963e-05
outer_rho,out,17,rho_plus,0.69,-0.6950000000000003,0.75,-0.6950000000000003,200.0,0.045364261485322896,0.045363999999999995,9.072852297064578,9.072799999999999,5.229706457932082e-05
outer_rho,out,18,rho_plus,0.69,-0.6649999999999991,0.75,-0.6649999999999991,200.0,0.04361520896207351,0.043615,8.723041792414701,8.723,4.179241470048112e-05
outer_rho,out,19,rho_plus,0.69,-0.6350000000000016,0.75,-0.6350000000000016,200.0,0.0418151293573778,0.041815,8.36302587147556,8.363,2.587147556099012e-05
outer_rho,out,20,rho_plus,0.69,-0.6050000000000004,0.75,-0.6050000000000004,200.0,0.0399672999681164,0.039966999999999996,7.993459993623279,7.993399999999999,5.999362327990809e-05
outer_rho,out,21,rho_plus,0.69,-0.5749999999999993,0.75,-0.5749999999999993,200.0,0.03807504494536642,0.038075,7.615008989073284,7.614999999999999,8.989073284837445e-06
outer_rho,out,22,rho_plus,0.69,-0.5450000000000017,0.75,-0.5450000000000017,200.0,0.036141729042452254,0.036141,7.228345808490451,7.2282,0.00014580849045042754
outer_rho,out,23,rho_plus,0.69,-0.5150000000000006,0.75,-0.5150000000000006,200.0,0.03417075133899246,0.03417,6.834150267798492,6.834,0.00015026779849236505
outer_rho,out,24,rho_plus,0.69,-0.48499999999999943,0.75,-0.48499999999999943,200.0,0.032165538960038105,0.032165,6.433107792007621,6.433,0.0001077920076211214
