D,I_diag_anchor,P_diag_anchor,N_diag_anchor,split_resid_abs,neg_over_pos,pos_over_exact,neg_over_exact,induced_diag_lower_from_moments
4.0,0.0005556053549042061,0.002852484726982174,0.0022968793720779678,0.0,0.8052205680021234,5.134012301724451,4.134012301724451,0.0005556053549042061
5.0,0.0007863294828877666,0.0031886921572632293,0.0024023626743754625,2.168404344971009e-19,0.7534006281864937,4.055160370628445,3.055160370628445,0.0007863294828877668
6.0,0.0002322740638987959,0.0024990825654799135,0.0022668085015811173,2.710505431213761e-19,0.9070562665246751,10.75919766301927,9.759197663019268,0.00023227406389879617
7.0,0.0006605835488527464,0.0029144037933127947,0.0022538202444600483,0.0,0.7733383581340103,4.411862509101717,3.4118625091017174,0.0006605835488527464
8.0,0.0005230522629162447,0.0024651235608913824,0.001942071297975138,2.168404344971009e-19,0.787819048418364,4.712958409064598,3.712958409064598,0.0005230522629162445
9.0,0.000200245039483431,0.0022005985056221724,0.0020003534661387416,2.168404344971009e-19,0.9090042827113455,10.989528186560936,9.989528186560936,0.00020024503948343078
10.0,0.0005656185388685361,0.0022828488171036604,0.0017172302782351239,4.336808689942018e-19,0.7522312758379861,4.036021912701577,3.0360219127015764,0.0005656185388685365
11.0,0.00016555573881248136,0.0018713603461942233,0.0017058046073817421,1.6263032587282567e-19,0.911531876183456,11.303506357540655,10.303506357540657,0.0001655557388124812
12.0,0.0005311738999916108,0.0020643343099325563,0.0015331604099409462,6.505213034913027e-19,0.7426899812516491,3.886362469927758,2.886362469927759,0.0005311738999916101
13.0,0.00032087208545264684,0.0017303081838906911,0.0014094360984380442,1.0842021724855044e-19,0.8145578409441786,5.392517025748081,4.392517025748081,0.00032087208545264695
14.0,0.00043938494835030797,0.0018439101287945512,0.0014045251804442433,5.421010862427522e-20,0.7617102148912464,4.19657099251488,3.19657099251488,0.0004393849483503079
15.0,0.0003836413835798117,0.001605966987395091,0.0012223256038152793,0.0,0.7611150250341787,4.1861150963683516,3.186115096368351,0.0003836413835798117
16.0,0.00035730201291452865,0.0016336964625316866,0.0012763944496171579,5.421010862427522e-20,0.7812922895353343,4.57231250729754,3.57231250729754,0.0003573020129145287
17.0,0.00037625980085889796,0.0014746923119964418,0.001098432511137544,2.168404344971009e-19,0.7448553859011332,3.919345911070286,2.9193459110702866,0.00037625980085889774
18.0,0.00019620849129946293,0.0012589454958819315,0.0010627370045824685,0.0,0.844148541822287,6.416366017312002,5.416366017312002,0.00019620849129946293
19.0,0.00034323172609531787,0.0013377377031000678,0.00099450597700475,5.421010862427522e-20,0.7434237479440745,3.8974768396805155,2.8974768396805155,0.0003432317260953178
20.0,0.0002511682997238171,0.0011706661801132298,0.0009194978803894127,5.421010862427522e-20,0.7854484019521915,4.6608834849003085,3.6608834849003085,0.00025116829972381713
