m,u,v,p95_block11_rel_residual_identifiable,p95_block22_rel_residual,p95_trace_rel_residual,p95_det_rel_residual_identifiable,p95_anisotropy_abs_residual_identifiable,max_block11_rel_residual_identifiable,max_block22_rel_residual,max_trace_rel_residual,max_det_rel_residual_identifiable,max_anisotropy_abs_residual_identifiable,objective
0.0,0.0,0.0,4.440892098500626e-16,8.172351684265777e-13,8.169909193611602e-13,7.667366741515023e-13,7.661871137543129e-13,4.440892098500626e-16,8.425482533880313e-13,8.413270080609436e-13,8.428813202954188e-13,8.428813202954188e-13,3.167593964903403e-12
0.0,0.0,0.125,0.003983301116530774,0.00620014993166329,0.006198049894202762,0.009029648001176654,0.004587888942228746,0.004448113271012688,0.0064468987913310905,0.006444463404952416,0.00962924776296381,0.004866656371207867,0.029999037885802222
0.0,0.0,-0.125,0.003999410171847606,0.006238847133308267,0.006236727218236604,0.009112227780758674,0.004587888941726037,0.004467987384994654,0.006488730982984192,0.006486274621572585,0.009722871702851243,0.004866656370431599,0.030175101245877186
0.0,0.0,0.25,0.007950558776817267,0.012361842782594801,0.012357662439840777,0.017977467306472088,0.009175777884206537,0.00887644083035355,0.012852235078499197,0.012847385134729383,0.019165773113100082,0.009733312742028488,0.05982330918993147
0.0,0.0,-0.25,0.008014995269185475,0.012516633090968288,0.01251237323678569,0.01830779334543071,0.009175777883703029,0.008955937681261572,0.013019565595878912,0.013014631751006034,0.01954027764021271,0.009733312741250444,0.06052757282607319
-0.05,0.0,0.0,0.048770575499286366,0.04877057550006327,0.04877057550006305,0.09516258196473427,7.661871137543129e-13,0.04877057549928643,0.04877057550008734,0.04877057550008623,0.0951625819648031,8.428813202954188e-13,0.24147430846491316
-0.05,0.0,-0.125,0.05080376030443257,0.0506076811382987,0.0506076811382987,0.09706036920180738,0.004587888941725726,0.05194826783234441,0.0506938914401035,0.0506938914401035,0.09736259790057289,0.004866656370429823,0.2536673807245631
0.05,0.0,0.0,0.05127109637602432,0.05127109637603615,0.05127109637603615,0.10517091807563292,7.661871137543129e-13,0.05127109637602456,0.0512710963760461,0.0512710963760461,0.1051709180756577,8.428813202954188e-13,0.25898420720449566
-0.05,0.0,-0.25,0.052831472639299354,0.052441236828692506,0.052441236828692506,0.09895409346537211,0.009175777883703516,0.055115344715224834,0.052613318577538926,0.052613318577538926,0.09955726473237458,0.009733312741250444,0.26584381764576
-0.05,0.0,0.125,0.052559608727976555,0.054668340550600124,0.05466634293317509,0.10333294534719857,0.004587888942228746,0.053001751726185264,0.05490305532637818,0.05490073871519463,0.10387548564750904,0.004866656371207867,0.26981512650117906
0.05,0.0,0.125,0.053524179691437225,0.05330534300051375,0.05330534300051375,0.10749385403122591,0.004587888942228746,0.05479476073902445,0.05340099571993462,0.05340099571993462,0.10786457294383922,0.004866656371207867,0.27221660866591935
0.05,0.0,0.25,0.055783348247566776,0.05534352814019239,0.05534352814019239,0.10982177426245156,0.009175777884206537,0.05833023576683449,0.05553521028874253,0.05553521028874253,0.11056479311013945,0.009733312742028488,0.28546795667460967
0.05,0.0,-0.125,0.055475560692239925,0.057829816041979495,0.05782758743653784,0.11524148721782293,0.004587888941726525,0.055968162372841634,0.05809251171059504,0.05808992940884061,0.11591635312181925,0.004866656370431599,0.2909623403303067
-0.05,0.0,0.25,0.05633338094901693,0.060529524095141986,0.060525547630109845,0.11142926706445448,0.009175777884207025,0.05721410720195785,0.06099599967655467,0.06099138626733358,0.11250449062236112,0.009733312742028488,0.29799349762293026
0.05,0.0,-0.25,0.059697029240109355,0.06442947096850289,0.06442499270692603,0.1254041588551568,0.009175777883703516,0.060686214801279226,0.06495818937434339,0.06495300256583447,0.12676626465473495,0.009733312741250444,0.32313142965439856
-0.1,0.0,0.0,0.09516258196404091,0.09516258196477985,0.09516258196477964,0.181269246922646,7.661871137543129e-13,0.09516258196404104,0.09516258196480276,0.09516258196480176,0.1812692469227083,8.428813202954188e-13,0.46675699281701255
-0.1,0.0,-0.125,0.09709660717614371,0.09691009090378555,0.09691009090378555,0.18298643582622084,0.004587888941726037,0.09818529641325602,0.09699209667955733,0.09699209667955733,0.18325990366166833,0.004866656370431599,0.47849111375166165
-0.1,0.0,-0.25,0.09902542681349209,0.09865422302794884,0.09865422302794884,0.184699948399337,0.009175777883703516,0.10119791313390802,0.098817912250871,0.098817912250871,0.1852457203312049,0.009733312741250444,0.4902095991524303
-0.1,0.0,0.125,0.0987668218615819,0.10077270961964255,0.1007708094271689,0.18866209743005052,0.004587888942228746,0.09918740129131498,0.10099597722072784,0.1009937735920049,0.18915300819456393,0.004866656371207867,0.4935603272806726
-0.1,0.0,0.25,0.10235654503959896,0.10634803986961001,0.10634425733906601,0.19598795226828097,0.009175777884206537,0.10319431776632648,0.10679176516846078,0.10678737675786265,0.1969608547762285,0.009733312742028488,0.5202125724007625
0.1,0.0,0.0,0.10517091807564802,0.10517091807566037,0.10517091807566037,0.22140275816015395,7.661871137543129e-13,0.10517091807564838,0.10517091807567103,0.10517091807567103,0.22140275816018118,8.428813202954188e-13,0.5369155123878889
0.1,0.0,0.125,0.10753951944286862,0.10730946275487421,0.10730946275487421,0.2239699994228272,0.004587888942228746,0.10887524457380038,0.10741001969409103,0.10741001969409103,0.22437970718382805,0.004866656371207867,0.5507163333176729
0.1,0.0,0.25,0.10991451804776904,0.1094521478812815,0.1094521478812815,0.22654274916197753,0.009175777884206537,0.11259198728249609,0.10965365778374347,0.10965365778374347,0.22736391198402406,0.009733312742028488,0.5645373408565162
0.1,0.0,-0.125,0.10959094988702965,0.11206591048969972,0.11206356762121392,0.23253245830457245,0.004587888941725238,0.11010880779587273,0.11234207485325842,0.11233936015406187,0.2332783004752701,0.004866656370429823,0.570840775244241
0.1,0.0,-0.25,0.1140288577556655,0.11900393696000933,0.11899922909305131,0.2437639474481056,0.009175777883703516,0.11506875994507593,0.11955976333819152,0.11955431059632349,0.2452693071651415,0.009733312741250444,0.6049717491405352
