D,eta,parent_blockdet_k11,parent_blockdet_k_bg,parent_blockdet_k22,parent_blockdet_c_parent,parent_blockdet_det_ratio,parent_blockdet_schur_norm,parent_blockdet_action,parent_blockdet_action_residual,parent_blockdet_coeff_share,parent_blockdet_tree_share,eymh_parented_prefactor_diag,parent_proxy_x,parent_proxy_g_schur,parent_proxy_y,parent_proxy_mix_norm_sq,parent_proxy_rank1_residual_abs,parent_proxy_lambda1,parent_proxy_lambda2,parent_proxy_lambda1_residual_abs,parent_proxy_lambda2_formula,parent_proxy_lambda2_residual_abs,parent_proxy_g,parent_proxy_active,omega1,delta_micro,tau_env,Szz_0,Sxx_delta,parent_proxy_Omega1,parent_proxy_Omega2,parent_proxy_r_on_shell,parent_proxy_q_on_shell,parent_proxy_q_single_pole,parent_proxy_delta_q_abs,parent_proxy_gap_separator,parent_proxy_eps_delta_factor
4.0,0.2,1.4003545423064692,1.052928468881864,1.9324179114318152,0.5933865462204695,2.5700418213419365,1.8352793836830217,0.9439221716704216,-2.220446049250313e-16,0.3567300982759703,0.6432699017240294,0.0433261161132477,0.40035454230646916,1.8352793836830217,0.8352793836830217,0.3344078953524458,0.0,1.0,2.235633925989491,0.0,2.235633925989491,0.0,1.4952036403077311,True,1.7512011374518028,0.5002558656877873,0.5710366322940573,1.1420732645881146,1.0559068677898105,1.7512011374518028,2.618402315628975,0.2856644248277023,0.9245526539583432,0.9245526539583432,0.0,0.04023121353531989,0.4667643642082914
4.8,0.2,1.3864469292404067,1.3330127461264274,2.362702968139451,0.6308094992672555,2.4574125674365095,1.772453395517168,0.8991089945574516,-2.220446049250313e-16,0.3634090088476681,0.6365909911523319,0.0392190539319979,0.3864469292404067,1.772453395517168,0.772453395517168,0.29851224267893495,5.551115123125783e-17,0.9999999999999999,2.1589003247575747,1.1102230246251565e-16,2.1589003247575747,0.0,1.4693196809263718,True,,,,,,,,,,,,,
5.6,0.2,1.3740065777952906,1.0489632309804584,2.1633438169820285,0.6455893968552749,2.8337014556627995,2.0623638208557287,1.0415837919166175,2.220446049250313e-16,0.3050460112641143,0.6949539887358859,0.0448967669998699,0.37400657779529056,2.0623638208557287,1.0623638208557287,0.39733105701178023,0.0,0.9999999999999999,2.436370398651019,1.1102230246251565e-16,2.436370398651019,0.0,1.560887695720297,True,,,,,,,,,,,,,
6.4,0.2,1.4087562872961084,1.236842257453033,2.3109335636598973,0.6626021238587645,2.63214016800611,1.8684141407156376,0.9677972673665268,0.0,0.3541105776484295,0.6458894223515704,0.0493701336927381,0.40875628729610836,1.8684141407156376,0.8684141407156376,0.35496973999436415,5.551115123125783e-17,1.0,2.277170428011746,0.0,2.277170428011746,0.0,1.509029631257036,True,,,,,,,,,,,,,
7.2,0.2,1.465397035754631,1.5397550802947837,2.131691691581259,0.5248671681934076,2.0287477703193617,1.3844355630722451,0.7074187408044638,5.551115123125784e-16,0.5401697719850652,0.4598302280149355,0.0543924299977552,0.4653970357546311,1.3844355630722451,0.38443556307224513,0.17891517149248537,2.7755575615628914e-17,1.0,1.8498325988268762,0.0,1.8498325988268762,0.0,1.3600855115862664,True,,,,,,,,,,,,,
8.0,0.2,1.4813765064519049,1.5891268740470006,2.1471719293261815,0.5182950695820405,2.001583450235415,1.3511645699238712,0.6939385924286489,-1.1102230246251563e-16,0.5662917897083114,0.4337082102916886,0.057994994496971,0.4813765064519049,1.3511645699238712,0.35116456992387124,0.16904237385963883,2.7755575615628914e-17,0.9999999999999998,1.8325410763757761,2.220446049250313e-16,1.8325410763757761,0.0,1.3537138088886351,True,1.802159760664197,0.4170096953791304,0.5548897616221571,1.1097795232443142,1.0533781061906398,1.802159760664197,2.439608553834561,0.23139441046305403,0.9491778178707143,0.9491778178707142,1.1102230246251565e-16,0.022433541734222517,0.5585875931664229
8.8,0.2,1.489316794072924,1.1526414316992488,1.8912538593858557,0.6011783971318578,2.443670735040456,1.640799824970484,0.8935013084364156,-1.1102230246251563e-16,0.4457939608736587,0.5542060391263413,0.0457081664589713,0.48931679407292394,1.640799824970484,0.640799824970484,0.313554115997048,0.0,0.9999999999999999,2.1301166190434078,1.1102230246251565e-16,2.1301166190434078,0.0,1.45949190441174,True,,,,,,,,,,,,,
9.6,0.2,1.496386180473614,1.1066533286499558,1.991814853819894,0.6628589205715681,2.6932772388207646,1.7998543918444423,0.9907587564774976,-1.1102230246251563e-16,0.4068124411034021,0.5931875588965979,0.0411393810783117,0.49638618047361405,1.7998543918444423,0.7998543918444423,0.39703666650270825,1.1102230246251565e-16,0.9999999999999999,2.296240572318056,1.1102230246251565e-16,2.296240572318056,0.0,1.5153351353143159,True,,,,,,,,,,,,,
10.4,0.2,1.500190098456072,1.191089660939199,2.1083009049864505,0.6773329923051223,2.655427417389111,1.7700606210652616,0.9766056275710134,0.0,0.4153076952783173,0.5846923047216827,0.0443592616003478,0.5001900984560721,1.7700606210652616,0.7700606210652616,0.3851766978677771,1.6653345369377348e-16,1.0000000000000002,2.270250719521334,2.220446049250313e-16,2.270250719521334,0.0,1.5067351192300968,True,,,,,,,,,,,,,
11.2,0.2,1.501890377156128,1.263616892757297,2.1820846584052984,0.6789478133898228,2.593548700862767,1.7268561942408374,0.9530270926791924,0.0,0.4267712525904162,0.5732287474095837,0.0459252714847219,0.501890377156128,1.7268561942408374,0.7268561942408374,0.36480212946580176,0.0,1.0,2.2287465713969654,0.0,2.2287465713969654,0.0,1.4928987143798353,True,,,,,,,,,,,,,
