case,mode,phi_scale,mix_scale,D,chi_eff,chi_lr_baseline,ratio_to_baseline
baseline_localized,localized,1.0,1.0,4.0,0.00052658181469949,0.00052658181469949,1.0
baseline_localized,localized,1.0,1.0,4.271186440677966,0.000554539279260162,0.000554539279260162,1.0
baseline_localized,localized,1.0,1.0,4.5423728813559325,0.0002987362172957779,0.0002987362172957779,1.0
baseline_localized,localized,1.0,1.0,4.813559322033898,0.00031680709250514786,0.00031680709250514786,1.0
baseline_localized,localized,1.0,1.0,5.084745762711864,0.0003352973412873796,0.0003352973412873796,1.0
baseline_localized,localized,1.0,1.0,5.3559322033898304,0.00035626016425235034,0.00035626016425235034,1.0
baseline_localized,localized,1.0,1.0,5.627118644067797,0.0003755509545519471,0.0003755509545519471,1.0
baseline_localized,localized,1.0,1.0,5.898305084745763,0.0003951816269869163,0.0003951816269869163,1.0
baseline_localized,localized,1.0,1.0,6.169491525423728,0.00041511018665719003,0.00041511018665719003,1.0
baseline_localized,localized,1.0,1.0,6.4406779661016955,0.00043528679503544823,0.00043528679503544823,1.0
baseline_localized,localized,1.0,1.0,6.711864406779661,0.00045565487426463025,0.00045565487426463025,1.0
baseline_localized,localized,1.0,1.0,6.983050847457627,0.00026609082899812207,0.00026609082899812207,1.0
baseline_localized,localized,1.0,1.0,7.254237288135593,0.00028003780408858956,0.00028003780408858956,1.0
baseline_localized,localized,1.0,1.0,7.525423728813559,0.00029426167538217443,0.00029426167538217443,1.0
baseline_localized,localized,1.0,1.0,7.796610169491526,0.00030874954848086807,0.00030874954848086807,1.0
baseline_localized,localized,1.0,1.0,8.067796610169491,0.000323484609859588,0.000323484609859588,1.0
baseline_localized,localized,1.0,1.0,8.338983050847457,0.0003384459717582209,0.0003384459717582209,1.0
baseline_localized,localized,1.0,1.0,8.610169491525424,0.00035360875405870815,0.00035360875405870815,1.0
baseline_localized,localized,1.0,1.0,8.881355932203391,0.0003689443806368159,0.0003689443806368159,1.0
baseline_localized,localized,1.0,1.0,9.152542372881356,0.00022780640990313205,0.00022780640990313205,1.0
baseline_localized,localized,1.0,1.0,9.423728813559322,0.0002386824312014784,0.0002386824312014784,1.0
baseline_localized,localized,1.0,1.0,9.694915254237287,0.0002497582928068284,0.0002497582928068284,1.0
baseline_localized,localized,1.0,1.0,9.966101694915254,0.00026102647220006304,0.00026102647220006304,1.0
baseline_localized,localized,1.0,1.0,10.237288135593221,0.0002724774999322682,0.0002724774999322682,1.0
baseline_localized,localized,1.0,1.0,10.508474576271187,0.0002840998307725082,0.0002840998307725082,1.0
baseline_localized,localized,1.0,1.0,10.779661016949152,0.00029587981685466727,0.00029587981685466727,1.0
baseline_localized,localized,1.0,1.0,11.050847457627118,0.0003078017769070365,0.0003078017769070365,1.0
baseline_localized,localized,1.0,1.0,11.322033898305085,0.00019885524546821575,0.00019885524546821575,1.0
baseline_localized,localized,1.0,1.0,11.593220338983052,0.00020757062986382943,0.00020757062986382943,1.0
baseline_localized,localized,1.0,1.0,11.864406779661017,0.00021643490825627655,0.00021643490825627655,1.0
baseline_localized,localized,1.0,1.0,12.135593220338983,0.00022643355148129244,0.00022643355148129244,1.0
baseline_localized,localized,1.0,1.0,12.40677966101695,0.00023558888312836442,0.00023558888312836442,1.0
baseline_localized,localized,1.0,1.0,12.677966101694915,0.00024487483213121367,0.00024487483213121367,1.0
baseline_localized,localized,1.0,1.0,12.94915254237288,0.0002542833982262428,0.0002542833982262428,1.0
baseline_localized,localized,1.0,1.0,13.220338983050848,0.00026380542322591415,0.00026380542322591415,1.0
baseline_localized,localized,1.0,1.0,13.491525423728813,0.0002734306360434836,0.0002734306360434836,1.0
baseline_localized,localized,1.0,1.0,13.76271186440678,0.00018418687760165037,0.00018418687760165037,1.0
baseline_localized,localized,1.0,1.0,14.033898305084746,0.00019144744371395978,0.00019144744371395978,1.0
baseline_localized,localized,1.0,1.0,14.305084745762711,0.00019881801613775982,0.00019881801613775982,1.0
baseline_localized,localized,1.0,1.0,14.576271186440678,0.00020629482805265207,0.00020629482805265207,1.0
baseline_localized,localized,1.0,1.0,14.847457627118644,0.00021387347931540876,0.00021387347931540876,1.0
baseline_localized,localized,1.0,1.0,15.11864406779661,0.00022154890273389926,0.00022154890273389926,1.0
baseline_localized,localized,1.0,1.0,15.389830508474576,0.00022931535286951714,0.00022931535286951714,1.0
baseline_localized,localized,1.0,1.0,15.661016949152541,0.0002371664164434909,0.0002371664164434909,1.0
baseline_localized,localized,1.0,1.0,15.932203389830509,0.00016476734538185893,0.00016476734538185893,1.0
baseline_localized,localized,1.0,1.0,16.203389830508474,0.00017081582758589044,0.00017081582758589044,1.0
baseline_localized,localized,1.0,1.0,16.474576271186443,0.00017695064199635914,0.00017695064199635914,1.0
baseline_localized,localized,1.0,1.0,16.74576271186441,0.00018316917718353738,0.00018316917718353738,1.0
baseline_localized,localized,1.0,1.0,17.016949152542374,0.00018946844560445685,0.00018946844560445685,1.0
baseline_localized,localized,1.0,1.0,17.28813559322034,0.00019584505996956276,0.00019584505996956276,1.0
baseline_localized,localized,1.0,1.0,17.559322033898304,0.0002022952212735166,0.0002022952212735166,1.0
baseline_localized,localized,1.0,1.0,17.83050847457627,0.0002088147182516318,0.0002088147182516318,1.0
