audit,objective,p95_linf,p95_l2,max_linf,max_l2,p95_block11_rel_residual_identifiable,p95_block22_rel_residual,p95_trace_rel_residual,p95_det_rel_residual_identifiable,p95_anisotropy_abs_residual_identifiable,max_block11_rel_residual_identifiable,max_block22_rel_residual,max_trace_rel_residual,max_det_rel_residual_identifiable,max_anisotropy_abs_residual_identifiable,param_m,param_u,param_v,param_q_ss,param_q_bb,param_q_sb,param_p_sys,param_p_spec,param_zeta_sys,param_zeta_spec
generator_affinity,0.0006896954667507,0.000192315771549,0.00032290770622540237,0.0002011532697642,0.00035370644924002817,6.44339621605594e-05,0.0001547763106549,0.0001546968083985,0.000192315771549,0.0001234726139876,7.949316451927313e-05,0.0001673141859773,0.0001672302939328,0.0002011532697642,0.0001495541475646,,,,0.0,-0.0625,0.0,,,,
generator_affinity,0.0006897848402594,0.0001923528274858,0.0003229536339628252,0.0002011937398405,0.0003537573600212653,6.443829974693835e-05,0.0001548003087669,0.0001547207907854,0.0001923528274858,0.0001234726134742,7.949948418461972e-05,0.0001673421844212,0.0001672582768468,0.0002011937398405,0.0001495541472911,,,,0.0,0.0625,0.0,,,,
log_coordinate,0.0013740859239998,0.0003832607093359,0.0006433222555750087,0.000400954231823,0.0007046740883049819,0.000128531027938,0.0003083435762669,0.0003081853005491,0.0003832607093359,0.0002457653099098,0.000158533735159,0.0003332735594994,0.0003331065079943,0.000400954231823,0.0002977198656433,,,,,,,0.0,0.25,,
generator_affinity,0.0013793015715584,0.000384594493601,0.0006457694920015329,0.000402266076539,0.0007073619970911402,0.0001288635870391,0.0003095286259933,0.0003093696372037,0.000384594493601,0.0002469452277212,0.0001589800098754,0.0003346003777789,0.0003344326092173,0.000402266076539,0.0002991082949987,,,,0.0,-0.125,0.0,,,,
normal_coordinate,0.0013793015715538,0.0003845944936043,0.0006457694920011886,0.0004022660765462,0.0007073619970952347,0.000128863587035,0.0003095286259933,0.0003093696372037,0.0003845944936043,0.0002469452277173,0.0001589800098754,0.0003346003777789,0.0003344326092173,0.0004022660765462,0.0002991082949987,,,,,,,,,0.0,-0.125
generator_affinity,0.0013796590722735,0.000384742718764,0.0006459532061683384,0.0004024279589529,0.0007075656425509185,0.0001288809373842,0.0003096246203043,0.0003094655686126,0.000384742718764,0.0002469452272082,0.0001590052885374,0.0003347123723875,0.0003345445417062,0.0004024279589529,0.0002991082947261,,,,0.0,0.125,0.0,,,,
normal_coordinate,0.0013796590722744,0.0003847427187642,0.0006459532061687929,0.0004024279589533,0.000707565642551146,0.0001288809373842,0.0003096246203047,0.0003094655686129,0.0003847427187642,0.0002469452272082,0.0001590052885374,0.0003347123723875,0.0003345445417062,0.0004024279589533,0.0002991082947261,,,,,,,,,0.0,0.125
log_coordinate,0.0013849062541553,0.0003860843687844,0.0006484154512806024,0.0004037470985281,0.0007102701168431897,0.0001292148459704,0.0003108168722616,0.0003106571027995,0.0003860843687844,0.0002481330643392,0.0001594535195478,0.0003360475577967,0.0003358790054217,0.0004037470985281,0.0003005059517384,,,,,,,0.0,-0.25,,
log_coordinate,0.0027374458166842,0.0007637213133414,0.0012815962086776794,0.0007991374598983,0.0014038017006742583,0.0002563822763134,0.0006142353987916,0.0006139203270481,0.0007637213133414,0.0004891865011894,0.0003161535396447,0.0006637981457631,0.0006634655297552,0.0007991374598983,0.0005926811848553,,,,,,,0.0,0.5,,
normal_coordinate,0.0027582457583012,0.0007690408185397,0.0012913553394030964,0.0008043703347381,0.001414520432004158,0.0002577098261598,0.0006189612865581,0.0006186433718609,0.0007690408185397,0.0004938904551824,0.0003179347451071,0.0006690887980067,0.0006687533229828,0.0008043703347381,0.0005982165898616,,,,,,,,,0.0,-0.25
normal_coordinate,0.0027596757678804,0.000769633720632,0.001292090199312408,0.0008050178665268,0.0014153350162037532,0.0002577792275413,0.000619345265674,0.0006190270993667,0.000769633720632,0.0004938904546662,0.0003180358597567,0.0006695367772868,0.0006692010537823,0.0008050178665268,0.0005982165895819,,,,,,,,,0.0,0.25
log_coordinate,0.0027807279871212,0.0007750161524896,0.0013019694009825085,0.0008103091006962,0.0014261862732110994,0.0002591175733894,0.0006241287719024,0.0006238077250544,0.0007750161524896,0.0004986577642851,0.0003198327157268,0.0006748943673254,0.0006745557477096,0.0008103091006962,0.0006038258170697,,,,,,,0.0,-0.5,,
family,0.0299990378858022,0.0090296480011766,0.013975250889428102,0.0096292477629638,0.014808311213340806,0.0039833011165307,0.0062001499316632,0.0061980498942027,0.0090296480011766,0.0045878889422287,0.0044481132710126,0.006446898791331,0.0064444634049524,0.0096292477629638,0.0048666563712078,0.0,0.0,0.125,,,,,,,
family,0.0301751012458771,0.0091122277807586,0.014067575545921187,0.0097228717028512,0.014911635654294611,0.0039994101718476,0.0062388471333082,0.0062367272182366,0.0091122277807586,0.004587888941726,0.0044679873849946,0.0064887309829841,0.0064862746215725,0.0097228717028512,0.0048666563704315,0.0,0.0,-0.125,,,,,,,
family,0.0598233091899314,0.017977467306472,0.027858976890004924,0.0191657731131,0.029514245527961447,0.0079505587768172,0.0123618427825948,0.0123576624398407,0.017977467306472,0.0091757778842065,0.0088764408303535,0.0128522350784991,0.0128473851347293,0.0191657731131,0.0097333127420284,0.0,0.0,0.25,,,,,,,
family,0.0605275728260731,0.0183077933454307,0.028228282520650506,0.0195402776402127,0.02992755210246756,0.0080149952691854,0.0125166330909682,0.0125123732367856,0.0183077933454307,0.009175777883703,0.0089559376812615,0.0130195655958789,0.013014631751006,0.0195402776402127,0.0097333127412504,0.0,0.0,-0.25,,,,,,,
family,0.2414743084649131,0.0951625819647342,0.12724631275577714,0.0951625819648031,0.12724631275584683,0.0487705754992863,0.0487705755000632,0.048770575500063,0.0951625819647342,7.661871137543129e-13,0.0487705754992864,0.0487705755000873,0.0487705755000862,0.0951625819648031,8.428813202954188e-13,-0.05,0.0,0.0,,,,,,,
family,0.2536673807245631,0.0970603692018073,0.13093914936333753,0.0973625979005728,0.13168721883174334,0.0508037603044325,0.0506076811382987,0.0506076811382987,0.0970603692018073,0.0045878889417257,0.0519482678323444,0.0506938914401035,0.0506938914401035,0.0973625979005728,0.0048666563704298,-0.05,0.0,-0.125,,,,,,,
