D,I_diag_anchor,I_mass_anchor,I_der_anchor,split_resid_abs,mass_same_sign_as_diag,der_same_sign_as_diag,opposite_derivative_loss,same_derivative_uplift,opposite_loss_ratio_over_mass,same_uplift_ratio_over_mass,mass_abs_share_of_diag,der_abs_share_of_diag,induced_diag_lower_from_mass
4.0,-0.0005556053549042061,-0.0011368978585445542,0.000581292503640348,1.0842021724855044e-19,1,0,0.000581292503640348,0.0,0.5112970345326476,0.0,2.0462327234779276,1.0462327234779274,0.0005556053549042062
5.0,0.0007863294828877666,0.002139570151986315,-0.0013532406690985486,2.168404344971009e-19,1,0,0.0013532406690985486,0.0,0.6324824955340862,0.0,2.7209588328404286,1.7209588328404288,0.0007863294828877663
6.0,0.00023227406389879587,0.00032537744215183355,-9.310337825303762e-05,5.421010862427522e-20,1,0,9.310337825303762e-05,0.0,0.28613962184136915,0.0,1.400834155524156,0.4008341555241557,0.00023227406389879593
7.0,0.0006605835488527464,0.0019409161348353447,-0.0012803325859825983,0.0,1,0,0.0012803325859825983,0.0,0.659653739284935,0.0,2.938184183069934,1.9381841830699342,0.0006605835488527464
8.0,0.0005230522629162447,0.0009889555767519007,-0.00046590331383565607,1.0842021724855044e-19,1,0,0.00046590331383565607,0.0,0.4711064124496436,0.0,1.8907395051462765,0.8907395051462768,0.0005230522629162446
9.0,-0.000200245039483431,-0.0006533504171259879,0.00045310537764255664,2.168404344971009e-19,1,0,0.00045310537764255664,0.0,0.6935105048768687,0.0,3.2627545671614424,2.262754567161441,0.00020024503948343122
10.0,0.0005656185388685362,0.0011889494792629378,-0.0006233309403944016,0.0,1,0,0.0006233309403944016,0.0,0.5242703338251357,0.0,2.1020341406088163,1.1020341406088163,0.0005656185388685362
11.0,0.00016555573881248136,8.172932339733154e-05,8.38264154151498e-05,2.710505431213761e-20,1,1,0.0,8.38264154151498e-05,0.0,1.0256589915424006,0.49366650762800324,0.5063334923719967,8.172932339733154e-05
12.0,0.0005311738999916108,0.0012153248000818344,-0.0006841509000902235,1.0842021724855044e-19,1,0,0.0006841509000902235,0.0,0.5629366734260306,0.0,2.287997960933376,1.2879979609333758,0.0005311738999916109
13.0,0.00032087208545264684,0.0004585415168270977,-0.00013766943137445085,0.0,1,0,0.00013766943137445085,0.0,0.30023329692600526,0.0,1.4290477034804812,0.4290477034804812,0.00032087208545264684
14.0,0.0004393849483503079,0.0011210254264131126,-0.0006816404780628047,0.0,1,0,0.0006816404780628047,0.0,0.6080508630779363,0.0,2.551351453030098,1.5513514530300978,0.0004393849483503079
15.0,0.0003836413835798117,0.0006662478898594255,-0.0002826065062796139,5.421010862427522e-20,1,0,0.0002826065062796139,0.0,0.42417621215917434,0.0,1.7366423915026392,0.7366423915026394,0.0003836413835798116
16.0,0.0003573020129145287,0.0009972490067266962,-0.0006399469938121675,0.0,1,0,0.0006399469938121675,0.0,0.6417123401432977,0.0,2.7910534245024,1.7910534245024003,0.0003573020129145287
17.0,0.00037625980085889796,0.0007384731201086211,-0.0003622133192497231,5.421010862427522e-20,1,0,0.0003622133192497231,0.0,0.4904895105680293,0.0,1.9626681309640026,0.9626681309640025,0.000376259800858898
18.0,0.00019620849129946293,0.00021216148393833064,-1.5952992638867725e-05,2.710505431213761e-20,1,0,1.5952992638867725e-05,0.0,0.07519268975091073,0.0,1.081306331511002,0.08130633151100221,0.0001962084912994629
19.0,0.00034323172609531787,0.0007311932353487249,-0.00038796150925340695,5.421010862427522e-20,1,0,0.00038796150925340695,0.0,0.5305868414775173,0.0,2.1303194890138664,1.1303194890138661,0.0003432317260953179
20.0,0.0002511682997238171,0.00037493788455125586,-0.00012376958482743873,5.421010862427522e-20,1,0,0.00012376958482743873,0.0,0.3301069055093546,0.0,1.4927755013810857,0.49277550138108556,0.00025116829972381713
