D,delta_micro,kappa_env,g_z_micro,g_x_micro,tau_env,Szz_0,Sxx_delta,gamma_phi_micro,gamma_mix_micro,gamma_ref,Cmax_micro,chi_eff_micro,ratio_micro_to_baseline,bath_system_kernel_phi,bath_system_kernel_mix,bath_shape_phi,bath_shape_mix,bath_shape_suppression,bath_system_coupling_ratio,bath_rate_kernel_phi,bath_rate_kernel_mix,bath_norm_from_phi,bath_norm_from_mix,bath_norm_geom_mean,bath_norm_phi_residual_abs,bath_norm_mix_residual_abs,bath_norm_channel_consistency_abs,bath_phi_identifiable,bath_rate_ratio_pred,bath_rate_ratio_obs,bath_rate_ratio_residual_abs,bath_rate_ratio_log_residual_abs,chi_linear_prefactor,chi_response_gain,chi_eff_factor_recon,chi_eff_factor_residual_abs,bath_norm_from_obs,bath_norm_obs_residual_abs,bath_ratio_system_share,bath_ratio_shape_share,parent_bath_block_11,parent_bath_block_22,parent_bath_trace,parent_bath_det,parent_gamma_trace,parent_gamma_det,parent_bath_trace_residual_abs,parent_bath_det_residual_abs,parent_bath_chi_recon,parent_bath_chi_residual_abs,parent_log_sys_anisotropy,parent_log_bath_anisotropy,parent_log_rate_anisotropy,parent_log_rate_anisotropy_recon,parent_log_rate_anisotropy_residual_abs,parent_trace_mix_fraction
4.0,0.5002558656877873,430546.4345656163,2.387347284530522e-06,0.0004144736211421,0.5710366322940573,1.1420732645881146,1.0559068677898105,2.8024970358454056e-06,0.0780979083476504,475.0029831292905,0.3211732607166098,0.0001056117993782,0.2005610456535504,5.699427056955258e-12,1.7178838262264506e-07,1.1420732645881146,1.0559068677898105,0.9245526539583432,30141.342437746305,6.509163265218721e-12,1.8139253301775465e-07,430546.4345656163,430546.4345657834,430546.4345656999,0.0,1.6711419448256493e-07,1.6711419448256493e-07,1,27867.258144685584,27867.258144696403,1.0819348972290754e-08,3.8835601401380433e-13,7.637532371807511e-10,0.3211732607166098,0.0001056117993782,1.4772254600114998e-17,430546.4345655561,6.01867213845253e-08,0.992451449781767,0.0075485502182329,2.8024970358454056e-06,0.0780979083476201,0.07810071084465595,2.188691566499315e-07,0.07810071084468624,2.188691566500164e-07,3.029521078445896e-14,8.488858318264191e-20,0.0001056117993782148,1.4799359654427136e-17,10.313653011259818,-0.07844527579262786,10.23520773546758,10.23520773546719,3.8902214782865485e-13,0.9999641168818372
5.0,0.508359971180862,430546.4345656163,1.3329446380921234e-05,0.000583932556668,0.5466561469219149,1.0933122938438298,1.0149317950893333,8.363507538710663e-05,0.1489986159999165,767.6149152622555,0.2342547771193519,9.09404882270364e-05,0.2746371827906154,1.7767414082185414e-10,3.4097723073682706e-07,1.0933122938438298,1.0149317950893333,0.9283091398534182,1919.1156865011071,1.94253322458673e-10,3.460686328763177e-07,430546.4345656163,430546.43456567614,430546.4345656462,0.0,5.98374754190445e-08,5.98374754190445e-08,1,1781.532632215045,1781.5326322152928,2.4783730623312294e-10,1.3922196728798496e-13,9.016725079086911e-10,0.2342547771193519,9.094048822702374e-05,1.2658060363768264e-17,430546.43456567626,5.995389074087143e-08,0.9902553868366752,0.0097446131633249,8.363507538710661e-05,0.14899861599989578,0.1490822510752829,1.2461510481725833e-05,0.14908225107530362,1.246151048172757e-05,2.0733414984874798e-14,1.7364175418713157e-18,9.094048822702372e-05,1.2685165418080402e-17,7.559619778974964,-0.07439047682765171,7.485229302147451,7.485229302147313,1.3855583347321954e-13,0.999439000452543
6.0,0.4549479950675579,430546.4345656163,4.9439619065338996e-17,7.442196800057124e-05,0.5620009246748034,1.124001849349607,1.055031414749071,1.1828706461312668e-27,0.0025158670602084,566.0993661540692,0.4911360916697626,4.365428364656341e-06,0.0108639504163836,2.4442759333258307e-33,5.53862932107805e-09,1.124001849349607,1.055031414749071,0.938638504340144,5.53862932107805e+21,2.7473706693789704e-33,5.843427928387661e-09,1182.8706461312668,430546.4345656072,22567.249261798235,429363.563919485,9.080395102500916e-09,429363.56391947594,0,5.198770742031169e+21,2.1269164709064956e+24,2.1217177001644643e+24,6.014006341702945,2.0644530899535817e-11,0.4911360916697626,4.365428364656342e-06,8.470329472543003e-22,430546.4345656163,0.0,0.998736771130944,0.001263228869056,1.1828706461312663e-27,0.002515867060208453,0.002515867060208453,2.975945295089142e-30,0.0025158670602084,2.9759452950890808e-30,5.2909066017292616e-17,6.130680781421075e-44,4.365428364656341e-06,0.0,50.06603400805416,-0.06332485330093679,56.016715496456165,50.00270915475323,6.014006341702938,1.0
7.0,0.4625088125338248,430546.4345656163,1.4333432886330134e-05,0.0005330129361615,0.5405220701904428,1.0810441403808857,1.0174551180547875,9.56233289409531e-05,0.1244545436582149,869.0649886602495,0.2465458851764336,7.061325914819278e-05,0.2653679653138381,2.0544729830693018e-10,2.841027901155033e-07,1.0810441403808857,1.0174551180547875,0.9411781443968664,1382.8499691004204,2.2209759799179076e-10,2.890618378566639e-07,430546.4345656163,430546.4345657684,430546.4345656924,5.820766091346741e-11,1.5209661796689036e-07,1.520384103059769e-07,1,1301.5081678971976,1301.5081678976571,4.59522198070772e-10,3.5305092183073753e-13,6.65224906372725e-10,0.2465458851764336,7.061325914816779e-05,2.4990860075790877e-17,430546.43456576864,1.523294486105442e-07,0.9916869882518584,0.0083130117481415,9.562332894095309e-05,0.12445454365817094,0.12455016698711188,1.1900757766421486e-05,0.12455016698715585,1.1900757766425692e-05,4.39648317751562e-14,4.2063656160648555e-18,7.06132591481678e-05,2.4977307548634808e-17,7.231901843567861,-0.06062284339634578,7.171279000171867,7.1712790001715145,3.526068326209497e-13,0.9992322504958918
8.0,0.4170096953791304,430546.4345656163,9.186073160687149e-06,0.0002818921419918,0.5548897616221571,1.1097795232443142,1.0533781061906398,4.0319626864906166e-05,0.0360387918993099,651.2176638510591,0.3867576253927975,4.280681667808738e-05,0.1336973958299254,8.438394011349679e-11,7.946317971672515e-08,1.1097795232443142,1.0533781061906398,0.9491778178707144,941.686055543825,9.364756882863323e-11,8.370477376189039e-08,430546.4345656161,430546.4345656933,430546.43456565466,2.3283064365386963e-10,7.700873538851739e-08,7.724156603217126e-08,1,893.8275153203681,893.8275153205283,1.6018475434975699e-10,1.791899961744842e-13,2.5707157040824557e-10,0.3867576253927975,4.280681667807965e-05,7.738493006115288e-18,430546.4345656942,7.782364264130592e-08,0.9924405215919232,0.0075594784080766,4.0319626864906187e-05,0.03603879189930346,0.03607911152616836,1.4530706420419192e-06,0.0360791115261748,1.4530706420421781e-06,6.439293542825908e-15,2.5898032362300233e-19,4.280681667807965e-05,7.731716742537253e-18,6.847671944658505,-0.052159123982770464,6.795512820675914,6.795512820675735,1.794120407794253e-13,0.9988824661927814
9.0,0.3796056602450468,430546.4345656163,1.0139458717084435e-15,0.0001854156330355,0.5678603256781182,1.1357206513562363,1.085290040251233,5.027140956184014e-25,0.0160641781235333,505.0602635745723,0.4391256092842641,2.793406060584292e-05,0.0743317894848472,1.0280862307545957e-30,3.4378956973955195e-08,1.1357206513562363,1.085290040251233,0.9555959372185574,3.3439760153894585e+22,1.1676187636429872e-30,3.731113959805924e-08,430546.4345656164,430546.43456585513,430546.43456573575,1.1641532182693479e-10,2.3882603272795677e-07,2.3870961740612984e-07,0,3.1954898944624666e+22,3.1954898944642374e+22,17708351488.0,5.542233338927247e-13,1.4774925801522788e-10,0.4391256092842641,2.7934060605827245e-05,1.5673497655993573e-17,430546.4345658578,2.415035851299763e-07,0.999125012637553,0.0008749873624469,5.027140956184013e-25,0.01606417812352439,0.01606417812352439,8.07568877722047e-27,0.0160641781235333,8.07568877722495e-27,8.909539772616881e-15,4.479850296957009e-39,2.7934060605827252e-05,1.566672139241554e-17,51.86403256863436,-0.04542011508979525,51.818612453545114,51.81861245354456,5.542233338928781e-13,1.0
10.0,0.3858958225357671,430546.4345656163,1.026813902545165e-05,0.0003413409411982,0.5487761725520374,1.0975523451040747,1.0504434078356857,4.982286752539539e-05,0.0526950013988973,735.6179024334008,0.3376941359791474,4.838053263509767e-05,0.1844517813216563,1.0543467904600316e-10,1.1651363813807303e-07,1.0975523451040747,1.0504434078356857,0.9570781863129072,1105.0788904781118,1.1572007924223624e-10,1.2239098310509134e-07,430546.4345656163,430546.4345657768,430546.4345656965,0.0,1.6047852113842964e-07,1.6047852113842964e-07,1,1057.646900231471,1057.6469002318654,3.9449332689400757e-10,3.730349362739831e-13,3.3275694542024015e-10,0.3376941359791474,4.838053263507955e-05,1.8119728807663993e-17,430546.43456577754,1.6123522073030474e-07,0.9937786387354174,0.0062213612645826,4.9822867525395384e-05,0.052695001398877665,0.05274482426640306,2.6254160739468063e-06,0.0527448242664227,2.625416073947785e-06,1.9637069748057456e-14,9.78746570552344e-19,4.838053263507955e-05,1.8119728807663993e-17,7.007672005501255,-0.04387019147986812,6.9638018140217595,6.963801814021386,3.730349362740526e-13,0.9990553979804018
11.0,0.3530642967646091,430546.4345656163,4.0597726022155445e-06,3.3539750786780116e-05,0.5611077942539604,1.1222155885079208,1.0798358803832029,7.963421639866888e-06,0.0005229948516151,576.0904607435714,0.4975393982597831,9.033669588268652e-07,0.0029480244380429,1.6481753581699975e-11,1.1249148828393171e-09,1.1222155885079208,1.0798358803832029,0.9622356804176412,68.25213574897353,1.8496080795329968e-11,1.2147234528669615e-09,430546.4345656163,430546.43456561235,430546.4345656143,5.820766091346741e-11,3.958120942115784e-09,4.016328603029251e-09,1,65.67464028237076,65.67464028237015,6.110667527536863e-13,9.325873406851359e-15,4.217127467443547e-12,0.4975393982597831,9.033669588268652e-07,1.0587911840678754e-22,430546.4345656163,0.0,0.9909670256524392,0.0090329743475607,7.963421639866888e-06,0.0005229948516151048,0.0005309582732549716,4.164828518890697e-09,0.0005309582732549668,4.164828518890659e-09,4.7704895589362195e-18,3.8050308177439273e-23,9.03366958826865e-07,2.117582368135751e-22,4.2232087266007055,-0.038495868282461494,4.184712858318235,4.184712858318244,8.881784197001252e-15,0.9850017938489816
12.0,0.3581076515471522,430546.4345656163,5.2041704279304207e-17,0.0003461079451684,0.5440721340012481,1.0881442680024962,1.048347709446824,1.268847700260342e-27,0.0540690184569051,808.6836951913015,0.3253511708266732,4.350630182111359e-05,0.1964930755811015,2.7083389842945504e-33,1.1979070970869218e-07,1.0881442680024962,1.048347709446824,0.9634271302749896,1.1979070970869216e+23,2.9470635415678177e-33,1.255823161361169e-07,1268.8477002603418,430546.43456567934,23373.015495522865,429277.586865356,6.30388967692852e-08,429277.586865419,0,1.1540961968824964e+23,4.2612693742370525e+25,4.249728412268227e+25,5.911419752928012,3.1058451377929465e-10,0.3253511708266732,4.3506301821107176e-05,6.417121608398579e-18,430546.4345656798,6.350455805659294e-08,0.9992993546087588,0.0007006453912412,1.268847700260342e-27,0.05406901845689719,0.05406901845689719,6.860534972436798e-29,0.0540690184569051,6.860534972437802e-29,7.91033905045424e-15,1.003329700456569e-41,4.350630182110719e-05,6.4035690812425106e-18,53.14003308720781,-0.037258424216170885,59.014194415919654,53.10277466299164,5.911419752928012,1.0
13.0,0.3306951731891154,430546.4345656163,5.445680133294925e-06,0.0001421518844116,0.5551784353209624,1.110356870641925,1.0741504168366909,1.417708156293526e-05,0.0093452374533175,647.5026136368251,0.4580819607851625,1.322275650000615e-05,0.0517804315718993,2.9655432114163026e-11,2.020715824176889e-08,1.110356870641925,1.0741504168366909,0.967392056767927,681.39820603451,3.2928112799816107e-11,2.1705527448481023e-08,430546.4345656163,430546.4345659791,430546.43456579774,5.820766091346741e-11,3.6280835047364235e-07,3.627501428127289e-07,1,659.1792120137004,659.1792120142558,5.553602022700942e-10,8.42437231085214e-13,6.704382960423181e-11,0.4580819607851625,1.322275649999491e-05,1.1240127210064564e-17,430546.43456598226,3.659515641629696e-07,0.9949443462828972,0.0050556537171027,1.4177081562935256e-05,0.009345237453309625,0.009359414534872561,1.324881936005679e-07,0.009359414534880435,1.3248819360067958e-07,7.873909857458727e-15,1.1167600013955916e-19,1.3222756499994912e-05,1.1238433144170057e-17,6.524146872459253,-0.03315142953462666,6.4909954429254695,6.490995442924627,8.428813202954188e-13,0.9984852597873389
