objective_tol,source_type,admissible_scan_points,lambda_abs_max_admissible,family_g_floor,u_source_upper,trA_upper,opA_upper,heff_loewner_factor,cor1_logdet_gap_upper,lifted_g_floor,separator_min,eps_delta_upper,alpha_at_u_max,beta_at_u_max,lambda_at_u_max,j_parent_at_u_max,delta_q_ref
1.500329e-07,exact admissible family,3,0.1,1.3474339529535382,0.0013324070812303058,0.0013328512043135898,0.0013324070812303058,0.9986675929187697,0.0026683695169002685,1.3465359884700747,0.012154324400658778,0.05117644428086032,1.0,1.0,-0.1,1.500328872443825e-07,0.001
1.500329e-07,raw offdiag envelope,3,0.1,1.3474339529535382,0.0017969516749280494,0.0017977596598768297,0.0017969516749280494,0.9982030483250719,0.003600373046231891,1.346222771751054,0.012147281444423674,0.051231582778140154,,,0.1,,0.001
5e-07,exact admissible family,3,0.1,1.342249670208462,0.0013324070812303058,0.0013328512043135898,0.0013324070812303058,0.9986675929187697,0.0026683695169002685,1.3413551606637486,0.012037207065094369,0.052102409588877414,1.0,1.0,-0.1,1.500328872443825e-07,0.001
5e-07,raw offdiag envelope,3,0.1,1.342249670208462,0.0017969516749280494,0.0017977596598768297,0.0017969516749280494,0.9982030483250719,0.003600373046231891,1.3410431490531702,0.012030111287309242,0.05215913746474672,,,0.1,,0.001
1e-06,exact admissible family,3,0.1,1.3375010684862083,0.0013324070812303058,0.0013328512043135898,0.0013324070812303058,0.9986675929187697,0.0026683695169002685,1.336609723531257,0.0119287597894564,0.05297737569054021,1.0,1.0,-0.1,1.500328872443825e-07,0.001
1e-06,raw offdiag envelope,3,0.1,1.3375010684862083,0.0017969516749280494,0.0017977596598768297,0.0017969516749280494,0.9982030483250719,0.003600373046231891,1.336298815753225,0.011921615111828321,0.05303562494058852,,,0.1,,0.001
2e-06,exact admissible family,3,0.1,1.330785531528289,0.0013324070812303058,0.0013328512043135898,0.0013324070812303058,0.9986675929187697,0.0026683695169002685,1.3298986619790987,0.011773447499157652,0.05426088204194299,1.0,1.0,-0.1,1.500328872443825e-07,0.001
2e-06,raw offdiag envelope,3,0.1,1.330785531528289,0.0017969516749280494,0.0017977596598768297,0.0017969516749280494,0.9982030483250719,0.003600373046231891,1.3295893152560243,0.01176623280890643,0.05432139738001844,,,0.1,,0.001
2.5e-06,exact admissible family,5,0.2,1.3280792154962835,0.005329628324921223,0.005336748546182601,0.005329628324921223,0.9946703716750788,0.010716370923858605,1.324535403085026,0.011647662048070107,0.05532760123603024,1.0,1.0,-0.2,2.4146198993085584e-06,0.001
2.5e-06,raw offdiag envelope,5,0.2,1.3280792154962835,0.007187806699712198,0.007200769469952073,0.007187806699712198,0.9928121933002878,0.014479690616648501,1.3232976193619717,0.011618419265553293,0.055579186190117154,,,0.2,,0.001
