D,N_mass_inner,P_mass_inner,canonical_N_mass_annulus,canonical_N_mass_tail,canonical_annulus_over_inner_share,canonical_tail_over_P_mass_inner,canonical_annulus_over_P_mass_inner
4.0,0.0020356905555677218,0.0031783215471709197,0.001943085386813926,9.260516875379582e-05,0.9545092113825867,0.02913650094221125,0.6113558234985698
5.0,0.0016943363664319916,0.0038519779319045972,0.0016314645059567138,6.287186047527777e-05,0.9628929286292331,0.016321967982872373,0.4235394217718277
6.0,0.002298117166604592,0.002623494608756425,0.002188336252132759,0.00010978091447183275,0.9522300620407308,0.04184529829236833,0.8341302645825
7.0,0.001592746664385307,0.00354929003251435,0.0015358448246896748,5.69018396956323e-05,0.9642743940590247,0.016031893470064635,0.4327188847967063
8.0,0.0017303072098026546,0.002728345303839368,0.0016592385739052054,7.106863589744915e-05,0.958927157273098,0.026048255621251574,0.6081483057039373
9.0,0.0017970668243908238,0.0024504172415168116,0.0017248684597808723,7.219836460995149e-05,0.959824329496247,0.02946370250205251,0.7039080653518323
10.0,0.001411732282691465,0.002608056956997472,0.001357861838393256,5.3870444298209034e-05,0.9618408922437439,0.02065539410620366,0.5206411749367988
11.0,0.0017991238513824013,0.001878367855250543,0.0017087408556715534,9.038299571084794e-05,0.9497627716727784,0.048117835629588296,0.9096944727280992
12.0,0.001198966984508704,0.002414291784590538,0.0011552499349417834,4.371704956692064e-05,0.9635377369587583,0.018107608138315814,0.4785046870951072
13.0,0.0013797333885985615,0.0018397910383619598,0.001319133631528021,6.059975707054053e-05,0.9560786470985575,0.032938391266703275,0.7170018790299679
14.0,0.001052870438251394,0.0021899202296235126,0.0010155031605376143,3.736727771377966e-05,0.9645091396280067,0.017063305415560174,0.463716964116176
15.0,0.001100936574043584,0.0017671844639030095,0.0010567631582808633,4.417341576272069e-05,0.9598765116863381,0.02499649395126479,0.59799255814353
16.0,0.0009516559016494649,0.0019576194017206527,0.0009183663695130526,3.328953213641223e-05,0.9650193603815067,0.017005109423799306,0.46912406400644224
17.0,0.0009190170691882877,0.001666730720250354,0.0008841516247694823,3.4865444418805494e-05,0.9620622449922502,0.02091846270978222,0.5304705877363782
18.0,0.0010894292405219152,0.0013015907244602457,0.0010387716994781835,5.0657541043731694e-05,0.953500843231027,0.03891971576913225,0.7980785971788096
19.0,0.0008028740963527115,0.0015390864765640823,0.0007733937422596615,2.9480354093049934e-05,0.9632814731139377,0.019154449436046665,0.5025018113252586
20.0,0.0008771300302633802,0.0012552030327483696,0.0008401130415313079,3.70169887320723e-05,0.9577976041694103,0.02949083755081485,0.6693045026284008
