zeta_low,N_mass_band_floor_abs,min_band_over_shoulder_share,mean_band_over_shoulder_share,max_core_over_P_mass_inner,max_band_over_P_mass_inner
0.1,0.0007374471126037282,0.9510185529975461,0.9946499406663717,0.04192138897148969,0.8139412189541091
0.12000000000000001,0.0007374471126037282,0.9269492085143013,0.990747363699146,0.06252144091197921,0.7933411670136196
0.14,0.0007374471126037282,0.9129183501150915,0.9862468177639883,0.07452992797296175,0.781332679952637
0.16000000000000003,0.0007374471126037282,0.8990211040456951,0.9845044269574921,0.08642406123689905,0.7694385466886997
0.18000000000000002,0.0007374471126037282,0.8677493136631345,0.9769926541141563,0.11318841730822007,0.7426741906173787
0.2,0.0007374471126037282,0.8506056590842722,0.9688201512542297,0.12786103022546078,0.728001577700138
0.22000000000000003,0.0007374471126037282,0.8336524592707933,0.9656511257760146,0.1423706400305086,0.7134919678950902
0.24000000000000005,0.0007340819725647789,0.797236729129252,0.9535018255096529,0.173537501798963,0.6823251061266358
0.26,0.0007226070696976871,0.7779963744906373,0.9415599631487365,0.19000460189738114,0.6658580060282177
0.28,0.0007112689731026359,0.7589856794903509,0.9366129689645742,0.20627514489880439,0.651804442491379
0.30000000000000004,0.0006859502498548018,0.7193542050770466,0.920013409390049,0.24019424194611166,0.6316000429610602
0.32000000000000006,0.0006721527241495142,0.6989344652324473,0.9041165226655331,0.2576707337426727,0.615589074077782
0.3400000000000001,0.000658522000288945,0.6787653371275882,0.8974703232385073,0.27493273632208287,0.615589074077782
0.36000000000000004,0.0006293632397873969,0.6376088972542555,0.8768551369596165,0.3101569942850065,0.5973523272907469
0.38000000000000006,0.0006140057431447511,0.6167970389281955,0.8572251379609159,0.3279690856277263,0.5771688672400997
0.4000000000000001,0.0005988329929173675,0.5962413455481556,0.8491371278699478,0.3455619349716863,0.5771688672400997
