D,I_diag_anchor,P_diag_anchor,N_diag_anchor,nu_diag_pm,P_mass,N_mass,P_der,N_der,mass_pos_over_total_pos,der_pos_over_total_pos,mass_neg_over_total_neg,der_neg_over_total_neg,zeta_cut,P_inner,N_inner,P_outer,N_outer,outer_neg_over_inner_pos,inner_neg_over_inner_pos,inner_pos_over_total_pos
4.0,0.0005556053549042061,0.002852484726982174,0.0022968793720779678,0.8052205680021234,0.0031783215471709193,0.0020414236886263652,4.732353993789505e-05,0.0006286160435782431,1.114229120004253,0.016590286878752775,0.8887814107449213,0.2736826544833042,1.2000000000000004,0.002852484726982174,0.002291153546698349,0.0,5.7258253796183825e-06,0.0020073114942410577,0.8032132565078822,1.0
5.0,0.0007863294828877666,0.0031886921572632293,0.0024023626743754625,0.7534006281864937,0.0038519779319045972,0.0017124077799182819,1.321899744297106e-05,0.0013664596665415197,1.2080118562497575,0.004145585961586389,0.7128015258409945,0.5687982422956831,1.2000000000000004,0.0031886921572632293,0.002384317630414203,0.0,1.8045043961258957e-05,0.005659073711507649,0.7477415544749858,1.0
6.0,0.0002322740638987959,0.0024990825654799135,0.0022668085015811173,0.9070562665246751,0.002623494608756425,0.002298117166604592,0.00012541577078933931,0.00021851914904237696,1.0497830863993964,0.05018472479529903,1.0138117820722996,0.09639947480784464,1.2000000000000004,0.0024990825654799135,0.0022668085015811173,0.0,0.0,0.0,0.9070562665246751,1.0
7.0,0.0006605835488527464,0.0029144037933127947,0.0022538202444600483,0.7733383581340103,0.00354929003251435,0.0016083738976790049,6.3325117712779365e-06,0.0012866650977538762,1.217844294829126,0.002172832668488874,0.7136211956709644,0.5708818619925587,1.2000000000000004,0.0029144037933127947,0.002238209963709851,0.0,1.5610280750196773e-05,0.0053562518639370185,0.7679821062700732,1.0
8.0,0.0005230522629162447,0.0024651235608913824,0.001942071297975138,0.787819048418364,0.002728345303839368,0.0017393897270874669,3.047996738335871e-05,0.0004963832812190149,1.1067783161558056,0.012364478546599599,0.8956363903328405,0.25559477746082704,1.2000000000000004,0.0024651235608913824,0.0019329992158448714,0.0,9.072082130266357e-06,0.0036801733893557513,0.7841388750290081,1.0
9.0,0.000200245039483431,0.0022005985056221724,0.0020003534661387416,0.9090042827113455,0.002450417241516811,0.0017970668243908238,2.5534732757881712e-05,0.0004786401104004383,1.1135230871312474,0.011603539988164406,0.898374639687895,0.23927776690604166,1.2000000000000004,0.0022005985056221724,0.0020003534661387416,0.0,0.0,0.0,0.9090042827113455,1.0
10.0,0.0005656185388685361,0.0022828488171036604,0.0017172302782351239,0.7522312758379861,0.002608056956997472,0.0014191074777345342,1.3186409247818589e-05,0.0006365173496422202,1.142457151545592,0.005776295455495253,0.8263932308443896,0.3706651098048412,1.2000000000000004,0.0022828488171036604,0.0017098624865730626,0.0,7.3677916620612325e-06,0.0032274549268702943,0.7490038209111158,1.0
11.0,0.00016555573881248136,0.0018713603461942233,0.0017058046073817421,0.911531876183456,0.001880853174779733,0.0017991238513824013,0.00015964236461840346,7.581594920325367e-05,1.0050726887554369,0.08530819034563139,1.0547068776792061,0.04444585791078639,1.2000000000000004,0.0018688775936358286,0.0017058046073817421,2.48275255839503e-06,0.0,0.0,0.9127428212476804,0.9986732899607262
12.0,0.0005311738999916108,0.0020643343099325563,0.0015331604099409462,0.7426899812516491,0.002414291784590538,0.001198966984508704,6.971363655767282e-06,0.0006911222637459907,1.1695255816725807,0.0033770516830653476,0.782023183441637,0.4507827486705133,1.2000000000000004,0.0020643343099325563,0.0015331604099409462,0.0,0.0,0.0,0.7426899812516491,1.0
13.0,0.00032087208545264684,0.0017303081838906911,0.0014094360984380442,0.8145578409441786,0.0018397910383619598,0.001381249521534862,4.734817381792393e-05,0.00018501760519237478,1.0632736153539368,0.02736401194812534,0.9800015219317718,0.13127065880986996,1.2000000000000004,0.0017303081838906911,0.0014079214168769881,0.0,1.5146815610559791e-06,0.0008753825330988934,0.8136824584110797,1.0
14.0,0.00043938494835030797,0.0018439101287945512,0.0014045251804442433,0.7617102148912464,0.0021899202296235126,0.0010688948032104002,4.374792469094299e-06,0.0006860152705318992,1.187650198036042,0.002372562740871922,0.7610364115168906,0.488432162045622,1.2000000000000004,0.0018439101287945512,0.0013885164874969645,0.0,1.6008692947278845e-05,0.008681926899411559,0.7530282879918347,1.0
