cut_D,left_D_min,left_D_max,left_lambda_min,left_core_floor_abs,left_induced_floor,left_exact_floor_abs,right_D_min,right_D_max,right_lambda_min,right_core_floor_abs,right_induced_floor,right_exact_floor_abs,overall_induced_floor,overall_over_required_global,overall_over_required_local
5.0,4.0,5.0,0.5302608979946521,0.0015632818588345,0.000828947242284331,0.0008289472422843,6.0,20.0,0.4267087139650012,0.000134704338969,5.747951524696759e-05,6.70795015735575e-05,5.747951524696759e-05,0.9573213494393681,0.9874569987692419
6.0,4.0,6.0,0.5302608979946521,0.0001544168509239,8.188121803641355e-05,0.0001488439360011,7.0,20.0,0.4267087139650012,0.000134704338969,5.747951524696759e-05,6.70795015735575e-05,5.747951524696759e-05,0.9573213494393681,0.9874569987692419
7.0,4.0,7.0,0.5302608979946521,0.0001544168509239,8.188121803641355e-05,0.0001488439360011,8.0,20.0,0.4267087139650012,0.000134704338969,5.747951524696759e-05,6.70795015735575e-05,5.747951524696759e-05,0.9573213494393681,0.9874569987692419
8.0,4.0,8.0,0.5255143280294461,0.0001544168509239,8.114826764969646e-05,0.0001488439360011,9.0,20.0,0.4267087139650012,0.000134704338969,5.747951524696759e-05,6.70795015735575e-05,5.747951524696759e-05,0.9573213494393681,0.9874569987692419
9.0,4.0,9.0,0.4797845413058086,0.0001544168509239,7.408681799041078e-05,0.0001488439360011,10.0,20.0,0.4267087139650012,0.000134704338969,5.747951524696759e-05,6.70795015735575e-05,5.747951524696759e-05,0.9573213494393681,0.9874569987692419
10.0,4.0,10.0,0.4797845413058086,0.0001544168509239,7.408681799041078e-05,0.0001488439360011,11.0,20.0,0.4267087139650012,0.000134704338969,5.747951524696759e-05,6.70795015735575e-05,5.747951524696759e-05,0.9573213494393681,0.9874569987692419
11.0,4.0,11.0,0.4797845413058086,0.000134704338969,6.462905948414383e-05,6.70795015735575e-05,12.0,20.0,0.4267087139650012,0.0003259189500029,0.00013907245601256098,0.0001396883008132,6.462905948414383e-05,1.0763970115705148,1.11028105990957
12.0,4.0,12.0,0.4782160872625893,0.000134704338969,6.441778191904872e-05,6.70795015735575e-05,13.0,20.0,0.4267087139650012,0.0003259189500029,0.00013907245601256098,0.0001396883008132,6.441778191904872e-05,1.0728781836393104,1.1066514623139798
13.0,4.0,13.0,0.4655672523176395,0.000134704338969,6.271392896906127e-05,6.70795015735575e-05,14.0,20.0,0.4267087139650012,0.0003259189500029,0.00013907245601256098,0.0001396883008132,6.271392896906127e-05,1.0445005120754522,1.0773804861564784
14.0,4.0,14.0,0.4655672523176395,0.000134704338969,6.271392896906127e-05,6.70795015735575e-05,15.0,20.0,0.4267087139650012,0.0003259189500029,0.00013907245601256098,0.0001396883008132,6.271392896906127e-05,1.0445005120754522,1.0773804861564784
15.0,4.0,15.0,0.4530806040251326,0.000134704338969,6.103192326488073e-05,6.70795015735575e-05,16.0,20.0,0.4267087139650012,0.0003259189500029,0.00013907245601256098,0.0001396883008132,6.103192326488073e-05,1.0164867063992504,1.0484848300705394
16.0,4.0,16.0,0.4530806040251326,0.000134704338969,6.103192326488073e-05,6.70795015735575e-05,17.0,20.0,0.4267087139650012,0.0003259189500029,0.00013907245601256098,0.0001396883008132,6.103192326488073e-05,1.0164867063992504,1.0484848300705394
17.0,4.0,17.0,0.4467635947911108,0.000134704338969,6.018099471175075e-05,6.70795015735575e-05,18.0,20.0,0.4267087139650012,0.0003259189500029,0.00013907245601256098,0.0001396883008132,6.018099471175075e-05,1.0023144910063613,1.0338664855763222
18.0,4.0,18.0,0.4285982782283155,0.000134704338969,5.773404775199678e-05,6.70795015735575e-05,19.0,20.0,0.4267087139650012,0.0005432481432527,0.00023180871657123438,0.0002318087165712,5.773404775199678e-05,0.9615605884124835,0.9918296853241898
19.0,4.0,19.0,0.4285982782283155,0.000134704338969,5.773404775199678e-05,6.70795015735575e-05,20.0,20.0,0.4267087139650012,0.0005432481432527,0.00023180871657123438,0.0002318087165712,5.773404775199678e-05,0.9615605884124835,0.9918296853241898
