D,N_mass_ann,P_mass_inner,canonical_N_mass_subann,canonical_N_mass_cap,canonical_subann_over_ann_share,canonical_cap_over_P_mass_inner,canonical_subann_over_P_mass_inner
4.0,0.001943085386813926,0.0031783215471709197,0.0019360525200196148,7.0328667943111555e-06,0.9963805672967142,0.0022127612609149742,0.6091430622376548
5.0,0.0016314645059567138,0.0038519779319045972,0.0016161903790022163,1.5274126954497496e-05,0.9906377816380746,0.003965268551511471,0.4195741532203162
6.0,0.002188336252132759,0.002623494608756425,0.002188336252132759,0.0,1.0,0.0,0.8341302645825
7.0,0.0015358448246896748,0.00354929003251435,0.0015147193095844174,2.112551510525737e-05,0.9862450198316579,0.005952039678845817,0.42676684511786045
8.0,0.0016592385739052054,0.002728345303839368,0.001653204691263446,6.0338826417595005e-06,0.9963634628939718,0.0022115538796605152,0.6059367518242768
9.0,0.0017248684597808723,0.0024504172415168116,0.0017248684597808723,0.0,1.0,0.0,0.7039080653518323
10.0,0.001357861838393256,0.002608056956997472,0.0013453749026488427,1.24869357444133e-05,0.9908039718096879,0.004787830921755979,0.5158533440150429
11.0,0.0017087408556715534,0.001878367855250543,0.0017087408556715532,2.168404344971009e-19,0.9999999999999999,1.1544087804259085e-16,0.9096944727280991
12.0,0.0011552499349417834,0.002414291784590538,0.0011552499349417834,0.0,1.0,0.0,0.4785046870951072
13.0,0.001319133631528021,0.0018397910383619598,0.0013170172891989844,2.116342329036569e-06,0.9983956573629428,0.0011503166853779406,0.71585156234459
14.0,0.0010155031605376143,0.0021899202296235126,0.001006242306739901,9.260853797713386e-06,0.990880526858419,0.004228854399552944,0.45948810971662307
15.0,0.0010567631582808633,0.0017671844639030095,0.0010567631582808633,0.0,1.0,0.0,0.59799255814353
16.0,0.0009183663695130526,0.0019576194017206527,0.0009037287407327229,1.463762878032974e-05,0.9840612316976599,0.007477259761250819,0.46164680424519144
17.0,0.0008841516247694823,0.001666730720250354,0.0008791498705476025,5.0017542218797496e-06,0.9943428773054804,0.003000937200658576,0.5274696505357196
18.0,0.0010387716994781835,0.0013015907244602457,0.0010387716994781835,0.0,1.0,0.0,0.7980785971788096
19.0,0.0007733937422596615,0.0015390864765640823,0.0007640277757375738,9.365966522087736e-06,0.9878897823833915,0.006085406287888833,0.4964164050373698
20.0,0.0008401130415313079,0.0012552030327483696,0.0008381689221094714,1.9441194218364948e-06,0.9976858835350385,0.0015488485696052586,0.6677556540587956
