D,A_band,S_self,S_mir,self_mean,mirror_mean,mir_self_ratio,factorized_mean,factor_resid_abs
4.0,2.3813999999999997,0.20955295887024922,0.14847022343669042,0.08799569953399229,0.06234577283811642,0.7085093154357227,0.062345772838116424,6.938893903907228e-18
5.0,2.3813999999999997,0.2057959189846091,0.14137343977519842,0.086418039382132,0.05936568395699943,0.6869593939118459,0.05936568395699943,0.0
6.0,2.3976,0.20509514769213583,0.13147435302701388,0.0855418533917817,0.05483581624416661,0.6410407779337977,0.05483581624416661,0.0
7.0,2.3813999999999997,0.20391223070842615,0.12031694215470928,0.08562703901420432,0.0505236172649321,0.5900427931012648,0.05052361726493209,6.938893903907228e-18
8.0,2.3813999999999997,0.19553559222091071,0.1137825671699318,0.08210951214449934,0.04777969562859319,0.581902076637707,0.04777969562859319,0.0
9.0,2.3976,0.2012054367179243,0.10063410602109042,0.08391951815061907,0.04197285035914682,0.5001559980815642,0.04197285035914682,0.0
10.0,2.3813999999999997,0.18989725976966873,0.09975248787323325,0.07974185763402568,0.04188816993081098,0.5252971422243039,0.04188816993081098,0.0
11.0,2.3813999999999997,0.1916370052944671,0.09171324976725569,0.08047241340995512,0.03851232458522537,0.47857797415655823,0.03851232458522537,0.0
12.0,2.3976,0.18747499904486573,0.08799322958387078,0.07819277571107179,0.036700546206152304,0.4693598081460057,0.03670054620615231,6.938893903907228e-18
13.0,2.3813999999999997,0.1834821086592804,0.08296487949657709,0.07704800061278258,0.034838699713016334,0.4521687705837295,0.034838699713016334,0.0
14.0,2.3813999999999997,0.18198276317130901,0.0775998028356333,0.07641839387390151,0.03258579106224629,0.4264129277045042,0.03258579106224629,0.0
15.0,2.3976,0.1790006995811976,0.07445687056418757,0.0746582831086076,0.031054750819230714,0.41595854506933216,0.031054750819230714,0.0
16.0,2.3813999999999997,0.17860605931838777,0.06950725064692505,0.07500044483009481,0.029187558010802493,0.38916513197919916,0.029187558010802493,0.0
17.0,2.3813999999999997,0.17204754832676128,0.0668729326012212,0.0722463879763002,0.02808135239826203,0.38868866921726075,0.028081352398262035,3.469446951953614e-18
18.0,2.3976,0.17490169746528034,0.06326940740805319,0.07294865593313327,0.026388641728417244,0.3617426721693926,0.026388641728417244,0.0
19.0,2.3813999999999997,0.16781985081075368,0.06080821393924311,0.0704710887758267,0.025534649340406113,0.36234219995711375,0.025534649340406113,0.0
20.0,2.3813999999999997,0.1665994322300471,0.05792261282217611,0.069958609318068,0.02432292467547498,0.347675931705423,0.024322924675474977,3.469446951953614e-18
