D,zeta_cut,I_diag_anchor_abs,I_mass_inner,P_mass_inner,N_mass_inner,nu_diag_int_pm_m,I_der_inner,I_outer,adverse_derivative_loss,derivative_uplift,adverse_outer_loss,outer_uplift,split_resid_abs,mass_inner_same_sign_as_diag,lower_from_mass_and_adverse_losses,adverse_derivative_over_P_mass_inner,adverse_outer_over_P_mass_inner
4.0,1.2000000000000004,0.0005556053549042061,0.0011426309916031975,0.0031783215471709193,0.0020356905555677218,0.6404923244407811,-0.0005812998113193734,-5.7258253796183825e-06,0.0005812998113193734,0.0,5.7258253796183825e-06,0.0,4.336808689942018e-19,1,0.0005556053549042057,0.18289521770910774,0.0018015248912480368
5.0,1.2000000000000004,0.0007863294828877666,0.0021576415654726054,0.0038519779319045972,0.0016943363664319916,0.43986138975470007,-0.0013532670386235798,-1.8045043961258957e-05,0.0013532670386235798,0.0,1.8045043961258957e-05,0.0,1.0842021724855044e-19,1,0.0007863294828877667,0.3513174432841212,0.004684617689991969
6.0,1.2000000000000004,0.0002322740638987959,0.00032537744215183333,0.002623494608756425,0.002298117166604592,0.8759755628748682,-9.310337825303764e-05,0.0,9.310337825303764e-05,0.0,0.0,0.0,2.168404344971009e-19,1,0.00023227406389879568,0.03548830553807389,0.0
7.0,1.2000000000000004,0.0006605835488527464,0.0019565433681290427,0.00354929003251435,0.001592746664385307,0.4487507782667709,-0.0012803495385260992,-1.5610280750196773e-05,0.0012803495385260992,0.0,1.5610280750196773e-05,0.0,3.2526065174565133e-19,1,0.0006605835488527467,0.36073398533145173,0.004398141771225809
8.0,1.2000000000000004,0.0005230522629162447,0.0009980380940367132,0.002728345303839368,0.0017303072098026546,0.6341965613251889,-0.000465913748990202,-9.072082130266357e-06,0.000465913748990202,0.0,9.072082130266357e-06,0.0,1.0842021724855044e-19,1,0.0005230522629162449,0.1707678820325863,0.0033251224166897016
9.0,1.2000000000000004,0.000200245039483431,0.0006533504171259874,0.002450417241516811,0.0017970668243908238,0.7333717678538849,-0.00045310537764255664,-0.0,0.00045310537764255664,0.0,0.0,0.0,2.168404344971009e-19,1,0.00020024503948343078,0.1849094798900794,0.0
10.0,1.2000000000000004,0.0005656185388685361,0.0011963246743060068,0.002608056956997472,0.001411732282691465,0.5412965690430025,-0.0006233383437754095,-7.3677916620612325e-06,0.0006233383437754095,0.0,7.3677916620612325e-06,0.0,0.0,1,0.0005656185388685361,0.239004881432125,0.0028250117936624397
11.0,1.2000000000000004,0.00016555573881248136,7.924400386814172e-05,0.001878367855250543,0.0017991238513824013,0.9578123083576875,8.382898238594454e-05,2.48275255839503e-06,0.0,8.382898238594454e-05,0.0,2.48275255839503e-06,5.421010862427522e-20,1,7.924400386814172e-05,0.0,0.0
12.0,1.2000000000000004,0.0005311738999916108,0.0012153248000818342,0.002414291784590538,0.001198966984508704,0.496612295233423,-0.0006841509000902234,0.0,0.0006841509000902234,0.0,0.0,0.0,0.0,1,0.0005311738999916108,0.28337539996486166,0.0
13.0,1.2000000000000004,0.00032087208545264684,0.0004600576497633983,0.0018397910383619598,0.0013797333885985615,0.7499402702966712,-0.00013767088274969555,-1.5146815610559791e-06,0.00013767088274969555,0.0,1.5146815610559791e-06,0.0,1.0842021724855044e-19,1,0.00032087208545264674,0.07482963003900132,0.0008232899984144728
14.0,1.2000000000000004,0.00043938494835030797,0.0011370497913721187,0.0021899202296235126,0.001052870438251394,0.4807802695317362,-0.0006816561500745321,-1.6008692947278845e-05,0.0006816561500745321,0.0,1.6008692947278845e-05,0.0,2.710505431213761e-19,1,0.0004393849483503077,0.3112698539671106,0.007310171727136852
15.0,1.2000000000000004,0.0003836413835798117,0.0006662478898594255,0.0017671844639030095,0.001100936574043584,0.6229890520947948,-0.0002826065062796139,0.0,0.0002826065062796139,0.0,0.0,0.0,5.421010862427522e-20,1,0.0003836413835798116,0.15991907582496975,0.0
16.0,1.2000000000000004,0.00035730201291452865,0.001005963500071188,0.0019576194017206527,0.0009516559016494649,0.48612917343024153,-0.0006399551081614986,-8.706378995160568e-06,0.0006399551081614986,0.0,8.706378995160568e-06,0.0,5.421010862427522e-20,1,0.0003573020129145287,0.32690476381619893,0.004447431910159902
17.0,1.2000000000000004,0.00037625980085889796,0.0007477136510620661,0.0016667307202503539,0.0009190170691882877,0.5513890504461605,-0.00036222203961642233,-9.231810586745963e-06,0.00036222203961642233,0.0,9.231810586745963e-06,0.0,1.0842021724855044e-19,1,0.00037625980085889785,0.21732487150774674,0.00553887348122994
18.0,1.2000000000000004,0.00019620849129946293,0.0002121614839383306,0.0013015907244602457,0.0010894292405219152,0.8369983129479419,-1.5952992638867722e-05,0.0,1.5952992638867722e-05,0.0,0.0,0.0,5.421010862427522e-20,1,0.00019620849129946288,0.012256535283380448,0.0
19.0,1.2000000000000004,0.00034323172609531787,0.0007362123802113706,0.0015390864765640823,0.0008028740963527117,0.5216562607613054,-0.0003879660833949179,-5.0145707211349554e-06,0.0003879660833949179,0.0,5.0145707211349554e-06,0.0,1.0842021724855044e-19,1,0.00034323172609531776,0.2520755586528372,0.003258147477411199
20.0,1.2000000000000004,0.0002511682997238171,0.00037807300248498947,0.0012552030327483696,0.0008771300302633802,0.6987953401792157,-0.00012377247336929742,-3.132229391874845e-06,0.00012377247336929742,0.0,3.132229391874845e-06,0.0,1.6263032587282567e-19,1,0.00025116829972381724,0.09860753212035146,0.002495396609277284
