zeta_cut,mass_inner_net_floor_abs,P_mass_inner_floor_abs,max_nu_diag_int_pm_m
0.8,-6.783781528609542e-05,0.0010869868814289104,1.0454067318374682
0.81,-8.757635579259657e-05,0.0010869868814289104,1.0586185755836421
0.8200000000000001,-6.184322389043225e-05,0.0010869868814289104,1.0406933829788605
0.8300000000000001,-5.457626330129654e-05,0.0011189222448900005,1.0353201753000878
0.8400000000000001,-7.257658165015792e-05,0.0011189222448900005,1.046969459459197
0.8500000000000001,-4.859333022919619e-05,0.0011189222448900005,1.0309675390965178
0.8600000000000001,-4.129625877888018e-05,0.0011483279810323638,1.0259253032837354
0.8700000000000001,-5.756184345309667e-05,0.0011483279810323638,1.0361366451397684
0.8800000000000001,-3.5375160971011944e-05,0.0011483279810323638,1.021903030868759
0.8900000000000001,-2.810902112994969e-05,0.0011751561008790773,1.0171707243210177
0.9000000000000001,-4.2653068825143636e-05,0.0011751561008790773,1.0260551259631592
0.9100000000000001,-2.2297224356761583e-05,0.0011751561008790773,1.0134532346196394
0.9200000000000002,-1.5119751754185664e-05,0.00119937450196148,1.009013097306902
0.9300000000000002,-2.7964392139760014e-05,0.00119937450196148,1.0166699686331986
0.9400000000000002,-9.461808268995892e-06,0.00119937450196148,1.0055787853252611
0.9500000000000002,-2.4272309478981166e-06,0.0012209662902348986,1.0014158342124464
0.9600000000000002,-1.360278219197323e-05,0.0012209662902348986,1.0079346732244532
0.9700000000000002,3.035393561141766e-06,0.0012209662902348986,0.9982464357090381
0.9800000000000002,9.876525947951015e-06,0.001233941900527706,0.9943480544317685
0.9900000000000002,3.3227302906595896e-07,0.001233941900527706,0.9998098532739175
1.0000000000000002,1.5105596910518042e-05,0.0012383896218581584,0.9914281319234072
1.0100000000000002,2.1706554873982507e-05,0.001242800605459559,0.987783734885795
1.0200000000000002,1.374902627430453e-05,0.001242800605459559,0.9922621645395053
1.0300000000000002,2.666718594948516e-05,0.0012460372613577102,0.985100258319763
1.0400000000000003,3.298517373916837e-05,0.0012492487441205533,0.9817010132656689
1.0500000000000003,2.65636775223059e-05,0.0012492487441205533,0.98526342815595
1.0600000000000003,3.764591791993125e-05,0.0012513097346631072,0.979243014733344
1.0700000000000003,4.3642160367248764e-05,0.001253356398754664,0.9760816110682902
1.0800000000000003,3.870052855254962e-05,0.001253356398754664,0.9787899066867166
1.0900000000000003,4.797507529103015e-05,0.001254281817968459,0.9738398982340777
1.1000000000000003,5.361487798504535e-05,0.0012552030327483696,0.9709103518252918
1.1100000000000003,5.009208708461432e-05,0.0012552030327483696,0.9728217009085666
1.1200000000000003,5.759556731501866e-05,0.0012552030327483696,0.9688772672547299
1.1300000000000003,6.284835188352937e-05,0.0012552030327483696,0.9661747534837271
1.1400000000000003,6.067912202777038e-05,0.0012552030327483696,0.9673422420880023
1.1500000000000004,6.64559826681337e-05,0.0012552030327483696,0.9643439707205328
1.1600000000000004,7.129529714922436e-05,0.0012552030327483696,0.9618646800667858
1.1700000000000004,7.041067131421399e-05,0.0012552030327483696,0.9623378597937556
1.1800000000000004,7.451259504482233e-05,0.0012552030327483696,0.9602310281768334
1.1900000000000004,7.891610090670015e-05,0.0012552030327483696,0.9579795409514525
1.2000000000000004,7.924400386814172e-05,0.0012552030327483696,0.9578123083576875
