rho_corner,zeta_corner,N_mass_corner_floor_abs,min_corner_over_band_share,mean_corner_over_band_share,max_cap_over_P_mass_inner,max_corner_over_P_mass_inner
0.22,0.1,0.0006886683059301134,0.9213415721962341,0.9294561755412115,0.06351452671605706,0.750426692238052
0.23,0.1,0.0006886683059301134,0.9213415721962341,0.9294561755412115,0.06351452671605706,0.750426692238052
0.24000000000000002,0.1,0.0006886683059301134,0.9213415721962341,0.9294561755412115,0.06351452671605706,0.750426692238052
0.25,0.1,0.0006886683059301134,0.9213415721962341,0.9294561755412115,0.06351452671605706,0.750426692238052
0.26,0.1,0.0006886683059301134,0.9213415721962341,0.9294561755412115,0.06351452671605706,0.750426692238052
0.27,0.1,0.0006886683059301134,0.9213415721962341,0.9294561755412115,0.06351452671605706,0.750426692238052
0.22,0.12000000000000001,0.0006886683059301134,0.899462961531667,0.9258892983396293,0.08183123964095104,0.732109979313158
0.23,0.12000000000000001,0.0006886683059301134,0.899462961531667,0.9258892983396293,0.08183123964095104,0.732109979313158
0.24000000000000002,0.12000000000000001,0.0006886683059301134,0.899462961531667,0.9258892983396293,0.08183123964095104,0.732109979313158
0.25,0.12000000000000001,0.0006886683059301134,0.899462961531667,0.9258892983396293,0.08183123964095104,0.732109979313158
0.26,0.12000000000000001,0.0006886683059301134,0.899462961531667,0.9258892983396293,0.08183123964095104,0.732109979313158
0.27,0.12000000000000001,0.0006886683059301134,0.899462961531667,0.9258892983396293,0.08183123964095104,0.732109979313158
0.22,0.14,0.0006886683059301134,0.8862970960971608,0.9217908633111588,0.09254748020129888,0.7213937387528102
0.23,0.14,0.0006886683059301134,0.8862970960971608,0.9217908633111588,0.09254748020129888,0.7213937387528102
0.24000000000000002,0.14,0.0006886683059301134,0.8862970960971608,0.9217908633111588,0.09254748020129888,0.7213937387528102
0.25,0.14,0.0006886683059301134,0.8862970960971608,0.9217908633111588,0.09254748020129888,0.7213937387528102
0.26,0.14,0.0006886683059301134,0.8862970960971608,0.9217908633111588,0.09254748020129888,0.7213937387528102
0.27,0.14,0.0006886683059301134,0.8862970960971608,0.9217908633111588,0.09254748020129888,0.7213937387528102
0.22,0.16000000000000003,0.0006886683059301134,0.873236643303153,0.9201910787394283,0.10317792106854617,0.7107632978855629
0.23,0.16000000000000003,0.0006886683059301134,0.873236643303153,0.9201910787394283,0.10317792106854617,0.7107632978855629
0.24000000000000002,0.16000000000000003,0.0006886683059301134,0.873236643303153,0.9201910787394283,0.10317792106854617,0.7107632978855629
0.25,0.16000000000000003,0.0006886683059301134,0.873236643303153,0.9201910787394283,0.10317792106854617,0.7107632978855629
0.26,0.16000000000000003,0.0006886683059301134,0.873236643303153,0.9201910787394283,0.10317792106854617,0.7107632978855629
0.27,0.16000000000000003,0.0006886683059301134,0.873236643303153,0.9201910787394283,0.10317792106854617,0.7107632978855629
0.22,0.18000000000000002,0.0006886683059301134,0.843737118062195,0.9133208437301095,0.1271888006017391,0.68675241835237
0.23,0.18000000000000002,0.0006886683059301134,0.843737118062195,0.9133208437301095,0.1271888006017391,0.68675241835237
0.24000000000000002,0.18000000000000002,0.0006886683059301134,0.843737118062195,0.9133208437301095,0.1271888006017391,0.68675241835237
0.25,0.18000000000000002,0.0006886683059301134,0.843737118062195,0.9133208437301095,0.1271888006017391,0.68675241835237
0.26,0.18000000000000002,0.0006886683059301134,0.843737118062195,0.9133208437301095,0.1271888006017391,0.68675241835237
0.27,0.18000000000000002,0.0006886683059301134,0.843737118062195,0.9133208437301095,0.1271888006017391,0.68675241835237
0.28,0.1,0.0006283506857174496,0.8274470073131657,0.8436860833564058,0.13841832404749624,0.6755228949066129
0.29000000000000004,0.1,0.0006283506857174496,0.8274470073131657,0.8436860833564058,0.13841832404749624,0.6755228949066129
0.30000000000000004,0.1,0.0006283506857174496,0.8274470073131657,0.8436860833564058,0.13841832404749624,0.6755228949066129
0.22,0.2,0.0006886683059301134,0.827505029551935,0.9058557348820848,0.14040076650995112,0.6735404524441579
0.23,0.2,0.0006886683059301134,0.827505029551935,0.9058557348820848,0.14040076650995112,0.6735404524441579
0.24000000000000002,0.2,0.0006886683059301134,0.827505029551935,0.9058557348820848,0.14040076650995112,0.6735404524441579
0.25,0.2,0.0006886683059301134,0.827505029551935,0.9058557348820848,0.14040076650995112,0.6735404524441579
0.26,0.2,0.0006886683059301134,0.827505029551935,0.9058557348820848,0.14040076650995112,0.6735404524441579
0.27,0.2,0.0006886683059301134,0.827505029551935,0.9058557348820848,0.14040076650995112,0.6735404524441579
0.22,0.22000000000000003,0.0006886683059301134,0.8114299019746372,0.9029483519926557,0.15348497544505962,0.6604562435090494
0.23,0.22000000000000003,0.0006886683059301134,0.8114299019746372,0.9029483519926557,0.15348497544505962,0.6604562435090494
0.24000000000000002,0.22000000000000003,0.0006886683059301134,0.8114299019746372,0.9029483519926557,0.15348497544505962,0.6604562435090494
0.25,0.22000000000000003,0.0006886683059301134,0.8114299019746372,0.9029483519926557,0.15348497544505962,0.6604562435090494
0.26,0.22000000000000003,0.0006886683059301134,0.8114299019746372,0.9029483519926557,0.15348497544505962,0.6604562435090494
0.27,0.22000000000000003,0.0006886683059301134,0.8114299019746372,0.9029483519926557,0.15348497544505962,0.6604562435090494
0.28,0.12000000000000001,0.0006283506857174496,0.8103519812069369,0.840581878127581,0.15436233958865764,0.6595788793654515
0.29000000000000004,0.12000000000000001,0.0006283506857174496,0.8103519812069369,0.840581878127581,0.15436233958865764,0.6595788793654515
0.30000000000000004,0.12000000000000001,0.0006283506857174496,0.8103519812069369,0.840581878127581,0.15436233958865764,0.6595788793654515
0.28,0.14,0.0006283506857174496,0.7988608554269653,0.8370058067885681,0.16371544051316264,0.6502257784409464
0.29000000000000004,0.14,0.0006283506857174496,0.7988608554269653,0.8370058067885681,0.16371544051316264,0.6502257784409464
0.30000000000000004,0.14,0.0006283506857174496,0.7988608554269653,0.8370058067885681,0.16371544051316264,0.6502257784409464
0.28,0.16000000000000003,0.0006283506857174496,0.7874483935477259,0.8356066156766399,0.17300451364641803,0.6409367053076911
0.29000000000000004,0.16000000000000003,0.0006283506857174496,0.7874483935477259,0.8356066156766399,0.17300451364641803,0.6409367053076911
0.30000000000000004,0.16000000000000003,0.0006283506857174496,0.7874483935477259,0.8356066156766399,0.17300451364641803,0.6409367053076911
0.22,0.24000000000000005,0.0006823269134105989,0.7767809846579106,0.8918011530909404,0.18168715744127628,0.6322540615128328
0.23,0.24000000000000005,0.0006823269134105989,0.7767809846579106,0.8918011530909404,0.18168715744127628,0.6322540615128328
0.24000000000000002,0.24000000000000005,0.0006823269134105989,0.7767809846579106,0.8918011530909404,0.18168715744127628,0.6322540615128328
0.25,0.24000000000000005,0.0006823269134105989,0.7767809846579106,0.8918011530909404,0.18168715744127628,0.6322540615128328
0.26,0.24000000000000005,0.0006823269134105989,0.7767809846579106,0.8918011530909404,0.18168715744127628,0.6322540615128328
0.27,0.24000000000000005,0.0006823269134105989,0.7767809846579106,0.8918011530909404,0.18168715744127628,0.6322540615128328
0.28,0.18000000000000002,0.0006283506857174496,0.7615948131634759,0.829591157635857,0.19404780837870256,0.6198934105754065
0.29000000000000004,0.18000000000000002,0.0006283506857174496,0.7615948131634759,0.829591157635857,0.19404780837870256,0.6198934105754065
0.30000000000000004,0.18000000000000002,0.0006283506857174496,0.7615948131634759,0.829591157635857,0.19404780837870256,0.6198934105754065
0.22,0.26,0.0006718905335453844,0.7584146672028739,0.8808361076547239,0.196636260258327,0.6173049586957821
0.23,0.26,0.0006718905335453844,0.7584146672028739,0.8808361076547239,0.196636260258327,0.6173049586957821
0.24000000000000002,0.26,0.0006718905335453844,0.7584146672028739,0.8808361076547239,0.196636260258327,0.6173049586957821
0.25,0.26,0.0006718905335453844,0.7584146672028739,0.8808361076547239,0.196636260258327,0.6173049586957821
0.26,0.26,0.0006718905335453844,0.7584146672028739,0.8808361076547239,0.196636260258327,0.6173049586957821
0.27,0.26,0.0006718905335453844,0.7584146672028739,0.8808361076547239,0.196636260258327,0.6173049586957821
0.28,0.2,0.0006283506857174496,0.747325654046761,0.8230336257086882,0.20566206514361157,0.6082791538104975
0.29000000000000004,0.2,0.0006283506857174496,0.747325654046761,0.8230336257086882,0.20566206514361157,0.6082791538104975
0.30000000000000004,0.2,0.0006283506857174496,0.747325654046761,0.8230336257086882,0.20566206514361157,0.6082791538104975
0.22,0.28,0.0006615663161187614,0.7402451586311605,0.8762836510359464,0.21142517221298446,0.6038963194339912
0.23,0.28,0.0006615663161187614,0.7402451586311605,0.8762836510359464,0.21142517221298446,0.6038963194339912
0.24000000000000002,0.28,0.0006615663161187614,0.7402451586311605,0.8762836510359464,0.21142517221298446,0.6038963194339912
0.25,0.28,0.0006615663161187614,0.7402451586311605,0.8762836510359464,0.21142517221298446,0.6038963194339912
0.26,0.28,0.0006615663161187614,0.7402451586311605,0.8762836510359464,0.21142517221298446,0.6038963194339912
0.27,0.28,0.0006615663161187614,0.7402451586311605,0.8762836510359464,0.21142517221298446,0.6038963194339912
0.28,0.22000000000000003,0.0006283506857174496,0.7331770988728434,0.8204763801312072,0.21717815738830953,0.5967630615657995
0.29000000000000004,0.22000000000000003,0.0006283506857174496,0.7331770988728434,0.8204763801312072,0.21717815738830953,0.5967630615657995
0.30000000000000004,0.22000000000000003,0.0006283506857174496,0.7331770988728434,0.8204763801312072,0.21717815738830953,0.5967630615657995
0.28,0.24000000000000005,0.0006193415046152155,0.7025893356879167,0.8106489983308381,0.24207479864012846,0.5718664203139806
0.29000000000000004,0.24000000000000005,0.0006193415046152155,0.7025893356879167,0.8106489983308381,0.24207479864012846,0.5718664203139806
0.30000000000000004,0.24000000000000005,0.0006193415046152155,0.7025893356879167,0.8106489983308381,0.24207479864012846,0.5718664203139806
0.22,0.30000000000000004,0.0006384482102699745,0.7022578628212574,0.8609822327645665,0.24234459806926734,0.5876731262579846
0.23,0.30000000000000004,0.0006384482102699745,0.7022578628212574,0.8609822327645665,0.24234459806926734,0.5876731262579846
0.24000000000000002,0.30000000000000004,0.0006384482102699745,0.7022578628212574,0.8609822327645665,0.24234459806926734,0.5876731262579846
0.25,0.30000000000000004,0.0006384482102699745,0.7022578628212574,0.8609822327645665,0.24234459806926734,0.5876731262579846
0.26,0.30000000000000004,0.0006384482102699745,0.7022578628212574,0.8609822327645665,0.24234459806926734,0.5876731262579846
0.27,0.30000000000000004,0.0006384482102699745,0.7022578628212574,0.8609822327645665,0.24234459806926734,0.5876731262579846
0.28,0.26,0.0006100820420192322,0.6863283850082231,0.8009484959727883,0.25531025665771084,0.5586309622963983
0.29000000000000004,0.26,0.0006100820420192322,0.6863283850082231,0.8009484959727883,0.25531025665771084,0.5586309622963983
0.30000000000000004,0.26,0.0006100820420192322,0.6863283850082231,0.8009484959727883,0.25531025665771084,0.5586309622963983
0.22,0.32000000000000006,0.000625817822814921,0.6826331202890107,0.8463163626283713,0.2583179849276247,0.5730588950335791
0.23,0.32000000000000006,0.000625817822814921,0.6826331202890107,0.8463163626283713,0.2583179849276247,0.5730588950335791
0.24000000000000002,0.32000000000000006,0.000625817822814921,0.6826331202890107,0.8463163626283713,0.2583179849276247,0.5730588950335791
0.25,0.32000000000000006,0.000625817822814921,0.6826331202890107,0.8463163626283713,0.2583179849276247,0.5730588950335791
0.26,0.32000000000000006,0.000625817822814921,0.6826331202890107,0.8463163626283713,0.2583179849276247,0.5730588950335791
0.27,0.32000000000000006,0.000625817822814921,0.6826331202890107,0.8463163626283713,0.2583179849276247,0.5730588950335791
0.28,0.28,0.0006009120694292789,0.6702233794429631,0.7969161179957747,0.2684187845187614,0.5460049244986592
0.29000000000000004,0.28,0.0006009120694292789,0.6702233794429631,0.7969161179957747,0.2684187845187614,0.5460049244986592
0.30000000000000004,0.28,0.0006009120694292789,0.6702233794429631,0.7969161179957747,0.2684187845187614,0.5460049244986592
0.22,0.3400000000000001,0.0006133281149624377,0.6632298489978747,0.8401764189870419,0.2741111072140292,0.5730588950335791
0.23,0.3400000000000001,0.0006133281149624377,0.6632298489978747,0.8401764189870419,0.2741111072140292,0.5730588950335791
0.24000000000000002,0.3400000000000001,0.0006133281149624377,0.6632298489978747,0.8401764189870419,0.2741111072140292,0.5730588950335791
0.25,0.3400000000000001,0.0006133281149624377,0.6632298489978747,0.8401764189870419,0.2741111072140292,0.5730588950335791
0.26,0.3400000000000001,0.0006133281149624377,0.6632298489978747,0.8401764189870419,0.2741111072140292,0.5730588950335791
0.27,0.3400000000000001,0.0006133281149624377,0.6632298489978747,0.8401764189870419,0.2741111072140292,0.5730588950335791
0.28,0.30000000000000004,0.0005803253844351911,0.6364607331644854,0.7833344137485393,0.29589959398578186,0.533883164929908
0.29000000000000004,0.30000000000000004,0.0005803253844351911,0.6364607331644854,0.7833344137485393,0.29589959398578186,0.533883164929908
0.30000000000000004,0.30000000000000004,0.0005803253844351911,0.6364607331644854,0.7833344137485393,0.29589959398578186,0.533883164929908
0.22,0.36000000000000004,0.0005865505877319904,0.6235439875362029,0.8210918911656151,0.3064130656673863,0.556364311257206
0.23,0.36000000000000004,0.0005865505877319904,0.6235439875362029,0.8210918911656151,0.3064130656673863,0.556364311257206
0.24000000000000002,0.36000000000000004,0.0005865505877319904,0.6235439875362029,0.8210918911656151,0.3064130656673863,0.556364311257206
0.25,0.36000000000000004,0.0005865505877319904,0.6235439875362029,0.8210918911656151,0.3064130656673863,0.556364311257206
0.26,0.36000000000000004,0.0005865505877319904,0.6235439875362029,0.8210918911656151,0.3064130656673863,0.556364311257206
0.27,0.36000000000000004,0.0005865505877319904,0.6235439875362029,0.8210918911656151,0.3064130656673863,0.556364311257206
0.28,0.32000000000000006,0.0005690502961701716,0.6189735071409339,0.7702750121247146,0.3101331680515174,0.520882245832439
0.29000000000000004,0.32000000000000006,0.0005690502961701716,0.6189735071409339,0.7702750121247146,0.3101331680515174,0.520882245832439
0.30000000000000004,0.32000000000000006,0.0005690502961701716,0.6189735071409339,0.7702750121247146,0.3101331680515174,0.520882245832439
0.22,0.38000000000000006,0.0005724183752331944,0.6034329505980902,0.8029099425673075,0.32278226758722484,0.5378392334028295
0.23,0.38000000000000006,0.0005724183752331944,0.6034329505980902,0.8029099425673075,0.32278226758722484,0.5378392334028295
0.24000000000000002,0.38000000000000006,0.0005724183752331944,0.6034329505980902,0.8029099425673075,0.32278226758722484,0.5378392334028295
0.25,0.38000000000000006,0.0005724183752331944,0.6034329505980902,0.8029099425673075,0.32278226758722484,0.5378392334028295
0.26,0.38000000000000006,0.0005724183752331944,0.6034329505980902,0.8029099425673075,0.32278226758722484,0.5378392334028295
0.27,0.38000000000000006,0.0005724183752331944,0.6034329505980902,0.8029099425673075,0.32278226758722484,0.5378392334028295
0.28,0.3400000000000001,0.0005578902112370501,0.6016665738802647,0.7648022845955469,0.32421999440606386,0.520882245832439
0.29000000000000004,0.3400000000000001,0.0005578902112370501,0.6016665738802647,0.7648022845955469,0.32421999440606386,0.520882245832439
0.30000000000000004,0.3400000000000001,0.0005578902112370501,0.6016665738802647,0.7648022845955469,0.32421999440606386,0.520882245832439
0.22,0.4000000000000001,0.0005584454652902902,0.5835536307038249,0.79541088446558,0.33896286545394183,0.5378392334028295
0.23,0.4000000000000001,0.0005584454652902902,0.5835536307038249,0.79541088446558,0.33896286545394183,0.5378392334028295
0.24000000000000002,0.4000000000000001,0.0005584454652902902,0.5835536307038249,0.79541088446558,0.33896286545394183,0.5378392334028295
0.25,0.4000000000000001,0.0005584454652902902,0.5835536307038249,0.79541088446558,0.33896286545394183,0.5378392334028295
0.26,0.4000000000000001,0.0005584454652902902,0.5835536307038249,0.79541088446558,0.33896286545394183,0.5378392334028295
0.27,0.4000000000000001,0.0005584454652902902,0.5835536307038249,0.79541088446558,0.33896286545394183,0.5378392334028295
0.28,0.36000000000000004,0.0005339097662865255,0.5661856158703871,0.7477604952148216,0.3530994086182833,0.5059871353689784
0.29000000000000004,0.36000000000000004,0.0005339097662865255,0.5661856158703871,0.7477604952148216,0.3530994086182833,0.5059871353689784
0.30000000000000004,0.36000000000000004,0.0005339097662865255,0.5661856158703871,0.7477604952148216,0.3530994086182833,0.5059871353689784
0.28,0.38000000000000006,0.0005212271952240313,0.5481661041571276,0.7314799858109273,0.3677662319471315,0.4894144084481725
0.29000000000000004,0.38000000000000006,0.0005212271952240313,0.5481661041571276,0.7314799858109273,0.3677662319471315,0.4894144084481725
0.30000000000000004,0.38000000000000006,0.0005212271952240313,0.5481661041571276,0.7314799858109273,0.3677662319471315,0.4894144084481725
0.28,0.4000000000000001,0.0005086775971387604,0.5303394593892755,0.7247600487922483,0.38227607291933896,0.4894144084481725
0.29000000000000004,0.4000000000000001,0.0005086775971387604,0.5303394593892755,0.7247600487922483,0.38227607291933896,0.4894144084481725
0.30000000000000004,0.4000000000000001,0.0005086775971387604,0.5303394593892755,0.7247600487922483,0.38227607291933896,0.4894144084481725
