edge,edge_label,point_id,rho,z_rel,exact_boundary_defect,certified_boundary_defect_floor,exact_poisson_weight,barrier_poisson_weight,certified_poisson_weight_floor,exact_minus_barrier_weight,barrier_minus_certified_weight,exact_product,barrier_product_with_b_floor,certified_product_floor,product_slack_exact_minus_certified,point_barrier_certificate_valid
outer_rho,out,1,0.69,-1.1750000000000007,12.801958118641053,12.8,0.00011641532697777701,0.00011641521056245005,0.0001164,1.164153269633426e-10,1.521056245005006e-08,0.0014903441403374053,0.0014901146951993606,0.00148992,4.24140337405279e-07,True
outer_rho,out,2,0.69,-1.1450000000000014,12.692319810663173,12.69,0.0001582509817484032,0.00015825082349742146,0.0001582,1.5825098173614764e-10,5.082349742145946e-08,0.002008572070702154,0.002008202950182278,0.002007558,1.0140707021539033e-06,True
outer_rho,out,3,0.69,-1.1150000000000002,12.564219746385717,12.56,0.00019297922380516393,0.00019297903082594013,0.0001929,1.92979223800991e-10,7.903082594013194e-08,0.0024246333743750295,0.002423816627173808,0.002422824,1.8093743750294267e-06,True
outer_rho,out,4,0.69,-1.0850000000000009,12.41800824580627,12.41,0.00022221138313902492,0.00022221116092764178,0.00022219999999999998,2.2221138313736552e-10,1.116092764180134e-08,0.002759422788132428,0.0027576405071120347,0.0027575019999999998,1.9207881324281167e-06,True
outer_rho,out,5,0.69,-1.0549999999999997,12.25406215464304,12.25,0.0002470446729565082,0.00024704442591183523,0.000247,2.470446729672428e-10,4.442591183524778e-08,0.0030273007773825144,0.0030262942174199814,0.00302575,1.5507773825145996e-06,True
outer_rho,out,6,0.69,-1.0250000000000004,12.072784011952022,12.07,0.00026825650930519863,0.00026825624104868934,0.0002682,2.6825650929112113e-10,5.624104868932412e-08,0.0032386028966418607,0.0032378528294576803,0.003237174,1.4288966418605185e-06,True
outer_rho,out,7,0.69,-0.995000000000001,11.874601177741553,11.870000000000001,0.0002864164575290081,0.00028641617111255056,0.00028639999999999997,2.8641645755415543e-10,1.6171112550596167e-08,0.0034010812038985233,0.0033997599511059757,0.003399568,1.513203898523361e-06,True
outer_rho,out,8,0.69,-0.9649999999999999,11.659964922101876,11.65,0.0003019532053489448,0.0003019529033957394,0.00030189999999999997,3.019532053864446e-10,5.2903395739460277e-08,0.003520763782484921,0.003517751324560364,0.003517135,3.6287824849213536e-06,True
outer_rho,out,9,0.69,-0.9350000000000023,11.42934947741619,11.42,0.00031519612223076686,0.0003151958070346446,0.00031509999999999996,3.1519612224070737e-10,9.580703464465634e-08,0.003602486634901825,0.0035995361163356416,0.0035984419999999994,4.044634901825481e-06,True
outer_rho,out,10,0.69,-0.9050000000000011,11.183251055275063,11.18,0.0003264019432550577,0.0003264016168531144,0.00032639999999999996,3.2640194328826047e-10,1.6168531144478658e-09,0.0036502348763509554,0.003649170076417819,0.0036491519999999997,1.0828763509556846e-06,True
outer_rho,out,11,0.69,-0.875,10.92218682977205,10.92,0.0003357724320899454,0.00033577209631751323,0.0003357,3.3577243215661065e-10,7.20963175132594e-08,0.0036673692355733314,0.0036666312917872446,0.0036658439999999997,1.5252355733317256e-06,True
outer_rho,out,12,0.69,-0.8449999999999989,10.646693888911111,10.64,0.0003434663772725086,0.00034346603380613135,0.0003434,3.434663772470224e-10,6.603380613135184e-08,0.0036567813799536554,0.0036544785996972377,0.003653776,3.0053799536552787e-06,True
