rho_box,zeta_box,safe_box,anchor_floor_abs,max_shell_abs_share_of_core
0.55,1.05,1,6.913658254731727e-05,0.7604487129024959
0.55,1.06,1,7.511918180064595e-05,0.7604487129024959
0.55,1.07,1,7.829958861118325e-05,0.7846330117210043
0.55,1.08,1,7.558967678409032e-05,0.7846330117210043
0.55,1.09,1,8.05679067078168e-05,0.7846330117210043
0.55,1.1,1,8.355351163257183e-05,0.8083770313952859
0.55,1.11,1,8.163226672300457e-05,0.8083770313952859
0.55,1.12,1,8.563637674102925e-05,0.8083770313952859
0.55,1.1300000000000001,1,8.841406416492546e-05,0.831551500807394
0.55,1.1400000000000001,1,8.72395260142279e-05,0.831551500807394
0.55,1.1500000000000001,1,9.030339444984921e-05,0.831551500807394
0.55,1.1600000000000001,1,9.286233416758791e-05,0.8540403690645859
0.55,1.1700000000000002,1,9.239118285034797e-05,0.8540403690645859
0.55,1.1800000000000002,1,9.455195328882364e-05,0.8540403690645859
0.55,1.1900000000000002,1,9.503236159521203e-05,0.8757404791110106
0.55,1.2000000000000002,1,9.503236159521203e-05,0.8757404791110106
0.55,1.2100000000000002,1,9.503236159521203e-05,0.8757404791110106
0.55,1.2200000000000002,1,7.941153022899029e-05,0.8965612085985314
0.55,1.2300000000000002,1,7.941153022899029e-05,0.8965612085985314
0.55,1.2400000000000002,1,7.941153022899029e-05,0.8965612085985314
0.55,1.2500000000000002,1,6.416250254432193e-05,0.9164240797609587
0.55,1.2600000000000002,1,6.416250254432193e-05,0.9164240797609587
0.55,1.2700000000000002,1,6.416250254432193e-05,0.9164240797609587
0.55,1.2800000000000002,1,5.5038386523619735e-05,0.9283088467597399
0.55,1.2900000000000003,1,5.5038386523619735e-05,0.9283088467597399
0.55,1.3000000000000003,1,5.5038386523619735e-05,0.9283088467597399
0.56,1.05,1,6.913658254731727e-05,0.7604487129024959
0.56,1.06,1,7.511918180064595e-05,0.7604487129024959
0.56,1.07,1,7.829958861118325e-05,0.7846330117210043
0.56,1.08,1,7.558967678409032e-05,0.7846330117210043
0.56,1.09,1,8.05679067078168e-05,0.7846330117210043
0.56,1.1,1,8.355351163257183e-05,0.8083770313952859
0.56,1.11,1,8.163226672300457e-05,0.8083770313952859
0.56,1.12,1,8.563637674102925e-05,0.8083770313952859
0.56,1.1300000000000001,1,8.841406416492546e-05,0.831551500807394
0.56,1.1400000000000001,1,8.72395260142279e-05,0.831551500807394
0.56,1.1500000000000001,1,9.030339444984921e-05,0.831551500807394
0.56,1.1600000000000001,1,9.286233416758791e-05,0.8540403690645859
0.56,1.1700000000000002,1,9.239118285034797e-05,0.8540403690645859
0.56,1.1800000000000002,1,9.455195328882364e-05,0.8540403690645859
0.56,1.1900000000000002,1,9.503236159521203e-05,0.8757404791110106
0.56,1.2000000000000002,1,9.503236159521203e-05,0.8757404791110106
0.56,1.2100000000000002,1,9.503236159521203e-05,0.8757404791110106
0.56,1.2200000000000002,1,7.941153022899029e-05,0.8965612085985314
0.56,1.2300000000000002,1,7.941153022899029e-05,0.8965612085985314
0.56,1.2400000000000002,1,7.941153022899029e-05,0.8965612085985314
0.56,1.2500000000000002,1,6.416250254432193e-05,0.9164240797609587
0.56,1.2600000000000002,1,6.416250254432193e-05,0.9164240797609587
0.56,1.2700000000000002,1,6.416250254432193e-05,0.9164240797609587
0.56,1.2800000000000002,1,5.5038386523619735e-05,0.9283088467597399
0.56,1.2900000000000003,1,5.5038386523619735e-05,0.9283088467597399
0.56,1.3000000000000003,1,5.5038386523619735e-05,0.9283088467597399
0.5700000000000001,1.05,1,7.432669669409858e-05,0.6823551024065029
0.5700000000000001,1.06,1,8.151536757820382e-05,0.681322814638373
0.5700000000000001,1.07,1,8.533107071831289e-05,0.7025208116581054
0.5700000000000001,1.08,1,8.206695054878936e-05,0.7025208116581054
0.5700000000000001,1.09,1,8.80531790792503e-05,0.7025208116581054
0.5700000000000001,1.1,1,9.163841357958392e-05,0.7310064853456028
0.5700000000000001,1.11,1,8.932174446136302e-05,0.7310064853456028
0.5700000000000001,1.12,1,9.414024799678662e-05,0.7310064853456028
0.5700000000000001,1.1300000000000001,1,9.747880688328633e-05,0.7588303722696069
0.5700000000000001,1.1400000000000001,1,9.606024812578244e-05,0.7588303722696069
0.5700000000000001,1.1500000000000001,1,9.975030894855206e-05,0.7588303722696069
0.5700000000000001,1.1600000000000001,1,0.00010282873692510832,0.7858511425798147
0.5700000000000001,1.1700000000000002,1,0.0001022571283568689,0.7858511425798147
0.5700000000000001,1.1800000000000002,1,0.00010486214522534217,0.7858511425798147
0.5700000000000001,1.1900000000000002,1,0.00010766967018966948,0.8119428662706802
0.5700000000000001,1.2000000000000002,1,0.00010789240387692991,0.8119428662706802
0.5700000000000001,1.2100000000000002,1,0.00010945945124574548,0.8119428662706802
0.5700000000000001,1.2200000000000002,1,0.00010976516271306243,0.8369946262155292
0.5700000000000001,1.2300000000000002,1,0.00010976516271306243,0.8369946262155292
0.5700000000000001,1.2400000000000002,1,0.00010976516271306243,0.8369946262155292
0.5700000000000001,1.2500000000000002,1,0.00010818094281516341,0.8568574973779566
0.5700000000000001,1.2600000000000002,1,0.00010818094281516341,0.8568574973779566
0.5700000000000001,1.2700000000000002,1,0.00010818094281516341,0.8568574973779566
0.5700000000000001,1.2800000000000002,1,0.00010076855596446511,0.8687422643767377
0.5700000000000001,1.2900000000000003,1,0.00010076855596446511,0.8687422643767377
0.5700000000000001,1.3000000000000003,1,0.00010076855596446511,0.8687422643767377
0.5800000000000001,1.05,1,7.432669669409858e-05,0.6823551024065029
0.5800000000000001,1.06,1,8.151536757820382e-05,0.681322814638373
0.5800000000000001,1.07,1,8.533107071831289e-05,0.7025208116581054
0.5800000000000001,1.08,1,8.206695054878936e-05,0.7025208116581054
0.5800000000000001,1.09,1,8.80531790792503e-05,0.7025208116581054
0.5800000000000001,1.1,1,9.163841357958392e-05,0.7310064853456028
0.5800000000000001,1.11,1,8.932174446136302e-05,0.7310064853456028
0.5800000000000001,1.12,1,9.414024799678662e-05,0.7310064853456028
0.5800000000000001,1.1300000000000001,1,9.747880688328633e-05,0.7588303722696069
0.5800000000000001,1.1400000000000001,1,9.606024812578244e-05,0.7588303722696069
0.5800000000000001,1.1500000000000001,1,9.975030894855206e-05,0.7588303722696069
0.5800000000000001,1.1600000000000001,1,0.00010282873692510832,0.7858511425798147
0.5800000000000001,1.1700000000000002,1,0.0001022571283568689,0.7858511425798147
0.5800000000000001,1.1800000000000002,1,0.00010486214522534217,0.7858511425798147
0.5800000000000001,1.1900000000000002,1,0.00010766967018966948,0.8119428662706802
0.5800000000000001,1.2000000000000002,1,0.00010789240387692991,0.8119428662706802
