z_rel,signed_mass_exact,signed_mass_boundary,signed_mass_source,min_phiL_row,min_rhs0_row
-1.205,0.006611927843448021,0.0065245860188225535,8.734182462546764e-05,0.06536501654599605,0.1480547864705005
-1.175,0.0065651756339832725,0.0064023802107173265,0.00016279542326594478,0.06490404399989635,0.1461010045336315
-1.145,0.006508785674008628,0.006281044816971376,0.00022774085703725202,0.06434782864167726,0.14393018879917405
-1.115,0.00644292449412528,0.006159609680777383,0.00028331481334789604,0.06369801050590977,0.14154765063565158
-1.085,0.006367772697298146,0.006037296740023777,0.0003304759572743701,0.06295636827085774,0.13895903121281225
-1.055,0.006283524556306188,0.005913477086114321,0.000370047470191868,0.06212481525194591,0.13617029070708053
-1.025,0.006190387590108574,0.005787641531075103,0.00040274605903347114,0.061205395184525675,0.13318769701679078
-0.995,0.006088582119857685,0.005659379535078839,0.00042920258477884606,0.06020027780316867,0.13001781399190918
-0.965,0.0059783408053026114,0.005528363529444285,0.0004499772758583257,0.05911175422493146,0.12666748917862775
-0.935,0.005859908162335412,0.005394336860877971,0.0004655713014574413,0.0579422321442384,0.12314384107378597
-0.905,0.00573354006243594,0.005257104254645314,0.0004764358077906253,0.05669423084723178,0.1194542458774008
-0.875,0.005599503214769402,0.005116524086811144,0.00048297912795825675,0.055370376053643956,0.11560632372351397
-0.845,0.0054580746316832286,0.0049725019928600405,0.00048557263882318807,0.05397339459446325,0.1116079243599822
-0.815,0.005309541078335725,0.004824985488138229,0.0004845555901974965,0.05250610893391405,0.10746711223669446
-0.785,0.00515419850716764,0.004673959371012034,0.00048023913615560625,0.05097143154455685,0.10319215094901546
-0.755,0.0049923514778984854,0.004519441742960683,0.00047290973493780173,0.04937235914466649,0.09879148696922863
-0.725,0.004824312563691425,0.0043614805229665165,0.0004628320407249091,0.047711966807485136,0.09427373258377522
-0.695,0.004650401744082751,0.004200150363686029,0.000450251380396722,0.045993401952497806,0.08964764793886504
-0.665,0.004470945785213619,0.004035549898379738,0.00043539588683388203,0.0442198782295795,0.08492212208269853
-0.635,0.004286277607831624,0.003867799263222631,0.00041847834460899386,0.04239466930774345,0.0801061528807398
-0.605,0.004096735643446504,0.0036970378512031763,0.000399697792243328,0.040521102581317255,0.07520882567352787
-0.575,0.003902663178926372,0.0035234222625308296,0.000379240916395543,0.03860255280771758,0.07023929054748117
-0.545,0.0037044076897059753,0.0033471244231048176,0.0003572832666011574,0.036642435692612274,0.06520673810191278
-0.515,0.003502320161643608,0.0031683298476916067,0.0003339903139520016,0.034644201440151554,0.060120373624635744
-0.485,0.003296754401404133,0.002987236028383993,0.00030951837302014044,0.032611328288109635,0.054989389639237954
-0.455,0.0030880663350558142,0.0028040509319183175,0.0002840154031374968,0.030547316050146656,0.04982293686448041
-0.425,0.0028766132943403846,0.002618991591661203,0.0002576217026791819,0.02845567968988424,0.044630093734693524
-0.395,0.0026627532897992964,0.002432282781613659,0.000230470508185638,0.02633994295393075,0.03941983477190964
-0.365,0.0024468442696085344,0.0022441557605990007,0.00020268850900953387,0.024203632093178665,0.03420099827469704
-0.335,0.002229243362601434,0.0020548470747609585,0.0001743962878404748,0.02205026970335034,0.02875204269308414
-0.305,0.0020103061036154785,0.0018645974052640796,0.00014570869835139883,0.019883368716570964,0.023289697308911426
-0.275,0.0017903856392331857,0.0016736504449763507,0.00011673519425683501,0.017706426575362488,0.01795102706453731
-0.245,0.001569831912934865,0.001482251781575876,8.758013135898878e-05,0.015522919618583176,0.012657257602863365
-0.215,0.0013489908327076836,0.0012906477522957322,5.8343080411951397e-05,0.013336297705280192,0.007414062014569258
-0.185,0.0011282034369231172,0.0010990842120578955,2.91192248652217e-05,0.011149979097146026,0.0022299831409211025
