D,A_band,S_self,S_mir,M_band_abs,mirror_avg,mirror_avg_weighted,self_bias,factor_resid_abs
4.0,2.3813999999999997,0.20955295887024922,0.14847022343669042,0.02181758842672041,0.06234577283811642,0.052057457323304614,0.834979742066461,0.0
5.0,2.3813999999999997,0.2057959189846091,0.14137343977519842,0.018081650647274464,0.05936568395699943,0.04393102335675262,0.740007028110269,0.0
6.0,2.3976,0.20509514769213583,0.13147435302701388,0.018292808140984745,0.05483581624416661,0.044595906697031444,0.8132623849066077,0.0
7.0,2.3813999999999997,0.20391223070842615,0.12031694215470928,0.015307067784268864,0.0505236172649321,0.03753347146242645,0.7428896324982264,0.0
8.0,2.3813999999999997,0.19553559222091071,0.1137825671699318,0.014539693727688343,0.04777969562859319,0.03717914872311788,0.7781369938419713,0.0
9.0,2.3976,0.2012054367179243,0.10063410602109042,0.014109364457169659,0.04197285035914682,0.03506208551648131,0.8353515478807718,0.0
10.0,2.3813999999999997,0.18989725976966873,0.09975248787323325,0.012057703697828987,0.04188816993081098,0.0317479665384695,0.7579220240681172,0.0
11.0,2.3813999999999997,0.1916370052944671,0.09171324976725569,0.012277643171138409,0.03851232458522537,0.032033591717509705,0.8317750762258291,0.0
12.0,2.3976,0.18747499904486573,0.08799322958387078,0.010290373665599793,0.036700546206152304,0.02744465586885306,0.7477996571138871,0.0
13.0,2.3813999999999997,0.1834821086592804,0.08296487949657709,0.010278268163608568,0.034838699713016334,0.028008911164997936,0.8039597170882163,0.0
14.0,2.3813999999999997,0.18198276317130901,0.0775998028356333,0.008822115532108174,0.03258579106224629,0.024238876744066957,0.7438480378691797,0.0
15.0,2.3976,0.1790006995811976,0.07445687056418757,0.00862915850792552,0.031054750819230714,0.02410370051098933,0.7761678929995814,0.0
16.0,2.3813999999999997,0.17860605931838777,0.06950725064692505,0.007779813909595806,0.029187558010802493,0.02177925524835445,0.7461828509357931,0.0
17.0,2.3813999999999997,0.17204754832676128,0.0668729326012212,0.007348623753773343,0.02808135239826203,0.02135637451751556,0.7605180197388682,0.0
18.0,2.3976,0.17490169746528034,0.06326940740805319,0.0075583192852814625,0.026388641728417244,0.021607335419891682,0.8188119586550491,0.0
19.0,2.3813999999999997,0.16781985081075368,0.06080821393924311,0.0064529893772364375,0.025534649340406113,0.0192259418241091,0.7529354160225693,0.0
20.0,2.3813999999999997,0.1665994322300471,0.05792261282217611,0.006462906992801028,0.02432292467547498,0.019396545673327353,0.797459431056211,0.0
