edge,edge_label,exact_boundary_defect_sum,certified_boundary_defect_sum,certified_flux_sum,flux_sum_minus_boundary_floor_sum,exact_product,certified_product_floor,flux_certified_product_with_p_floor,cumulative_certified_product,cumulative_flux_certified_product,cumulative_certified_over_global_after_source,cumulative_certified_over_local_after_source
outer_rho,out,283.40958247943047,283.33000000000004,283.4068000000001,0.07680000000004839,0.08203772597707418,0.08200010379999999,0.08202213085999999,0.08200010379999999,0.08202213085999999,0.6115016235341003,0.6314885322280097
bottom,bot,273.8536425117011,273.822,273.85136666666665,0.02936666666664678,0.047879530044903626,0.0478595834,0.04786507654666666,0.1298596872,0.12988720740666665,0.9684062077300739,1.0000585299931837
corner_rb,rb,63.2852356533649,63.28,63.28503333333333,0.005033333333329892,0.004113323082308762,0.0041125672,0.004112894316333333,0.1339722544,0.13400010172299998,0.9990749679285591,1.0317296975218406
corner_lb,lb,2.360027752163762,2.36,2.3600000000000003,4.440892098500626e-16,0.0005688985505261594,0.0005687599999999999,0.00056876,0.1345410144,0.13456886172299998,1.0033163974790575,1.0361097580454957
