family,p_exponent,reference_anchor_geomean,scale_best,kappa_profile_p50,kappa_profile_p90,anchor_rmse,anchor_mae,anchor_max_abs_err,holdout_rmse,holdout_mae,holdout_max_abs_err,overall_rmse,overall_mae,overall_max_abs_err,p95_mix_norm_rel_residual,p95_obs_norm_rel_residual,p95_phi_norm_rel_residual_identifiable,max_mix_norm_rel_residual,max_obs_norm_rel_residual,max_phi_norm_rel_residual_identifiable,holdout_rmse_threshold,holdout_max_abs_threshold,norm_rel_threshold,gate_holdout_rmse,gate_holdout_max_abs,gate_bridge_norm
uniform,0.0,1.0,1.006730183379457,433444.09102361434,433444.09102361434,0.08615551199887088,0.07530537150864655,0.14438189830268225,0.06982459518602725,0.05943935079104534,0.12485158864279126,0.07499786285333457,0.06410582747269276,0.14438189830268225,0.006730183379468802,0.006730183379485233,0.006730183379457378,0.006730183379478394,0.006730183379597854,0.006730183379457744,0.0694542033431657,0.1248712638192654,0.01,0,1,1
system_total,-0.5,0.00014600910358615168,1.491720583957154,523255.57259566366,911200.0054809962,0.0753238024567525,0.06281697587666384,0.13303242777122254,0.05925748242129427,0.0511812720806849,0.11879209979495325,0.06440029537639576,0.05460353790303165,0.13303242777122254,1.345673768699563,1.345673768699548,1.3161621490441042,2.1011180780995105,2.101118078099482,2.101118078099482,0.0694542033431657,0.1248712638192654,0.01,1,1,0
system_total,-0.25,0.00014600910358615168,1.2254632336541542,476237.3736245069,628434.8078376661,0.08121794262105249,0.06853237664834236,0.13968098313088745,0.06447782400593484,0.055648760582409425,0.12263765405276293,0.06981928289202673,0.05943805942533089,0.13968098313088745,0.532217285711819,0.532217285711809,0.5090938720587108,0.7669151568330883,0.7669151568330721,0.7669151568330721,0.0694542033431657,0.1248712638192654,0.01,1,1,0
system_total,0.0,0.00014600910358615168,1.006730183379457,433444.09102361434,433444.09102361434,0.08615551199887088,0.07530537150864655,0.14438189830268225,0.06982459518602725,0.05943935079104534,0.12485158864279126,0.07499786285333457,0.06410582747269276,0.14438189830268225,0.006730183379468802,0.006730183379485233,0.006730183379457378,0.006730183379478394,0.006730183379597854,0.006730183379457744,0.0694542033431657,0.1248712638192654,0.01,0,1,1
system_total,0.25,0.00014600910358615168,0.7684521501101792,366550.3477784049,440620.2155468887,0.09030682513711441,0.08139125743764315,0.1482213899144884,0.07200632280750031,0.05904777885335762,0.1262398037723925,0.07783675965945429,0.06561939020167688,0.1482213899144884,0.3821433545137762,0.38214335451377995,0.36118049875383856,0.4670316494027995,0.4670316494028044,0.4670316494028044,0.0694542033431657,0.1248712638192654,0.01,0,0,0
system_total,0.5,0.00014600910358615168,0.631291052030932,333613.21707705763,482528.41209635907,0.09382994220093581,0.08604635741915478,0.150374918672117,0.07756538203164376,0.06405719086722098,0.13032368391183724,0.08268186803993076,0.07052459279426032,0.150374918672117,0.5899695772471845,0.5899695772471871,0.5539328137443792,0.69633215083521,0.6963321508352128,0.6963321508352128,0.0694542033431657,0.1248712638192654,0.01,0,0,0
bath_shape,-0.5,1.0901546686760482,1.006730183379457,435233.08095030615,440355.79419824306,0.08645149961290974,0.07565400821931671,0.14437605681850696,0.07069240105316628,0.060187296754875726,0.12486588282711811,0.07566889784820098,0.06473632953853484,0.14437605681850696,0.02459720101314948,0.024597201013149172,0.02516119153161753,0.026401970671474206,0.02640197067147354,0.026401970671836805,0.0694542033431657,0.1248712638192654,0.01,0,1,0
bath_shape,-0.25,1.0901546686760482,1.006730183379457,434337.66490590316,436886.21001635777,0.08630310683026185,0.07547978096511601,0.14437897794374635,0.07025828008796692,0.0598138731195528,0.12485874434777515,0.07533292471884132,0.06442149307413021,0.14437897794374635,0.015624304638872254,0.015624304638871989,0.01590373812441511,0.016518491791843504,0.01651849179184306,0.016518491792202772,0.0694542033431657,0.1248712638192654,0.01,0,1,0
bath_shape,0.0,1.0901546686760482,1.006730183379457,433444.09102361434,433444.09102361434,0.08615551199887088,0.07530537150864655,0.14438189830268225,0.06982459518602725,0.05943935079104534,0.12485158864279126,0.07499786285333457,0.06410582747269276,0.14438189830268225,0.006730183379468802,0.006730183379485233,0.006730183379457378,0.006730183379478394,0.006730183379597854,0.006730183379457744,0.0694542033431657,0.1248712638192654,0.01,0,1,1
bath_shape,0.25,1.0901546686760482,1.006730183379457,432552.355513513,434377.13777454884,0.0860087235494262,0.07513078380829226,0.144384817895512,0.06939147759967895,0.059063778079332246,0.12484441567099205,0.07466380672706827,0.06378936799961461,0.144384817895512,0.009613282376373709,0.009613282376365138,0.008846208785593645,0.011330785065409188,0.011330785065402749,0.009183906704105738,0.0694542033431657,0.1248712638192654,0.01,1,1,1
bath_shape,0.5,1.0901546686760482,1.006730183379457,431662.45459346933,435312.21645337093,0.08586274979955642,0.07495602178204534,0.14438773672235972,0.06900715405859802,0.05871875952826056,0.12483722539113391,0.07436235082783377,0.06349442489702078,0.14438773672235972,0.013242145279472914,0.013242145279472114,0.012058046300774604,0.01595241079215115,0.015952410792144933,0.012564578900954526,0.0694542033431657,0.1248712638192654,0.01,1,1,0
response_linear,-0.5,7.14688201827457e-11,1.9653542406425373,588513.5809275765,1648460.1190523775,0.0652386995324899,0.056427733240901,0.11733206379877496,0.05533323295576071,0.04724408162961675,0.10485573390834703,0.05842120868691956,0.04994515563293565,0.11733206379877496,3.887568994156088,3.8875689941560543,4.053580777928837,7.090787268744702,7.090787268744627,7.090787268744627,0.0694542033431657,0.1248712638192654,0.01,1,1,0
response_linear,-0.25,7.14688201827457e-11,1.3860484750813908,497675.47832890874,832615.5612923603,0.0774922276486216,0.06464218680235163,0.13508501231999348,0.05975060944295392,0.05088378085242042,0.11962039300572448,0.06546972837767083,0.05493037083769431,0.13508501231999348,1.1614100029413126,1.1614100029412984,1.1370129470058803,1.812246535987423,1.8122465359873972,1.8122465359873972,0.0694542033431657,0.1248712638192654,0.01,1,1,0
response_linear,0.0,7.14688201827457e-11,1.006730183379457,433444.09102361434,433444.09102361434,0.08615551199887088,0.07530537150864655,0.14438189830268225,0.06982459518602725,0.05943935079104534,0.12485158864279126,0.07499786285333457,0.06410582747269276,0.14438189830268225,0.006730183379468802,0.006730183379485233,0.006730183379457378,0.006730183379478394,0.006730183379597854,0.006730183379457744,0.0694542033431657,0.1248712638192654,0.01,0,1,1
response_linear,0.25,7.14688201827457e-11,0.67942057850986,350760.6513250167,518122.43796847947,0.09227115040852937,0.08400808738887952,0.14985972125900207,0.07776559085086421,0.06423404568364795,0.1313210911551112,0.08229776332932942,0.07004994030283372,0.14985972125900207,0.5560991476629864,0.5560991476629892,0.5224435646070633,0.6651396509047964,0.6651396509047995,0.6651396509047995,0.0694542033431657,0.1248712638192654,0.01,0,0,0
response_linear,0.5,7.14688201827457e-11,0.4585263560421947,283849.8368437718,619522.108484008,0.09688281216143355,0.09019758351998237,0.15260499619092094,0.08575760909418938,0.07242404148548258,0.1475390786601778,0.089173923474153,0.07765155384857074,0.15260499619092094,0.8013167501634936,0.8013167501634947,0.756915891875265,0.8886181667666401,0.8886181667666411,0.8886181667666411,0.0694542033431657,0.1248712638192654,0.01,0,0,0
uniform,0.0,1.0,1.0,430546.4345656163,430546.4345656163,0.08614892245090508,0.07536998441323559,0.14445376495485487,0.06945420275471413,0.059043685873483805,0.12487126388841426,0.07475246191530124,0.06384553838517551,0.14445376495485487,8.172573728870702e-13,8.215650382226158e-13,3.2196467714129524e-16,8.426592756904938e-13,8.499867476530198e-13,4.440892098500626e-16,0.0694542033431657,0.1248712638192654,0.01,1,0,1
