gap_ratio,delta_q_tol,D_min,D_max,gap_separator_min,gap_separator_max,tail_mass_upper_max,eps0_upper_max,eps_delta_upper_max
1.25,0.001,4.0,20.0,0.007124352675311418,0.025812921764757357,0.14036362959197388,0.16328256274842154,0.10526057287631047
1.25,0.005,4.0,20.0,0.007124352675311418,0.025812921764757357,0.7018181479598694,2.353658155780103,1.5172924877112084
1.25,0.01,4.0,20.0,0.007124352675311418,0.025812921764757357,0.9987405683317863,793.0089369185788,512.7555473771922
1.5,0.001,4.0,20.0,0.011037962491487807,0.040448196149198146,0.09059643034402176,0.09962181078560517,0.04477507998117023
1.5,0.005,4.0,20.0,0.011037962491487807,0.040448196149198146,0.4529821517201088,0.8280939152982311,0.3721872850634459
1.5,0.01,4.0,20.0,0.011037962491487807,0.040448196149198146,0.9059643034402176,9.634259505529995,4.330123459086797
2.0,0.001,4.0,20.0,0.01496022746552883,0.05545418640612665,0.06684390343022441,0.07163207064277723,0.018181406856878277
2.0,0.005,4.0,20.0,0.01496022746552883,0.05545418640612665,0.334219517151122,0.5019965675788439,0.1274150496280208
2.0,0.01,4.0,20.0,0.01496022746552883,0.05545418640612665,0.668439034302244,2.016036576849578,0.5117034997472357
3.0,0.001,4.0,20.0,0.017780908237926107,0.06646169084880982,0.056240096772280285,0.059591530197389754,0.006741422233565388
3.0,0.005,4.0,20.0,0.017780908237926107,0.06646169084880982,0.28120048386140145,0.3912085046634624,0.04425631801301948
3.0,0.01,4.0,20.0,0.017780908237926107,0.06646169084880982,0.5624009677228029,1.2851970096829417,0.14539072359594887
