D,N_mass_shoulder,P_mass_inner,canonical_N_mass_band,canonical_N_mass_core,canonical_band_over_shoulder_share,canonical_core_over_P_mass_inner,canonical_band_over_P_mass_inner
4.0,0.0018333900790008155,0.0031783215471709197,0.0018333900790008153,2.168404344971009e-19,0.9999999999999999,6.822482599034525e-17,0.576842226876871
5.0,0.001554694990215312,0.0038519779319045972,0.001554694990215312,0.0,1.0,0.0,0.4036095267676153
6.0,0.0020622328637620556,0.002623494608756425,0.0020322204441319976,3.0012419630057966e-05,0.9854466388556589,0.01143986327621397,0.7746234497105751
7.0,0.001466083383122985,0.00354929003251435,0.0014660833831229847,2.168404344971009e-19,0.9999999999999999,6.109403078099231e-17,0.4130638436680244
8.0,0.0015741737573348436,0.002728345303839368,0.0015741737573348436,0.0,1.0,0.0,0.5769701346525468
9.0,0.0016380231557762775,0.0024504172415168116,0.0016380231557762775,0.0,1.0,0.0,0.6684670381940093
10.0,0.001292507371676467,0.002608056956997472,0.001292507371676467,0.0,1.0,0.0,0.49558249416625755
11.0,0.0016076248112383434,0.001878367855250543,0.0015288810217468426,7.874378949150086e-05,0.9510185529975461,0.04192138897148969,0.8139412189541091
12.0,0.001101855298288735,0.002414291784590538,0.001101855298288735,0.0,1.0,0.0,0.4563886210115273
13.0,0.0012480872495693653,0.0018397910383619598,0.001240116772375993,7.97047719337243e-06,0.9936138461504814,0.004332273082745781,0.6740530563080245
14.0,0.0009697036660191728,0.0021899202296235126,0.0009697036660191728,0.0,1.0,0.0,0.4428031911399269
15.0,0.001003750335946475,0.0017671844639030095,0.001003750335946475,0.0,1.0,0.0,0.5679940925519391
16.0,0.0008774940060182405,0.0019576194017206527,0.0008774940060182406,-1.0842021724855044e-19,1.0000000000000002,-5.538370592018771e-17,0.44824545835976387
17.0,0.0008418575375915576,0.001666730720250354,0.0008418575375915578,-1.0842021724855044e-19,1.0000000000000002,-6.504963035196532e-17,0.50509511066377
18.0,0.000980630058249233,0.0013015907244602457,0.0009600073623529855,2.0622695896247508e-05,0.9789699533246348,0.015844224692673263,0.7375646924274827
19.0,0.0007374471126037282,0.0015390864765640823,0.0007374471126037282,0.0,1.0,0.0,0.47914598941187136
20.0,0.0007962826176135601,0.0012552030327483696,0.0007962826176135601,0.0,1.0,0.0,0.6343855112188777
