R,safe_window,induced_total_floor,lambda_total_min,core_floor_abs,tail_over_core_max
1.2,0,,,,
1.21,0,,,,
1.22,0,,,,
1.23,1,2.8566620574907187e-05,0.4071560921402461,7.016134874648352e-05,0.5928439078597539
1.24,1,2.8491859066744216e-05,0.4025365177552295,7.078080574063412e-05,0.5974634822447704
1.25,1,2.9876832043522497e-05,0.4060804244531659,7.357368206988824e-05,0.5939195755468343
1.26,1,3.209748394237367e-05,0.4078088571067605,7.870717710765867e-05,0.5921911428932394
1.27,1,3.797383374664695e-05,0.4145711251739198,9.15978741421421e-05,0.5854288748260802
1.28,1,3.9312019988751396e-05,0.41904111682963213,9.381423065635424e-05,0.5809588831703679
1.29,1,3.999537621187155e-05,0.4233068942275954,9.448316754880827e-05,0.5766931057724044
1.3,1,4.131297856978245e-05,0.4201055003992981,9.833953264243306e-05,0.5798944996007019
1.31,1,4.4811261170780066e-05,0.42213611426828157,0.00010615358330204607,0.5778638857317183
1.32,1,4.753839885561628e-05,0.4248589679766412,0.00011189218644015993,0.5751410320233591
1.33,1,4.957559098038437e-05,0.426154445149542,0.00011633245069868457,0.573845554850458
1.34,1,5.075992873959724e-05,0.42915436089211884,0.0001182789536009336,0.5708456391078811
1.35,1,5.747951524698002e-05,0.42670871396500126,0.00013470433896902912,0.5732912860349988
1.36,1,5.488575585507093e-05,0.4252329930646711,0.0001290721951265049,0.5747670069353289
1.37,0,,,,
1.3800000000000001,0,,,,
1.3900000000000001,0,,,,
1.4000000000000001,0,,,,
