D,R,exact_total,exact_core,exact_tail,core_same_sign_as_total,tail_opposite_sign_to_total,lambda_total_over_core,eta_total_tail_over_core,core_abs,tail_abs
4.0,1.35,-0.000828947242284358,-0.0015632818588345507,0.0007343346165501927,1,1,0.5302608979946521,0.4697391020053478,0.0015632818588345507,0.0007343346165501927
5.0,1.35,0.0011678651133360818,0.0017440689594971164,-0.0005762038461610348,1,1,0.6696209498922698,0.3303790501077302,0.0017440689594971164,0.0005762038461610348
6.0,1.35,0.00014884393600114073,0.0001544168509239339,-5.572914922793118e-06,1,1,0.9639099302346322,0.03609006976536744,0.0001544168509239339,5.572914922793118e-06
7.0,1.35,0.0010660258723231863,0.0019124185020988251,-0.0008463926297756393,1,1,0.5574229025463062,0.442577097453694,0.0019124185020988251,0.0008463926297756393
8.0,1.35,0.0005637842839836491,0.001072823810718361,-0.0005090395267347118,1,1,0.5255143280294461,0.47448567197055386,0.001072823810718361,0.0005090395267347118
9.0,1.35,-0.00037083126607110673,-0.0007729120764538004,0.00040208081038269365,1,1,0.47978454130580866,0.5202154586941914,0.0007729120764538004,0.00040208081038269365
10.0,1.35,0.0006826818823965211,0.0013858381982246562,-0.000703156315828135,1,1,0.4926129783917621,0.5073870216082379,0.0013858381982246562,0.000703156315828135
11.0,1.35,6.70795015735575e-05,0.00013470433896902912,-6.762483739547158e-05,1,1,0.49797580454316503,0.5020241954568346,0.00013470433896902912,6.762483739547158e-05
12.0,1.35,0.0006922158903368517,0.0014474960353158398,-0.000755280144978988,1,1,0.4782160872625893,0.5217839127374106,0.0014474960353158398,0.000755280144978988
13.0,1.35,0.0002843037688233181,0.0006106610106445976,-0.00032635724182127946,1,1,0.4655672523176395,0.5344327476823605,0.0006106610106445976,0.00032635724182127946
14.0,1.35,0.0006463929305398294,0.0013746527785691593,-0.00072825984802933,1,1,0.470222692316996,0.5297773076830041,0.0013746527785691593,0.00072825984802933
15.0,1.35,0.000397869421597566,0.000878142692631124,-0.0004802732710335577,1,1,0.4530806040251326,0.5469193959748672,0.000878142692631124,0.0004802732710335577
16.0,1.35,0.0005749770500641464,0.0012229171908869753,-0.0006479401408228289,1,1,0.47016842542471626,0.5298315745752837,0.0012229171908869753,0.0006479401408228289
17.0,1.35,0.0004397502773556077,0.0009843019495830178,-0.00054455167222741,1,1,0.4467635947911108,0.5532364052088892,0.0009843019495830178,0.00054455167222741
18.0,1.35,0.00013968830081322766,0.00032591895000291,-0.0001862306491896824,1,1,0.4285982782283155,0.5714017217716847,0.00032591895000291,0.0001862306491896824
19.0,1.35,0.00043197755155674694,0.0009640994049319683,-0.0005321218533752215,1,1,0.44806329030690506,0.551936709693095,0.0009640994049319683,0.0005321218533752215
20.0,1.35,0.00023180871657126518,0.0005432481432527721,-0.00031143942668150696,1,1,0.42670871396500126,0.5732912860349988,0.0005432481432527721,0.00031143942668150696
