subset,n_rows,max_rank1_residual_abs,max_lambda1_residual_abs,max_lambda2_residual_abs,g_proxy_min,g_proxy_p10,g_proxy_p50,g_proxy_p90,g_proxy_max,gap_separator_min,gap_separator_max,eps_delta_factor_min,eps_delta_factor_max,max_delta_q_abs
all_rows,441,2.7755575615628914e-16,4.440892098500626e-16,4.440892098500626e-16,1.0,1.353713815230782,1.4639663844825528,1.509029568862964,1.560887695720297,0.0,0.040273808597563465,0.4661997974676683,1.0,2.220446049250313e-16
active_rows,404,2.7755575615628914e-16,4.440892098500626e-16,4.440892098500626e-16,1.3537138088886351,1.360085624130886,1.4692445588192249,1.5153351352097146,1.560887695720297,0.014324903865558958,0.040273808597563465,0.4661997974676683,0.5585875931664229,1.1102230246251565e-16
