D,N_mass_ann,P_mass_inner,canonical_N_mass_shoulder,canonical_N_mass_rim,canonical_shoulder_over_ann_share,canonical_rim_over_P_mass_inner,canonical_shoulder_over_P_mass_inner
4.0,0.001943085386813926,0.0031783215471709197,0.0018333900790008155,0.00010969530781311044,0.9435458119558103,0.0345135966216987,0.576842226876871
5.0,0.0016314645059567138,0.0038519779319045972,0.001554694990215312,7.676951574140181e-05,0.9529444156087337,0.01992989500421239,0.4036095267676153
6.0,0.002188336252132759,0.002623494608756425,0.0020622328637620556,0.00012610338837070346,0.942374766104705,0.048066951595710845,0.7860633129867891
7.0,0.0015358448246896748,0.00354929003251435,0.001466083383122985,6.97614415666899e-05,0.9545778060092851,0.019655041128681796,0.41306384366802446
8.0,0.0016592385739052054,0.002728345303839368,0.0015741737573348436,8.506481657036182e-05,0.9487326187395992,0.03117817105139051,0.5769701346525468
9.0,0.0017248684597808723,0.0024504172415168116,0.0016380231557762775,8.684530400459483e-05,0.949651056860517,0.035441027157822914,0.6684670381940093
10.0,0.001357861838393256,0.002608056956997472,0.001292507371676467,6.535446671678902e-05,0.9518695754833774,0.025058680770541304,0.49558249416625755
11.0,0.0017087408556715534,0.001878367855250543,0.0016076248112383434,0.00010111604443320999,0.94082423669008,0.05383186480250046,0.8558626079255988
12.0,0.0011552499349417834,0.002414291784590538,0.001101855298288735,5.3394636653048434e-05,0.9537808788920302,0.022116066083579917,0.4563886210115273
13.0,0.001319133631528021,0.0018397910383619598,0.0012480872495693653,7.104638195865563e-05,0.9461416339780838,0.03861654963919766,0.6783853293907702
14.0,0.0010155031605376143,0.0021899202296235126,0.0009697036660191728,4.579949451844151e-05,0.9548997026319496,0.02091377297624913,0.4428031911399269
15.0,0.0010567631582808633,0.0017671844639030095,0.001003750335946475,5.301282233438837e-05,0.9498347175344102,0.029998465591590858,0.5679940925519391
16.0,0.0009183663695130526,0.0019576194017206527,0.0008774940060182405,4.0872363494812115e-05,0.9554944901603006,0.020878605646678452,0.4482454583597638
17.0,0.0008841516247694823,0.001666730720250354,0.0008418575375915576,4.2294087177924614e-05,0.9521642148325502,0.0253754770726082,0.50509511066377
18.0,0.0010387716994781835,0.0013015907244602457,0.000980630058249233,5.8141641228950415e-05,0.9440284701073804,0.04466968005865366,0.753408917120156
19.0,0.0007733937422596615,0.0015390864765640823,0.0007374471126037282,3.594662965593332e-05,0.9535209199509342,0.023355821913387222,0.47914598941187136
20.0,0.0008401130415313079,0.0012552030327483696,0.0007962826176135601,4.383042391774782e-05,0.9478279448705422,0.034918991409523224,0.6343855112188777
