objective_tol,lambda_upper,family_g_floor,proxy_name,envelope,xi_upper,a_upper_rank1,det_deficit_upper,opA_upper_from_detdeficit,trA_upper_from_detdeficit,sigma_upper_from_detdeficit,trA_vs_sigma_gain,heff_loewner_factor_from_detdeficit,cor1_logdet_gap_upper_from_detdeficit,lifted_g_floor,separator_min,eps_delta_factor_max,tail_mass_upper,eps0_upper,eps_delta_upper,delta_q_ref,conditional_statement
1.500329e-07,0.1259406082189533,1.3474339529535382,xi_exact,exact,0.1332407081230305,0.0021133357746055,0.0021133357746055,0.0021133357746055,0.002114453503009539,0.00211557201983378,1.1185168242409949e-06,0.9978866642253945,0.004235622842491774,1.3460094097325896,0.0121424810519811,0.5712661353352498,0.0823554919063961,0.0897466188486092,0.0512692041090506,0.001,"If 1-det(I-A_a)<=u_a holds for a 2x2 positive contraction, then ||A_a||<=u_a and tr(A_a)<=2*(1-sqrt(1-u_a)), hence H_eff>=(1-u_a) H_PP."
1.500329e-07,0.1259406082189533,1.3474339529535382,runnerup_blend_abs_action,p95,0.1796951674928049,0.0028501516641267,0.0028501516641267,0.0028501516641267,0.002852185404522256,0.0028542210805229088,2.0356760006526482e-06,0.9971498483358733,0.0057165964952675275,1.3455123872264525,0.0121312899594229,0.5716700499109517,0.0824314646954139,0.0898368476290993,0.0513570351679697,0.001,"If 1-det(I-A_a)<=u_a holds for a 2x2 positive contraction, then ||A_a||<=u_a and tr(A_a)<=2*(1-sqrt(1-u_a)), hence H_eff>=(1-u_a) H_PP."
1.500329e-07,0.1259406082189533,1.3474339529535382,runnerup_blend_abs_action,max,0.1800120579497321,0.0028551778753251,0.0028551778753251,0.0028551778753251,0.002857218800143002,0.0028592616708356788,2.0428706926766543e-06,0.9971448221246749,0.005726706516394289,1.3455089961423732,0.0121312135631364,0.5716728071875237,0.0824319838073529,0.089837464201723,0.0513576353508076,0.001,"If 1-det(I-A_a)<=u_a holds for a 2x2 positive contraction, then ||A_a||<=u_a and tr(A_a)<=2*(1-sqrt(1-u_a)), hence H_eff>=(1-u_a) H_PP."
1.500329e-07,0.1259406082189533,1.3474339529535382,best_blend_curv_action,p95,0.2245821723535536,0.0035621061000002,0.0035621061000002,0.0035621061000002,0.0035652839123441193,0.0035684655063455265,3.181594001407193e-06,0.9964378938999998,0.007149680119165932,1.3450319606558323,0.0121204609937766,0.5720608786683038,0.0825051126779304,0.0899243296262298,0.0514421910196392,0.001,"If 1-det(I-A_a)<=u_a holds for a 2x2 positive contraction, then ||A_a||<=u_a and tr(A_a)<=2*(1-sqrt(1-u_a)), hence H_eff>=(1-u_a) H_PP."
1.500329e-07,0.1259406082189533,1.3474339529535382,best_blend_curv_action,max,0.2249006669695656,0.0035671577548249,0.0035671577548249,0.0035671577548249,0.0035703445949566426,0.0035735352328792754,3.190637922632824e-06,0.9964328422451751,0.007159855844950543,1.3450285511880438,0.0121203841026847,0.5720636536932727,0.0825056360861113,0.0899249514015051,0.051442796256935,0.001,"If 1-det(I-A_a)<=u_a holds for a 2x2 positive contraction, then ||A_a||<=u_a and tr(A_a)<=2*(1-sqrt(1-u_a)), hence H_eff>=(1-u_a) H_PP."
5e-07,0.1701616395593772,1.342249670208462,xi_exact,exact,0.1332407081230305,0.0038579825155615,0.0038579825155615,0.0038579825155615,0.0038617107179788057,0.0038654437264363842,3.7330084575785093e-06,0.9961420174844385,0.007745848378736355,1.3396579802396382,0.0119985510883614,0.5764596667510279,0.0833433964347575,0.0909210669629192,0.0524123279620923,0.001,"If 1-det(I-A_a)<=u_a holds for a 2x2 positive contraction, then ||A_a||<=u_a and tr(A_a)<=2*(1-sqrt(1-u_a)), hence H_eff>=(1-u_a) H_PP."
5e-07,0.1701616395593772,1.342249670208462,runnerup_blend_abs_action,p95,0.1796951674928049,0.0052030706237166,0.0052030706237166,0.0052030706237166,0.00520985627431636,0.005216653732074854,6.7974577584936635e-06,0.9947969293762834,0.010460568323182933,1.3387532062754448,0.0119778845665257,0.577205167581355,0.083487196294634,0.0910922312891909,0.052578906626637,0.001,"If 1-det(I-A_a)<=u_a holds for a 2x2 positive contraction, then ||A_a||<=u_a and tr(A_a)<=2*(1-sqrt(1-u_a)), hence H_eff>=(1-u_a) H_PP."
5e-07,0.1701616395593772,1.342249670208462,runnerup_blend_abs_action,max,0.1800120579497321,0.0052122461816928,0.0052122461816928,0.0052122461816928,0.005219055817599516,0.005225877323363791,6.821505764274816e-06,0.9947877538183072,0.010479112075287548,1.3387470322334758,0.0119777434003038,0.5772102596587695,0.0834881802505995,0.0910934026725673,0.0525800466098334,0.001,"If 1-det(I-A_a)<=u_a holds for a 2x2 positive contraction, then ||A_a||<=u_a and tr(A_a)<=2*(1-sqrt(1-u_a)), hence H_eff>=(1-u_a) H_PP."
5e-07,0.1701616395593772,1.342249670208462,best_blend_curv_action,p95,0.2245821723535536,0.0065027731123043,0.0065027731123043,0.0065027731123043,0.006513379139257314,0.00652400824962589,1.0629110368576104e-05,0.9934972268876957,0.013090671893821742,1.3378783797076568,0.0119578630366797,0.5779273479333218,0.0836269822569952,0.0912586693822191,0.0527408807719897,0.001,"If 1-det(I-A_a)<=u_a holds for a 2x2 positive contraction, then ||A_a||<=u_a and tr(A_a)<=2*(1-sqrt(1-u_a)), hence H_eff>=(1-u_a) H_PP."
5e-07,0.1701616395593772,1.342249670208462,best_blend_curv_action,max,0.2249006669695656,0.0065119951186805,0.0065119951186805,0.0065119951186805,0.006522631298444326,0.006533290660213374,1.0659361769048414e-05,0.9934880048813195,0.01310935831471546,1.337872170353848,0.0119577207901633,0.5779324786026738,0.083627977065882,0.0912598540471749,0.052742033646402,0.001,"If 1-det(I-A_a)<=u_a holds for a 2x2 positive contraction, then ||A_a||<=u_a and tr(A_a)<=2*(1-sqrt(1-u_a)), hence H_eff>=(1-u_a) H_PP."
