edge,edge_label,point_id,direction,rho_q,z_rel_q,rho_out,z_rel_out,coefficient,phi_exact,phi_barrier,phi_floor,barrier_minus_floor,component_exact,component_barrier,component_certified,component_barrier_minus_certified
outer_rho,out,1,rho_plus,0.69,-1.1750000000000007,0.75,-1.1750000000000007,200.0,0.06400979059320507,0.06400975858830978,0.064,9.758588309774496e-06,12.801958118641013,12.801951717661955,12.8,0.0019517176619547882
outer_rho,out,2,rho_plus,0.69,-1.1450000000000014,0.75,-1.1450000000000014,200.0,0.06346159905331653,0.063461567322517,0.06346,1.5673225169932081e-06,12.692319810663305,12.6923134645034,12.692,0.0003134645033995298
outer_rho,out,3,rho_plus,0.69,-1.1150000000000002,0.75,-1.1150000000000002,200.0,0.0628210987319283,0.06282106732137893,0.06282,1.0673213789308411e-06,12.56421974638566,12.564213464275786,12.564,0.00021346427578627925
outer_rho,out,4,rho_plus,0.69,-1.0850000000000009,0.75,-1.0850000000000009,200.0,0.06209004122903122,0.06209001018401061,0.062090000000000006,1.018401060703944e-08,12.418008245806245,12.418002036802122,12.418000000000001,2.036802120741754e-06
outer_rho,out,5,rho_plus,0.69,-1.0549999999999997,0.75,-1.0549999999999997,200.0,0.06127031077321539,0.061270280138060004,0.061270000000000005,2.8013805999926866e-07,12.254062154643078,12.254056027612,12.254000000000001,5.602761199874351e-05
outer_rho,out,6,rho_plus,0.69,-1.0250000000000004,0.75,-1.0250000000000004,200.0,0.06036392005975998,0.060363889877799955,0.060360000000000004,3.889877799950758e-06,12.072784011951997,12.07277797555999,12.072000000000001,0.0007779755599894855
outer_rho,out,7,rho_plus,0.69,-0.995000000000001,0.75,-0.995000000000001,200.0,0.05937300588870773,0.05937297620220479,0.059370000000000006,2.976202204782452e-06,11.874601177741546,11.874595240440957,11.874,0.0005952404409566014
outer_rho,out,8,rho_plus,0.69,-0.9649999999999999,0.75,-0.9649999999999999,200.0,0.058299824610509476,0.05829979546059717,0.05829,9.795460597171457e-06,11.659964922101896,11.659959092119434,11.658,0.001959092119435013
outer_rho,out,9,rho_plus,0.69,-0.9350000000000023,0.75,-0.9350000000000023,200.0,0.05714674738708064,0.057146718813706955,0.05714,6.7188137069518206e-06,11.429349477416128,11.429343762741391,11.428,0.0013437627413903641
outer_rho,out,10,rho_plus,0.69,-0.9050000000000011,0.75,-0.9050000000000011,200.0,0.05591625527637571,0.05591622731824808,0.05591,6.227318248078206e-06,11.183251055275143,11.183245463649616,11.182,0.0012454636496155302
