category,boundary_point_count,harmonic_lift_mass,mass_share_of_boundary_lift,min_harmonic_part,max_harmonic_part
corner_lb,1,0.0005688985505261592,0.004011827891309569,9.57883157454757e-07,0.03790076715652324
corner_lt,1,7.773515187177006e-05,0.0005481821849008425,1.308865924360134e-07,0.005178817714061751
corner_rb,1,0.004113323082308762,0.02900683127477038,3.354129208389472e-06,0.0432853161142667
corner_rt,1,0.0005897399674570484,0.004158799926412175,4.808919724078849e-07,0.006205950859145164
axis,33,6.482520081499992e-18,4.571422241256035e-17,-3.24734296682069e-17,8.514812220033702e-17
outer_rho,33,0.08203772597707418,0.5785235995241017,0.0016870341590164962,0.05031475844998644
bottom,10,0.04787953004490361,0.337642684937912,6.736609316584282e-05,0.06557841817493221
top,10,0.006538370370081572,0.046108074260595544,9.19959163945863e-06,0.008954636817292996
physical_edges_group,78,0.1345994776548124,0.9491849436280915,nan,nan
top_cap_group,12,0.0072058454894103905,0.050815056371908564,nan,nan
source_potential,0,0.011225272657607257,0.07915974103588917,nan,nan
