q_ss,q_bb,q_sb,p95_block11_rel_residual_identifiable,p95_block22_rel_residual,p95_trace_rel_residual,p95_det_rel_residual_identifiable,p95_anisotropy_abs_residual_identifiable,max_block11_rel_residual_identifiable,max_block22_rel_residual,max_trace_rel_residual,max_det_rel_residual_identifiable,max_anisotropy_abs_residual_identifiable,objective
0.0,0.0,0.0,6.034062138837725e-15,8.170131238216527e-13,8.167688747562352e-13,7.64516228102252e-13,7.676526081468182e-13,6.217248937900877e-15,8.423262087831063e-13,8.411049634560186e-13,8.418821195732562e-13,8.428813202954188e-13,3.1719848969657957e-12
0.0,-0.0625,0.0,6.44339621605594e-05,0.00015477631065496933,0.0001546968083985245,0.00019231577154905642,0.00012347261398768514,7.949316451927313e-05,0.00016731418597737413,0.00016723029393284072,0.00020115326976422043,0.00014955414756467889,0.0006896954667507947
0.0,0.0625,0.0,6.443829974693835e-05,0.00015480030876697802,0.0001547207907854009,0.00019235282748589764,0.0001234726134742736,7.949948418461972e-05,0.0001673421844212708,0.0001672582768468267,0.0002011937398405106,0.00014955414729111993,0.0006897848402594884
0.0,-0.125,0.0,0.0001288635870391019,0.00030952862599338267,0.0003093696372037158,0.00038459449360108143,0.000246945227721218,0.00015898000987546457,0.000334600377778993,0.00033443260921739437,0.00040226607653903734,0.00029910829499879554,0.0013793015715584996
0.0,0.125,0.0,0.00012888093738425694,0.00030962462030434954,0.00030946556861262127,0.00038474271876408616,0.0002469452272082062,0.00015900528853740603,0.00033471237238758,0.0003345445417062276,0.0004024279589529556,0.00029910829472612477,0.0013796590722735202
0.0,0.125,0.0625,0.09585788043167785,0.007830981886918841,0.007884298254662303,0.09999738961920811,0.09880189126388153,0.10631681559538253,0.008593290956127042,0.008617968350815852,0.10807159383736864,0.11043848118040067,0.3103724414563487
0.0,0.0625,0.0625,0.09591600902452604,0.007984543757346184,0.008037778762757885,0.10014412090622664,0.09883431089484727,0.10638785729978828,0.008759167362485276,0.008783761147425406,0.10817476997337383,0.1104817895393273,0.310916763345704
0.0,0.0,0.0625,0.09597413371281445,0.00813808182143476,0.008191235480234881,0.10029082664634009,0.09886673052581302,0.10645889335686454,0.008925016015367992,0.008949526205961122,0.10827793417421228,0.11052509789825393,0.3114610081866372
0.0,-0.0625,0.0625,0.09603225449681548,0.00829159608288108,0.008344668410787159,0.1004375068442273,0.09889915015677826,0.10652992376705961,0.009090836919418588,0.009115263531063844,0.10838108644126343,0.11056840625718056,0.31200517599148925
0.0,-0.125,0.0625,0.09609037137680247,0.008445086545381297,0.008498077558108429,0.10058416150456702,0.098931569787744,0.10660094853082247,0.009256630079279127,0.009280973127373193,0.10848422677590785,0.11061171461610719,0.3125492667726032
