term,value,role
lower_half_signed_mass,0.155207836004448,previous_parent_target
strict_slab_signed_mass,0.15303059580183004,strict_barrier_domain_target
omitted_interface_strip_mass,0.002177240202617975,interface_strip_remainder
required_global,0.14532157043371163,global_signed_mass_threshold
required_local,0.1410773596158427,local_signed_mass_threshold
min_rhs0_strict_slab,0.0022299831409211025,bare_laplacian_source_floor
crude_torsion_barrier_mass,0.0002799220396757725,constant_source_barrier_lower_bound
